@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L138","0","0","0","0","0","0","0","0","1","5","2","19","0","2","3","0","4","0.666667","0.25","16","16","2","1","0.25","16","0","0","0","0","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","0","0","10","0","5","0","0","0","0","0","0","0","0","1","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","false"
"L212","0.22255","4","22","6","0.177711","0.197802","59","54","3","2","2","38","3","1","0","5","15","0.2","0.0425532","8","6","1","4","0.0284698","8","0","0","0","0","0","180","225","15","0","15","0","10","0","4","0","10","101","0","4","0","273","332","21","0","21","0","21","0","9","0","21","145","0","9","0","0","1","85","0","14","0","0","0","0","31","0","1","0","0","0","0","0","10","51","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L479","0","0","0","0","0","0","0","0","1","2","2","4","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L3868","0.869281","4","13","4","0.693548","0.796296","43","43","1","2","2","4","5","0","0","2","3","0.5","0.166667","3","3","1","1","0.0526316","3","2","2","0","0","1","15","17","8","0","0","0","1","0","1","0","11","6","1","7","0","54","62","8","0","0","0","6","0","3","0","16","24","1","9","0","0","0","54","4","1","0","0","0","0","34","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","false"
"L8205","0.799401","4","14","4","0.514286","0.786517","72","70","1","2","2","18","7","212","517","11","19","0.75","0.394558","58","58","6","2","0.394558","58","0","0","0","0","0","89","140","1","2","1","2","8","0","7","0","8","49","0","7","0","89","140","1","2","1","2","8","0","7","0","8","49","0","7","0","0","0","42","3","9","0","0","0","0","33","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","false"
"L8267","0","0","0","0","0","0","0","0","0","0","0","2","0","6","6","0","2","0.333333","0.272727","3","3","1","2","0.272727","3","0","0","0","0","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L32996","0","0","0","0","0","0","0","0","3","0","0","3","5","0","0","7","10","0","0","0","0","0","4","0","0","1","1","0","0","1","21","26","2","10","0","0","3","0","3","0","89","7","1","81","3","21","26","2","10","0","0","3","0","3","0","89","7","1","81","3","0","0","15","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","3","0","0","false"
"L33001","0.882353","3","3","3","0.827586","0.84","24","21","1","0","0","1","7","0","0","7","8","0","0","0","0","0","2","0","0","1","1","0","0","1","17","20","2","10","0","0","1","0","1","0","87","9","1","79","3","25","29","2","10","0","0","3","0","3","0","89","11","1","81","3","0","0","45","0","0","0","0","0","0","27","0","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","false"
"L33015","0.786967","3","3","3","0.6","0.616438","60","45","4","0","0","5","18","0","0","24","29","0","0","0","0","0","6","0","0","1","1","0","0","1","63","86","2","10","0","0","5","0","5","0","91","41","1","83","3","73","100","3","10","1","0","7","0","7","0","93","42","1","85","3","0","0","57","0","9","0","0","0","0","26","0","2","0","0","1","4","0","1","20","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","false"
"L33049","0.913832","1","4","1","0.733333","0.746667","77","56","1","1","1","4","12","1","0","20","22","0","0","0","0","0","2","0","0","0","0","0","0","0","56","80","2","0","2","0","2","0","1","0","2","43","0","1","0","75","105","4","1","4","1","7","0","6","1","15","49","0","14","1","0","1","54","1","15","0","0","2","0","27","0","1","0","0","0","2","0","7","23","0","0","0","1","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","false"
"L33096","0","0","0","0","0","0","0","0","2","0","0","2","5","0","0","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","14","17","0","0","0","0","2","0","2","0","2","4","0","2","0","16","20","0","0","0","0","2","0","2","0","2","4","0","2","0","0","0","11","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","false"
"L33104","0.931298","4","7","6","0.848","0.89899","106","89","2","0","0","7","19","0","0","20","27","0","0","0","0","0","8","0","0","1","1","0","0","1","63","83","3","10","1","0","7","0","7","0","93","31","1","85","3","99","125","3","10","1","0","16","0","16","0","110","39","1","102","3","0","1","185","5","11","0","0","0","0","120","0","4","0","0","1","1","0","5","53","0","0","0","1","0","1","0","0","0","0","0","0","0","0","5","0","0","6","0","0","5","0","0","false"
"L33175","0.958596","14","93","29","0.876972","0.895161","278","222","4","2","2","27","18","0","0","34","41","0","0.012766","3","0","0","8","0.0119522","3","1","1","0","0","1","232","297","2","10","0","0","7","0","7","0","93","188","1","85","3","248","317","3","10","1","0","11","0","10","0","97","190","1","88","3","0","0","93","15","48","0","5","0","0","50","0","2","0","0","0","7","0","2","28","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","6","0","3","6","1","0","false"
