"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L112","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java","L111","1","0","3","15","12","0","10","0"
"L129","ElementParser.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/ElementParser.java","L128","16","0","51","15","11","1","7","0"
"L130","HazelcastManifestTransformer.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java","L128","46","0","294","15","22","1","8","0"
"L131","package-info.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/package-info.java","L128","1","0","1","15","11","1","7","0"
"L137","ExportPackageViewer.java","hazelcast-build-utils/src/test/java/com/hazelcast/buildutils/ExportPackageViewer.java","L136","4","0","34","15","11","1","7","0"
"L529","ClientExtension.java","hazelcast-client-new/src/main/java/com/hazelcast/client/ClientExtension.java","L528","1","0","16","15","6","0","5","0"
"L530","ClientOutOfMemoryHandler.java","hazelcast-client-new/src/main/java/com/hazelcast/client/ClientOutOfMemoryHandler.java","L528","10","0","60","15","2","0","2","0"
"L531","HazelcastClient.java","hazelcast-client-new/src/main/java/com/hazelcast/client/HazelcastClient.java","L528","11","0","102","15","2","0","2","0"
"L532","HazelcastClientNotActiveException.java","hazelcast-client-new/src/main/java/com/hazelcast/client/HazelcastClientNotActiveException.java","L528","1","0","9","15","2","0","2","0"
"L533","LoadBalancer.java","hazelcast-client-new/src/main/java/com/hazelcast/client/LoadBalancer.java","L528","1","0","8","15","2","0","2","0"
"L534","package-info.java","hazelcast-client-new/src/main/java/com/hazelcast/client/package-info.java","L528","1","0","1","15","4","0","3","0"
"L3918","ClientAwsConfig.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientAwsConfig.java","L3917","1","0","12","15","4","0","3","0"
"L3919","ClientConfig.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientConfig.java","L3917","10","0","295","15","11","0","11","0"
"L3920","ClientNetworkConfig.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientNetworkConfig.java","L3917","5","0","107","15","2","0","2","0"
"L3921","ClientProperties.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientProperties.java","L3917","5","0","95","15","2","0","2","0"
"L3922","ClientSecurityConfig.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientSecurityConfig.java","L3917","1","0","20","15","2","0","2","0"
"L3923","ClientXmlElements.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ClientXmlElements.java","L3917","3","0","35","15","9","0","7","0"
"L3924","package-info.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/package-info.java","L3917","1","0","1","15","4","0","3","0"
"L3925","ProxyFactoryConfig.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/ProxyFactoryConfig.java","L3917","11","0","70","15","2","0","2","0"
"L3926","QueryCacheConfigBuilderHelper.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/QueryCacheConfigBuilderHelper.java","L3917","24","0","126","15","3","0","3","0"
"L3927","SocketOptions.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/SocketOptions.java","L3917","1","0","46","15","2","0","2","0"
"L3928","XmlClientConfigBuilder.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/XmlClientConfigBuilder.java","L3917","82","0","402","15","17","2","12","0"
"L3929","XmlClientConfigLocator.java","hazelcast-client-new/src/main/java/com/hazelcast/client/config/XmlClientConfigLocator.java","L3917","16","0","105","15","6","0","5","0"
"L6101","AddressProvider.java","hazelcast-client-new/src/main/java/com/hazelcast/client/connection/AddressProvider.java","L6100","1","0","6","15","4","0","3","0"
