@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","44","54","0","0","0","0","1","0","1","0","1","42","0","1","0","50","60","0","0","0","0","3","0","3","0","3","44","0","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L180","0","0","0","0","0","0","0","0","1","1","1","8","1","2","2","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","40","45","3","0","3","0","4","0","4","0","4","21","0","4","0","40","45","3","0","3","0","4","0","4","0","4","21","0","4","0","0","2","11","2","5","0","2","2","0","0","0","0","0","0","0","0","0","2","11","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","false"
"L309","0","0","0","0","0","0","0","0","1","1","1","15","0","2","4","0","11","0","0","0","0","0","10","0","0","0","0","0","0","0","67","80","4","1","4","1","11","4","9","1","11","38","4","9","1","67","80","4","1","4","1","11","4","9","1","11","38","4","9","1","0","0","29","0","10","0","0","4","0","0","0","0","0","0","0","0","0","2","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","false"
"L377","0.25798","5","12","7","0.196154","0.215596","102","94","2","2","2","55","10","7","6","23","55","0.153846","0.0558252","23","16","2","11","0.05","23","2","2","0","0","1","389","470","25","9","20","1","32","0","12","2","60","220","1","30","5","437","520","25","9","20","1","42","0","22","2","70","246","1","40","5","0","4","177","7","24","0","1","12","0","46","0","1","0","0","2","0","0","8","117","1","0","0","0","3","0","0","0","0","0","2","0","0","0","0","2","0","13","2","1","2","0","0","false"
"L863","0","0","0","0","0","0","0","0","2","2","2","10","3","2","2","6","14","0.125","0.159091","7","6","1","7","0.169811","9","2","2","0","0","1","37","45","3","2","1","0","8","0","7","0","32","14","0","27","1","44","54","3","2","1","0","9","0","8","0","33","17","0","28","1","0","0","25","0","2","0","0","0","0","0","0","1","0","0","1","0","0","1","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L910","0","0","0","0","0","0","0","0","1","2","2","4","2","4","3","3","5","0.5","0.536585","22","22","1","1","0.536585","22","2","3","3","3","1","19","24","2","1","1","0","2","0","1","0","54","8","0","47","2","19","24","2","1","1","0","2","0","1","0","54","8","0","47","2","0","0","4","1","2","0","0","1","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","false"
"L927","0","0","0","0","0","0","0","0","2","2","2","7","3","2","7","5","9","0.2","0.153846","4","4","1","4","0.153846","4","2","3","0","0","1","22","23","2","1","1","0","4","0","4","0","49","12","0","47","0","22","23","2","1","1","0","4","0","4","0","49","12","0","47","0","0","0","13","0","5","0","0","4","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","false"
"L929","0","0","0","0","0","0","0","0","1","0","0","6","3","4","7","3","9","0.285714","0.322581","10","10","2","5","0.322581","10","1","2","2","5","2","21","27","1","1","1","1","6","0","6","0","45","6","0","43","0","21","27","1","1","1","1","6","0","6","0","45","6","0","43","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L969","0","0","0","0","0","0","0","0","2","0","0","4","4","4","6","2","6","0.333333","0.481481","13","13","1","2","0.40625","13","2","3","2","3","1","14","23","1","1","0","0","4","0","2","1","49","3","0","45","1","19","28","1","1","0","0","5","0","3","1","50","6","0","46","1","0","0","11","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L955","0","0","0","0","0","0","0","0","2","2","2","58","2","36","145","2","41","0.921053","0.480427","135","133","35","3","0.480427","135","0","0","4","73","0","146","283","0","0","0","0","39","0","37","0","39","66","0","37","0","146","283","0","0","0","0","39","0","37","0","39","66","0","37","0","0","0","15","0","43","0","0","28","0","0","0","1","0","0","1","0","0","6","9","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L1023","0","0","0","0","0","0","0","0","0","0","0","2","0","14","4","0","2","0.333333","0.272727","3","3","1","2","0.272727","3","0","0","1","1","0","8","10","1","0","1","0","2","0","2","0","2","1","0","2","0","8","10","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
