"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L108","AboutDialog.java","junit/awtui/AboutDialog.java","L107","1","0","64","0","0","0","3","0"
"L109","Logo.java","junit/awtui/Logo.java","L107","5","0","50","0","0","0","3","0"
"L110","ProgressBar.java","junit/awtui/ProgressBar.java","L107","5","0","73","0","0","0","2","0"
"L111","TestRunner.java","junit/awtui/TestRunner.java","L107","25","0","476","0","0","0","15","0"
"L858","ActiveTestSuite.java","junit/extensions/ActiveTestSuite.java","L857","3","0","48","0","0","0","6","0"
"L859","ExceptionTestCase.java","junit/extensions/ExceptionTestCase.java","L857","3","0","21","0","0","0","2","0"
"L860","RepeatedTest.java","junit/extensions/RepeatedTest.java","L857","4","0","25","0","0","0","3","0"
"L861","TestDecorator.java","junit/extensions/TestDecorator.java","L857","1","0","25","0","0","0","5","0"
"L862","TestSetup.java","junit/extensions/TestSetup.java","L857","1","0","23","0","0","0","2","0"
"L992","Assert.java","junit/framework/Assert.java","L991","20","0","147","0","0","0","21","0"
"L993","AssertionFailedError.java","junit/framework/AssertionFailedError.java","L991","1","0","9","0","0","0","2","0"
"L994","ComparisonCompactor.java","junit/framework/ComparisonCompactor.java","L991","13","0","60","0","0","0","1","0"
"L995","ComparisonFailure.java","junit/framework/ComparisonFailure.java","L991","1","0","21","0","0","0","9","0"
"L996","Protectable.java","junit/framework/Protectable.java","L991","1","0","4","0","0","0","1","0"
"L997","Test.java","junit/framework/Test.java","L991","1","0","5","0","0","0","3","0"
"L998","TestCase.java","junit/framework/TestCase.java","L991","9","0","80","0","0","0","18","0"
"L999","TestFailure.java","junit/framework/TestFailure.java","L991","1","0","35","0","0","0","3","0"
"L1000","TestListener.java","junit/framework/TestListener.java","L991","1","0","7","0","0","0","2","0"
"L1001","TestResult.java","junit/framework/TestResult.java","L991","9","0","100","0","0","0","5","0"
"L1002","TestSuite.java","junit/framework/TestSuite.java","L991","24","0","166","0","0","0","15","0"
"L1660","BaseTestRunner.java","junit/runner/BaseTestRunner.java","L1659","35","0","252","0","0","0","18","0"
"L1661","ClassPathTestCollector.java","junit/runner/ClassPathTestCollector.java","L1659","10","0","63","0","0","0","4","0"
