@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","3","0","52","0","0","0","1","false"
"L112","1","0","1","0","0","0","1","false"
"L113","4","0","28","0","0","0","1","false"
"L114","1","0","26","0","0","0","1","false"
"L115","1","0","24","0","0","0","1","false"
"L278","19","0","146","0","0","0","1","false"
"L279","1","0","9","0","0","0","1","false"
"L280","13","0","60","0","0","0","1","false"
"L281","1","0","22","0","0","0","1","false"
"L282","4","0","66","0","0","0","1","false"
"L283","7","0","67","0","0","0","1","false"
"L284","1","0","23","0","0","0","1","false"
"L285","1","0","1","0","0","0","1","false"
"L286","1","0","4","0","0","0","1","false"
"L287","1","0","5","0","0","0","1","false"
"L288","9","0","81","0","0","0","1","false"
"L289","1","0","36","0","0","0","1","false"
"L290","1","0","7","0","0","0","1","false"
"L291","9","0","100","0","0","0","1","false"
"L292","24","0","164","1","4","0","4","false"
"L1231","32","0","235","0","0","0","2","false"
"L1232","1","0","1","0","0","0","1","false"
"L1233","1","0","11","0","0","0","1","false"
"L1234","1","0","11","1","4","0","44","false"
"L1453","1","0","1","0","0","0","1","false"
"L1454","7","0","92","0","0","0","1","false"
"L1455","13","0","124","0","0","0","2","false"
"L2572","1","0","9","0","0","0","1","false"
"L2573","1","0","9","1","4","0","5","false"
"L2574","21","0","223","0","0","0","20","false"
"L2575","2","0","23","0","0","0","12","false"
"L2576","1","0","9","0","0","0","2","false"
"L2577","1","0","9","0","0","0","1","false"
"L2578","13","0","81","0","0","0","2","false"
"L2579","1","0","10","0","0","0","1","false"
"L2580","1","0","1","0","0","0","1","false"
"L2581","1","0","7","0","0","0","1","false"
"L2582","1","0","16","0","0","0","1","false"
"L2972","6","0","65","0","0","0","17","false"
"L3947","3","0","36","0","0","0","2","false"
"L3948","3","0","32","0","0","0","1","false"
"L3949","12","0","47","0","0","0","7","false"
"L3950","1","0","8","0","0","0","4","false"
"L3951","2","0","15","0","0","0","5","false"
"L3952","1","0","6","0","0","0","1","false"
"L3953","1","0","10","0","0","0","1","false"
"L3954","6","0","73","0","0","0","7","false"
"L5008","1","0","32","0","0","0","23","false"
"L5009","1","0","1","0","0","0","1","false"
"L5065","2","0","33","0","0","0","1","false"
"L5066","5","0","70","0","0","0","3","false"
"L5067","1","0","23","0","0","0","1","false"
"L5068","1","0","7","0","0","0","1","false"
"L5069","3","0","43","0","0","0","1","false"
"L5070","1","0","12","0","0","0","1","false"
"L5071","2","0","31","0","0","0","1","false"
"L5072","1","0","13","0","0","0","1","false"
"L5073","1","0","17","0","0","0","1","false"
"L5293","1","0","21","0","0","0","8","false"
"L5294","1","0","4","0","0","0","3","false"
"L5295","12","0","114","0","0","0","12","false"
"L5296","5","0","87","0","0","0","15","false"
"L5297","1","0","1","0","0","0","1","false"
"L5298","2","0","56","0","0","0","24","false"
"L5299","1","0","59","0","0","0","10","false"
"L5300","1","0","9","0","0","0","1","false"
"L5301","1","0","12","0","0","0","1","false"
"L5756","1","0","7","0","0","0","2","false"
"L5757","22","0","213","0","0","0","37","true"
"L5758","1","0","7","0","0","0","1","false"
"L5759","1","0","1","0","0","0","3","false"
"L5760","6","0","94","1","4","0","35","false"
"L5761","17","0","171","0","0","0","20","true"
"L5762","3","0","63","1","4","0","40","false"
"L2975","1","0","7","0","0","0","3","false"
"L2976","12","0","100","0","0","0","35","false"
"L2977","8","0","118","1","4","0","27","false"
"L3350","3","0","23","0","0","0","3","false"
"L3351","1","0","32","0","0","0","7","false"
"L3352","2","0","41","0","0","0","10","false"
"L3449","1","0","8","0","0","0","2","false"
"L3462","1","0","6","0","0","0","1","false"
"L3463","1","0","6","0","0","0","1","false"
"L3464","9","0","71","0","0","0","2","false"
"L3465","1","0","7","0","0","0","1","false"
"L3466","1","0","5","0","0","0","1","false"
"L3467","1","0","25","0","0","0","3","false"
"L3468","14","0","159","0","0","0","28","false"
"L3469","1","0","7","0","0","0","1","false"
"L4004","4","0","43","0","0","0","4","false"
"L4005","4","0","36","0","0","0","3","false"
"L4006","2","0","12","0","0","0","2","false"
"L4007","1","0","18","0","0","0","1","false"
"L4008","2","0","15","0","0","0","2","false"
"L4009","1","0","10","0","0","0","4","false"
"L4010","1","0","9","0","0","0","2","false"
"L4011","3","0","20","0","0","0","2","false"
"L4174","1","0","26","0","0","0","4","false"
"L4175","1","0","20","0","0","0","4","false"
"L4176","5","0","54","0","0","0","6","false"
"L4177","1","0","20","0","0","0","4","false"
"L4178","1","0","20","0","0","0","4","false"
"L4179","8","0","34","0","0","0","4","false"
"L4344","1","0","19","0","0","0","6","false"
"L4345","2","0","26","0","0","0","3","false"
"L4346","1","0","1","0","0","0","1","false"
"L4347","1","0","20","0","0","0","1","false"
"L4388","9","0","65","0","0","0","2","false"
"L4389","6","0","50","0","0","0","15","false"
"L4390","1","0","6","0","0","0","2","false"
