"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","0","0","0","1","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","28","0","0","0","1","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","0","0","0","1","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","0","0","0","1","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","19","0","147","2","2","0","6","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","1","0","9","0","0","0","1","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","60","0","0","0","1","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","0","0","0","1","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","66","0","0","0","9","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","67","0","0","0","7","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","0","0","0","1","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","0","0","0","1","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","0","0","0","1","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","81","0","0","0","1","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","36","0","0","0","1","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","0","0","0","1","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","100","0","0","0","1","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","25","0","173","1","4","1","7","0"
"L1239","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1238","32","0","235","0","0","0","2","0"
"L1240","package-info.java","src/main/java/junit/runner/package-info.java","L1238","1","0","1","0","0","0","1","0"
"L1241","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1238","1","0","11","0","0","0","1","0"
"L1242","Version.java","src/main/java/junit/runner/Version.java","L1238","1","0","11","2","20","0","51","0"
"L1461","package-info.java","src/main/java/junit/textui/package-info.java","L1460","1","0","1","0","0","0","1","0"
"L1462","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1460","7","0","92","0","0","0","1","0"
"L1463","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1460","13","0","124","0","0","0","2","0"
"L2590","After.java","src/main/java/org/junit/After.java","L2589","1","0","9","0","0","0","1","0"
"L2591","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2589","1","0","9","1","4","0","5","0"
"L2592","Assert.java","src/main/java/org/junit/Assert.java","L2589","21","0","223","0","0","0","20","2"
"L2593","Assume.java","src/main/java/org/junit/Assume.java","L2589","2","0","23","0","0","0","12","0"
"L2594","Before.java","src/main/java/org/junit/Before.java","L2589","1","0","9","0","0","0","2","0"
"L2595","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2589","1","0","9","0","0","0","1","0"
"L2596","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2589","13","0","81","0","0","0","2","0"
"L2597","Ignore.java","src/main/java/org/junit/Ignore.java","L2589","1","0","10","0","0","0","1","0"
"L2598","package-info.java","src/main/java/org/junit/package-info.java","L2589","1","0","1","0","0","0","1","0"
"L2599","Rule.java","src/main/java/org/junit/Rule.java","L2589","1","0","7","0","0","0","1","0"
"L2600","Test.java","src/main/java/org/junit/Test.java","L2589","1","0","16","0","0","0","1","0"
"L2988","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L2987","6","0","65","0","0","0","17","0"
"L4045","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L4044","3","0","36","0","0","0","2","0"
"L4046","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L4044","3","0","32","0","0","0","1","0"
"L4047","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L4044","12","0","47","0","0","0","8","0"
"L4048","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L4044","1","0","8","0","0","0","4","0"
"L4049","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L4044","2","0","15","0","0","0","6","1"
"L4050","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L4044","1","0","6","0","0","0","1","0"
"L4051","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L4044","1","0","10","0","0","0","1","0"
"L4052","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L4044","6","0","73","0","0","0","7","0"
"L5097","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L5096","1","0","32","0","0","0","23","0"
"L5098","package-info.java","src/main/java/org/junit/matchers/package-info.java","L5096","1","0","1","0","0","0","2","0"
"L5154","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L5153","2","0","33","0","0","0","1","0"
"L5155","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L5153","5","0","70","0","0","0","3","1"
"L5156","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L5153","1","0","23","0","0","0","5","0"
"L5157","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L5153","1","0","7","0","0","0","1","0"
"L5158","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L5153","3","0","43","0","0","0","1","0"
"L5159","TestName.java","src/main/java/org/junit/rules/TestName.java","L5153","1","0","12","0","0","0","1","0"
"L5160","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L5153","2","0","31","0","0","0","1","0"
"L5161","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L5153","1","0","13","0","0","0","1","0"
"L5162","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L5153","1","0","17","0","0","0","1","0"
"L5382","Computer.java","src/main/java/org/junit/runner/Computer.java","L5381","1","0","21","0","0","0","8","0"
"L5383","Describable.java","src/main/java/org/junit/runner/Describable.java","L5381","1","0","4","0","0","0","3","0"
"L5384","Description.java","src/main/java/org/junit/runner/Description.java","L5381","12","0","114","0","0","0","20","0"
"L5385","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L5381","5","0","87","0","0","0","18","0"
"L5386","package-info.java","src/main/java/org/junit/runner/package-info.java","L5381","1","0","1","0","0","0","1","0"
"L5387","Request.java","src/main/java/org/junit/runner/Request.java","L5381","2","0","56","0","0","0","24","0"
"L5388","Result.java","src/main/java/org/junit/runner/Result.java","L5381","1","0","61","1","4","0","13","0"
"L5389","Runner.java","src/main/java/org/junit/runner/Runner.java","L5381","1","0","9","0","0","0","7","0"
"L5390","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L5381","1","0","12","0","0","0","4","0"
"L5852","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L5851","1","0","7","0","0","0","2","0"
"L5853","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L5851","20","0","205","2","20","0","52","2"
"L5854","JUnit4.java","src/main/java/org/junit/runners/JUnit4.java","L5851","1","0","7","0","0","0","1","0"
"L5855","package-info.java","src/main/java/org/junit/runners/package-info.java","L5851","1","0","1","0","0","0","3","0"
"L5856","Parameterized.java","src/main/java/org/junit/runners/Parameterized.java","L5851","6","0","94","1","4","0","35","2"
"L5857","ParentRunner.java","src/main/java/org/junit/runners/ParentRunner.java","L5851","17","0","171","1","20","0","31","4"
"L5858","Suite.java","src/main/java/org/junit/runners/Suite.java","L5851","3","0","63","1","4","0","50","0"
"L2991","Categories.java","src/main/java/org/junit/experimental/categories/Categories.java","L2990","15","0","92","1","20","0","16","0"
"L2992","Category.java","src/main/java/org/junit/experimental/categories/Category.java","L2990","1","0","7","1","20","0","7","0"
"L3082","CouldNotReadCoreException.java","src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java","L3081","1","0","7","0","0","0","3","0"
"L3083","MaxCore.java","src/main/java/org/junit/experimental/max/MaxCore.java","L3081","12","0","100","0","0","0","39","0"
"L3084","MaxHistory.java","src/main/java/org/junit/experimental/max/MaxHistory.java","L3081","8","0","118","1","4","0","27","0"
"L3446","FailureList.java","src/main/java/org/junit/experimental/results/FailureList.java","L3445","3","0","23","0","0","0","3","0"
"L3447","PrintableResult.java","src/main/java/org/junit/experimental/results/PrintableResult.java","L3445","1","0","32","0","0","0","7","0"
"L3448","ResultMatchers.java","src/main/java/org/junit/experimental/results/ResultMatchers.java","L3445","2","0","41","0","0","0","10","0"
"L3545","Enclosed.java","src/main/java/org/junit/experimental/runners/Enclosed.java","L3544","1","0","8","0","0","0","2","0"
"L3558","DataPoint.java","src/main/java/org/junit/experimental/theories/DataPoint.java","L3557","1","0","6","0","0","0","1","0"
"L3559","DataPoints.java","src/main/java/org/junit/experimental/theories/DataPoints.java","L3557","1","0","6","0","0","0","1","0"
"L3560","ParameterSignature.java","src/main/java/org/junit/experimental/theories/ParameterSignature.java","L3557","9","0","71","0","0","0","2","0"
"L3561","ParametersSuppliedBy.java","src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java","L3557","1","0","7","0","0","0","1","0"
"L3562","ParameterSupplier.java","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","L3557","1","0","5","0","0","0","1","0"
"L3563","PotentialAssignment.java","src/main/java/org/junit/experimental/theories/PotentialAssignment.java","L3557","1","0","25","0","0","0","6","0"
"L3564","Theories.java","src/main/java/org/junit/experimental/theories/Theories.java","L3557","14","0","165","0","0","0","32","1"
"L3565","Theory.java","src/main/java/org/junit/experimental/theories/Theory.java","L3557","1","0","7","0","0","0","1","0"
"L4102","AllDefaultPossibilitiesBuilder.java","src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java","L4101","4","0","43","0","0","0","4","0"
"L4103","AnnotatedBuilder.java","src/main/java/org/junit/internal/builders/AnnotatedBuilder.java","L4101","4","0","36","0","0","0","3","0"
"L4104","IgnoredBuilder.java","src/main/java/org/junit/internal/builders/IgnoredBuilder.java","L4101","2","0","12","0","0","0","2","0"
"L4105","IgnoredClassRunner.java","src/main/java/org/junit/internal/builders/IgnoredClassRunner.java","L4101","1","0","18","0","0","0","1","0"
"L4106","JUnit3Builder.java","src/main/java/org/junit/internal/builders/JUnit3Builder.java","L4101","2","0","15","0","0","0","2","0"
"L4107","JUnit4Builder.java","src/main/java/org/junit/internal/builders/JUnit4Builder.java","L4101","1","0","10","0","0","0","4","0"
"L4108","NullBuilder.java","src/main/java/org/junit/internal/builders/NullBuilder.java","L4101","1","0","9","0","0","0","2","0"
"L4109","SuiteMethodBuilder.java","src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java","L4101","3","0","20","0","0","0","2","0"
"L4266","CombinableMatcher.java","src/main/java/org/junit/internal/matchers/CombinableMatcher.java","L4265","1","0","26","0","0","0","4","0"
"L4267","Each.java","src/main/java/org/junit/internal/matchers/Each.java","L4265","1","0","20","0","0","0","4","0"
"L4268","IsCollectionContaining.java","src/main/java/org/junit/internal/matchers/IsCollectionContaining.java","L4265","5","0","54","0","0","0","6","0"
"L4269","StringContains.java","src/main/java/org/junit/internal/matchers/StringContains.java","L4265","1","0","20","0","0","0","4","0"
"L4270","SubstringMatcher.java","src/main/java/org/junit/internal/matchers/SubstringMatcher.java","L4265","1","0","20","0","0","0","4","0"
"L4271","TypeSafeMatcher.java","src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java","L4265","8","0","34","0","0","0","4","0"
"L4436","ClassRequest.java","src/main/java/org/junit/internal/requests/ClassRequest.java","L4435","1","0","19","0","0","0","6","0"
"L4437","FilterRequest.java","src/main/java/org/junit/internal/requests/FilterRequest.java","L4435","2","0","26","0","0","0","3","0"
"L4438","package-info.java","src/main/java/org/junit/internal/requests/package-info.java","L4435","1","0","1","0","0","0","1","0"
"L4439","SortingRequest.java","src/main/java/org/junit/internal/requests/SortingRequest.java","L4435","1","0","20","0","0","0","1","0"
"L4480","ClassRoadie.java","src/main/java/org/junit/internal/runners/ClassRoadie.java","L4479","9","0","65","0","0","0","2","0"
"L4481","ErrorReportingRunner.java","src/main/java/org/junit/internal/runners/ErrorReportingRunner.java","L4479","6","0","50","0","0","0","15","1"
"L4482","FailedBefore.java","src/main/java/org/junit/internal/runners/FailedBefore.java","L4479","1","0","6","0","0","0","2","0"
"L4483","InitializationError.java","src/main/java/org/junit/internal/runners/InitializationError.java","L4479","1","0","20","0","0","0","3","0"
"L4484","JUnit38ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java","L4479","15","0","134","1","4","0","16","0"
"L4485","JUnit4ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java","L4479","8","0","117","0","0","0","13","0"
"L4486","MethodRoadie.java","src/main/java/org/junit/internal/runners/MethodRoadie.java","L4479","21","0","138","0","0","0","2","0"
"L4487","MethodValidator.java","src/main/java/org/junit/internal/runners/MethodValidator.java","L4479","11","0","72","0","0","0","2","0"
"L4488","package-info.java","src/main/java/org/junit/internal/runners/package-info.java","L4479","1","0","1","0","0","0","1","0"
"L4489","SuiteMethod.java","src/main/java/org/junit/internal/runners/SuiteMethod.java","L4479","3","0","24","0","0","0","2","0"
"L4490","TestClass.java","src/main/java/org/junit/internal/runners/TestClass.java","L4479","14","0","81","0","0","0","2","0"
"L4491","TestMethod.java","src/main/java/org/junit/internal/runners/TestMethod.java","L4479","4","0","51","0","0","0","2","0"
"L5555","Filter.java","src/main/java/org/junit/runner/manipulation/Filter.java","L5554","5","0","40","0","0","0","14","1"
"L5556","Filterable.java","src/main/java/org/junit/runner/manipulation/Filterable.java","L5554","1","0","4","0","0","0","1","0"
"L5557","NoTestsRemainException.java","src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java","L5554","1","0","4","0","0","0","1","0"
"L5558","package-info.java","src/main/java/org/junit/runner/manipulation/package-info.java","L5554","1","0","1","0","0","0","1","0"
"L5559","Sortable.java","src/main/java/org/junit/runner/manipulation/Sortable.java","L5554","1","0","4","0","0","0","1","0"
"L5560","Sorter.java","src/main/java/org/junit/runner/manipulation/Sorter.java","L5554","2","0","22","0","0","0","6","0"
"L5612","Failure.java","src/main/java/org/junit/runner/notification/Failure.java","L5611","1","0","37","0","0","0","3","0"
"L5613","package-info.java","src/main/java/org/junit/runner/notification/package-info.java","L5611","1","0","1","0","0","0","1","0"
"L5614","RunListener.java","src/main/java/org/junit/runner/notification/RunListener.java","L5611","1","0","20","0","0","0","10","0"
"L5615","RunNotifier.java","src/main/java/org/junit/runner/notification/RunNotifier.java","L5611","4","0","97","1","4","0","14","1"
"L5616","StoppedByUserException.java","src/main/java/org/junit/runner/notification/StoppedByUserException.java","L5611","1","0","4","0","0","0","1","0"
"L6031","FrameworkField.java","src/main/java/org/junit/runners/model/FrameworkField.java","L6030","1","0","24","1","20","0","10","0"
"L6032","FrameworkMember.java","src/main/java/org/junit/runners/model/FrameworkMember.java","L6030","3","0","13","0","0","0","4","0"
"L6033","FrameworkMethod.java","src/main/java/org/junit/runners/model/FrameworkMethod.java","L6030","13","0","80","0","0","0","11","0"
"L6034","InitializationError.java","src/main/java/org/junit/runners/model/InitializationError.java","L6030","1","0","19","1","20","0","5","0"
"L6035","RunnerBuilder.java","src/main/java/org/junit/runners/model/RunnerBuilder.java","L6030","5","0","44","0","0","0","2","0"
"L6036","RunnerScheduler.java","src/main/java/org/junit/runners/model/RunnerScheduler.java","L6030","1","0","5","0","0","0","2","0"
"L6037","Statement.java","src/main/java/org/junit/runners/model/Statement.java","L6030","1","0","4","0","0","0","2","0"
"L6038","TestClass.java","src/main/java/org/junit/runners/model/TestClass.java","L6030","16","0","102","0","0","0","14","3"
"L3570","AllMembersSupplier.java","src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java","L3569","17","0","99","0","0","0","14","1"
"L3571","Assignments.java","src/main/java/org/junit/experimental/theories/internal/Assignments.java","L3569","7","0","101","0","0","0","9","0"
