@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","3","0","52","0","0","0","1","false"
"L112","1","0","1","0","0","0","1","false"
"L113","4","0","28","0","0","0","1","false"
"L114","1","0","26","0","0","0","1","false"
"L115","1","0","24","0","0","0","1","false"
"L278","22","0","151","3","107","0","12","false"
"L279","1","0","9","0","0","0","1","false"
"L280","13","0","60","0","0","0","1","false"
"L281","1","0","22","0","0","0","1","false"
"L282","4","0","66","1","20","0","10","false"
"L283","7","0","67","0","0","0","7","false"
"L284","1","0","23","0","0","0","1","false"
"L285","1","0","1","0","0","0","1","false"
"L286","1","0","4","0","0","0","1","false"
"L287","1","0","5","0","0","0","1","false"
"L288","9","0","81","0","0","0","1","false"
"L289","1","0","36","0","0","0","1","false"
"L290","1","0","7","0","0","0","1","false"
"L291","9","0","100","0","0","0","1","false"
"L292","25","0","173","2","20","1","8","false"
"L1240","32","0","235","0","0","0","2","false"
"L1241","1","0","1","0","0","0","1","false"
"L1242","1","0","11","0","0","0","1","false"
"L1243","1","0","11","3","107","0","61","true"
"L1462","1","0","1","0","0","0","1","false"
"L1463","7","0","92","0","0","0","1","false"
"L1464","13","0","124","0","0","0","2","false"
"L2594","1","0","9","0","0","0","1","false"
"L2595","1","0","9","1","4","0","5","false"
"L2596","21","0","225","4","134","3","29","true"
"L2597","2","0","23","0","0","0","12","false"
"L2598","1","0","9","0","0","0","2","false"
"L2599","1","0","9","0","0","0","1","false"
"L2600","1","0","9","2","134","0","21","false"
"L2601","13","0","81","0","0","0","2","false"
"L2602","1","0","10","0","0","0","1","false"
"L2603","1","0","1","0","0","0","1","false"
"L2604","1","0","9","1","107","0","11","false"
"L2605","1","0","16","0","0","0","1","false"
"L2997","6","0","65","0","0","0","17","false"
"L4074","3","0","36","0","0","0","2","false"
"L4075","3","0","32","0","0","0","1","false"
"L4076","12","0","47","1","20","0","9","false"
"L4077","1","0","8","0","0","0","4","false"
"L4078","2","0","15","2","14","1","8","true"
"L4079","1","0","6","0","0","0","1","false"
"L4080","1","0","10","0","0","0","1","false"
"L4081","6","0","73","0","0","0","7","false"
"L5209","1","0","32","0","0","0","24","false"
"L5210","1","0","1","1","20","0","3","false"
"L5265","2","0","33","1","107","0","3","false"
"L5266","5","0","70","1","107","0","11","true"
"L5267","1","0","25","2","107","0","16","false"
"L5268","1","0","8","0","0","0","2","false"
"L5269","2","0","19","1","107","0","1","false"
"L5270","3","0","43","2","3","0","5","true"
"L5271","1","0","12","1","107","0","4","false"
"L5272","1","0","6","1","107","0","12","false"
"L5273","2","0","30","1","107","0","7","true"
"L5274","2","0","32","0","0","0","3","true"
"L5275","1","0","13","1","107","0","7","false"
"L5276","1","0","16","1","107","0","7","false"
"L5542","1","0","21","0","0","0","8","false"
"L5543","1","0","4","0","0","0","3","false"
"L5544","11","0","113","1","3","0","23","true"
"L5545","5","0","87","0","0","0","18","false"
"L5546","1","0","1","0","0","0","1","false"
"L5547","2","0","56","0","0","0","24","false"
"L5548","1","0","61","4","3","0","18","true"
"L5549","1","0","9","0","0","0","7","false"
"L5550","1","0","12","0","0","0","4","false"
"L6023","1","0","7","0","0","0","2","false"
"L6024","17","0","199","5","134","1","82","true"
"L6025","1","0","7","0","0","0","1","false"
"L6026","1","0","1","0","0","0","3","false"
"L6027","6","0","94","3","2","2","40","true"
"L6028","19","0","204","3","134","4","57","true"
"L6029","3","0","63","1","4","0","50","false"
"L3000","23","0","117","2","107","0","24","false"
"L3001","1","0","7","2","107","0","11","false"
"L3110","1","0","7","0","0","0","3","false"
"L3111","12","0","100","0","0","0","39","false"
"L3112","8","0","118","1","4","0","27","false"
"L3474","3","0","23","0","0","0","3","false"
"L3475","1","0","33","0","0","0","8","false"
"L3476","2","0","41","0","0","0","10","false"
"L3574","1","0","8","0","0","0","2","false"
"L3587","1","0","6","0","0","0","1","true"
"L3588","1","0","6","0","0","0","1","true"
"L3589","9","0","71","0","0","0","2","false"
"L3590","1","0","7","0","0","0","1","false"
"L3591","1","0","5","0","0","0","1","true"
"L3592","1","0","25","0","0","0","6","true"
"L3593","14","0","165","1","20","0","33","true"
"L3594","1","0","7","0","0","0","1","false"
"L4131","4","0","43","0","0","0","4","false"
"L4132","4","0","36","0","0","0","3","false"
"L4133","2","0","12","0","0","0","2","false"
"L4134","1","0","18","0","0","0","1","false"
"L4135","2","0","15","0","0","0","2","false"
"L4136","1","0","10","0","0","0","4","false"
"L4137","1","0","9","0","0","0","2","false"
"L4138","3","0","20","0","0","0","2","false"
"L4293","1","0","26","0","0","0","4","false"
"L4294","1","0","20","0","0","0","4","false"
"L4295","5","0","54","0","0","0","6","false"
"L4296","1","0","20","0","0","0","4","false"
"L4297","1","0","20","0","0","0","4","false"
"L4298","8","0","34","0","0","0","4","false"
"L4463","1","0","19","0","0","0","6","false"
