"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","JunitDependencyTest.java","build/maven/sample_project_template/src/test/java/JunitDependencyTest.java","L110","1","0","8","1","14","2","5","0"
"L135","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L134","3","0","52","3","8","0","5","0"
"L136","package-info.java","src/main/java/junit/extensions/package-info.java","L134","1","0","1","0","0","0","1","0"
"L137","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L134","4","0","30","3","8","0","5","0"
"L138","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L134","1","0","26","3","8","0","5","0"
"L139","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L134","1","0","24","3","8","0","5","0"
"L294","Assert.java","src/main/java/junit/framework/Assert.java","L293","23","0","161","10","8","0","26","0"
"L295","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L293","2","0","12","5","8","0","9","0"
"L296","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L293","13","0","65","3","8","0","5","0"
"L297","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L293","1","0","22","3","8","0","5","0"
"L298","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L293","4","0","67","4","8","0","14","0"
"L299","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L293","7","0","66","3","8","0","11","0"
"L300","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L293","1","0","23","3","8","0","5","0"
"L301","package-info.java","src/main/java/junit/framework/package-info.java","L293","1","0","1","0","0","0","1","0"
"L302","Protectable.java","src/main/java/junit/framework/Protectable.java","L293","1","0","4","3","8","0","5","0"
"L303","Test.java","src/main/java/junit/framework/Test.java","L293","1","0","5","3","8","0","5","0"
"L304","TestCase.java","src/main/java/junit/framework/TestCase.java","L293","9","0","230","4","8","0","7","0"
"L305","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L293","1","0","36","3","8","0","5","0"
"L306","TestListener.java","src/main/java/junit/framework/TestListener.java","L293","1","0","7","3","8","0","5","0"
"L307","TestResult.java","src/main/java/junit/framework/TestResult.java","L293","9","0","101","3","8","0","5","0"
"L308","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L293","25","0","183","7","8","1","16","0"
"L1407","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1406","32","0","243","3","8","0","6","0"
"L1408","package-info.java","src/main/java/junit/runner/package-info.java","L1406","1","0","1","0","0","0","1","0"
"L1409","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1406","1","0","11","3","8","0","5","0"
"L1410","Version.java","src/main/java/junit/runner/Version.java","L1406","1","0","11","7","8","1","79","0"
"L1629","package-info.java","src/main/java/junit/textui/package-info.java","L1628","1","0","1","0","0","0","1","0"
"L1630","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1628","7","0","93","3","8","0","5","0"
"L1631","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1628","13","0","127","3","8","0","6","0"
"L2826","After.java","src/main/java/org/junit/After.java","L2825","1","0","9","7","8","0","12","0"
"L2827","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2825","1","0","9","8","8","0","16","0"
"L2828","Assert.java","src/main/java/org/junit/Assert.java","L2825","26","0","290","14","8","5","66","0"
"L2829","Assume.java","src/main/java/org/junit/Assume.java","L2825","4","0","41","6","8","0","25","0"
"L2830","Before.java","src/main/java/org/junit/Before.java","L2825","1","0","9","7","8","0","14","0"
"L2831","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2825","1","0","9","7","8","0","12","0"
"L2832","ClassRule.java","src/main/java/org/junit/ClassRule.java","L2825","1","0","9","8","8","0","37","0"
"L2833","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2825","13","0","86","5","8","0","10","0"
"L2834","FixMethodOrder.java","src/main/java/org/junit/FixMethodOrder.java","L2825","1","0","11","9","8","0","15","0"
