@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","1","0","8","1","14","2","5","false"
"L135","3","0","52","3","8","0","5","false"
"L136","1","0","1","0","0","0","1","false"
"L137","4","0","30","3","8","0","5","false"
"L138","1","0","26","3","8","0","5","false"
"L139","1","0","24","3","8","0","5","false"
"L294","23","0","161","10","8","0","26","false"
"L295","2","0","12","5","8","0","9","false"
"L296","13","0","65","3","8","0","5","false"
"L297","1","0","22","3","8","0","5","false"
"L298","4","0","67","4","8","0","14","false"
"L299","7","0","66","3","8","0","11","false"
"L300","1","0","23","3","8","0","5","false"
"L301","1","0","1","0","0","0","1","false"
"L302","1","0","4","3","8","0","5","false"
"L303","1","0","5","3","8","0","5","false"
"L304","9","0","230","4","8","0","7","false"
"L305","1","0","36","3","8","0","5","false"
"L306","1","0","7","3","8","0","5","false"
"L307","9","0","101","3","8","0","5","false"
"L308","25","0","183","7","8","1","16","false"
"L1407","32","0","243","3","8","0","6","false"
"L1408","1","0","1","0","0","0","1","false"
"L1409","1","0","11","3","8","0","5","false"
"L1410","1","0","11","7","8","1","79","false"
"L1629","1","0","1","0","0","0","1","false"
"L1630","7","0","93","3","8","0","5","false"
"L1631","13","0","127","3","8","0","6","false"
"L2826","1","0","9","7","8","0","12","false"
"L2827","1","0","9","8","8","0","16","false"
"L2828","26","0","290","14","8","5","66","false"
"L2829","4","0","41","6","8","0","25","false"
"L2830","1","0","9","7","8","0","14","false"
"L2831","1","0","9","7","8","0","12","false"
"L2832","1","0","9","8","8","0","37","false"
"L2833","13","0","86","5","8","0","10","false"
"L2834","1","0","11","9","8","0","15","false"
"L2835","1","0","10","5","8","0","9","false"
"L2836","1","0","1","3","8","0","5","false"
"L2837","1","0","9","7","8","0","27","false"
"L2838","1","0","16","5","8","0","9","false"
"L3315","5","0","55","6","8","0","26","false"
"L4360","3","0","38","3","8","0","6","false"
"L4361","6","0","51","5","8","0","7","false"
"L4362","12","0","52","4","8","0","13","false"
"L4363","1","0","8","3","8","0","8","false"
"L4364","2","0","19","6","8","3","15","false"
"L4365","1","0","5","9","8","0","12","false"
"L4366","6","0","42","11","8","0","29","false"
"L4367","1","0","7","9","8","0","12","false"
"L4368","6","0","76","3","8","0","11","false"
"L5688","1","0","46","7","8","0","45","false"
"L5689","1","0","1","1","20","0","3","false"
"L5764","2","0","36","7","8","0","19","false"
"L5765","7","0","88","12","14","2","51","true"
"L5766","2","0","32","5","8","0","7","false"
"L5767","1","0","25","6","8","0","24","false"
"L5768","1","0","7","10","8","0","19","false"
"L5769","2","0","32","8","8","0","16","false"
"L5770","2","0","20","5","8","0","9","false"
"L5771","9","0","84","14","8","2","42","false"
"L5772","1","0","12","5","8","0","12","false"
"L5773","1","0","6","5","8","0","20","false"
