@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L116","0","0","0","0","0","0","0","0","2","2","2","10","4","2","2","6","14","0.125","0.152174","7","6","1","7","0.160714","9","2","2","0","0","1","39","47","3","2","1","0","8","0","7","0","34","14","0","27","1","47","57","3","2","1","0","9","0","8","0","35","17","0","28","1","0","0","25","0","2","0","0","0","0","0","0","1","0","0","1","0","0","1","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L199","0","0","0","0","0","0","0","0","2","2","2","7","3","2","7","5","9","0.2","0.1","3","3","1","4","0.1","3","2","3","0","0","1","27","31","2","1","1","0","4","0","4","0","49","12","0","48","0","27","31","2","1","1","0","4","0","4","0","49","12","0","48","0","0","0","13","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","false"
"L201","0","0","0","0","0","0","0","0","1","0","0","6","3","5","8","3","9","0.285714","0.266667","8","8","2","5","0.266667","8","1","2","2","5","2","22","31","1","1","1","1","6","0","6","0","45","6","0","44","0","22","31","1","1","1","1","6","0","6","0","45","6","0","44","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L247","0","0","0","0","0","0","0","0","2","0","0","4","4","4","6","2","6","0.333333","0.444444","12","12","1","2","0.375","12","2","3","2","3","1","15","26","1","1","0","0","4","0","2","1","49","3","0","46","1","20","31","1","1","0","0","5","0","3","1","50","6","0","47","1","0","0","12","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","false"
"L229","0","0","0","0","0","0","0","0","2","1","1","61","2","6","45","3","42","0.897436","0.464883","139","139","35","4","0.464883","139","0","0","2","87","0","160","332","0","0","0","0","39","0","38","0","39","65","0","38","0","160","332","0","0","0","0","39","0","38","0","39","65","0","38","0","0","0","17","0","5","0","0","0","0","0","0","1","0","0","0","0","0","5","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L321","0","0","0","0","0","0","0","0","1","0","0","4","0","17","10","0","3","1","0.521739","12","12","3","0","0.521739","12","0","0","1","1","0","11","24","1","0","1","0","3","0","2","0","3","2","0","2","0","11","24","1","0","1","0","3","0","2","0","3","2","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L561","0","0","0","0","0","0","0","0","1","2","2","20","1","2","20","1","9","0","0","0","0","0","3","0","0","0","0","0","0","0","64","75","8","0","8","0","8","0","2","0","8","34","0","2","0","64","75","8","0","8","0","8","0","2","0","8","34","0","2","0","0","0","20","1","4","0","0","0","0","0","0","0","0","0","0","0","0","4","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","false"
"L351","0","0","0","0","0","0","0","0","0","0","0","4","2","3","3","3","7","1","0.571429","28","28","5","0","0.571429","28","1","1","0","0","1","21","49","5","3","4","3","4","0","4","0","7","6","0","6","0","21","49","5","3","4","3","4","0","4","0","7","6","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L629","0","0","0","0","0","0","0","0","1","2","2","15","13","19","34","15","27","0.181818","0.0350877","2","2","2","9","0.0350877","2","1","4","0","0","4","55","71","3","3","3","3","12","0","10","0","12","22","0","10","0","55","71","3","3","3","3","12","0","10","0","12","22","0","10","0","0","0","25","0","2","0","0","0","0","0","0","0","0","0","0","1","0","2","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L648","0","0","0","0","0","0","0","0","1","2","2","11","8","2","6","8","13","0","0","0","0","0","5","0","0","0","0","0","0","0","45","51","2","2","2","2","5","0","4","0","5","21","0","4","0","57","65","2","2","2","2","8","0","7","0","15","24","0","14","0","0","0","23","3","5","0","0","0","0","0","0","1","0","0","1","0","0","3","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","false"
"L759","0","0","0","0","0","0","0","0","3","0","0","5","4","1","1","1","6","0","0","0","0","0","5","0","0","1","2","0","0","2","20","25","1","1","1","1","5","0","4","0","5","5","0","4","0","20","25","1","1","1","1","5","0","4","0","5","5","0","4","0","0","0","15","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","13","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
