@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L121","0","0","0","0","0","0","0","0","3","14","7","118","17","2","2","45","51","0","0.157303","56","0","0","7","0.157303","56","0","0","0","0","0","300","382","0","1","0","1","6","0","6","0","6","191","0","6","0","300","382","0","1","0","1","6","0","6","0","6","191","0","6","0","0","0","32","0","89","0","3","60","0","0","0","1","0","10","2","3","0","16","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","0","0","0","0","true"
"L1407","0.343266","2","11","5","0.387978","0.42515","71","71","1","4","4","20","2","4","6","0","6","0.571429","0.0346821","6","5","4","3","0.0346821","6","0","0","0","0","0","167","183","2","1","2","1","6","0","6","0","6","86","0","6","0","167","183","2","1","2","1","6","0","6","0","6","86","0","6","0","0","11","44","14","39","0","0","0","0","26","0","0","0","3","0","0","0","31","15","0","0","0","0","0","0","0","13","0","0","0","0","0","0","7","0","0","0","0","5","8","0","0","true"
"L2128","0.133178","1","1","1","0.162162","0.166667","12","12","1","5","5","21","6","1","1","9","11","0","0.0649351","5","0","0","3","0.0649351","5","0","0","0","0","0","72","74","0","0","0","0","2","0","2","0","2","41","0","2","0","72","74","0","0","0","0","2","0","2","0","2","41","0","2","0","0","0","19","0","11","0","1","0","0","9","0","0","0","3","0","0","0","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","false"
"L2147","0.307571","3","34","7","0.161943","0.188679","40","40","1","4","4","51","5","3","3","4","8","0.2","0.232975","65","3","1","4","0.232975","65","0","0","0","0","0","214","247","2","0","2","0","4","0","4","0","4","148","0","4","0","214","247","2","0","2","0","4","0","4","0","4","148","0","4","0","0","1","24","9","52","0","0","7","0","12","0","0","0","3","1","0","0","19","7","0","0","0","0","0","0","0","6","0","0","0","0","0","0","17","0","0","2","5","6","1","0","0","false"
"L2427","0.402424","13","237","35","0.342916","0.37246","167","165","17","5","4","170","6","25","45","16","40","0.04","0.0509091","14","5","1","24","0.0630252","30","0","0","0","0","0","261","283","1","7","1","7","24","1","24","0","24","139","1","24","0","446","487","1","7","1","7","25","1","25","0","25","246","1","25","0","0","2","127","4","137","0","0","80","0","50","0","1","0","8","2","1","0","51","52","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","0","15","1","3","0","0","0","false"
"L136","0.0907975","1","2","2","0.0560224","0.0658436","20","16","5","3","3","38","49","29","0","29","42","0.0769231","0.219048","69","21","1","12","0.219048","69","0","0","0","0","0","246","357","15","4","15","4","13","7","12","0","13","172","7","12","0","246","357","15","4","15","4","13","7","12","0","13","172","7","12","0","0","14","45","10","62","0","3","13","0","9","0","1","0","0","3","2","0","49","25","3","0","0","0","0","0","0","7","0","0","0","0","0","0","6","1","0","8","1","0","3","0","0","true"
"L2508","0","0","0","0","0","0","0","0","1","2","1","87","1","42","55","0","41","0","0","0","0","0","42","0","0","0","0","0","0","0","312","319","4","2","4","2","41","1","41","1","41","140","1","41","1","315","322","7","2","7","2","41","4","41","1","41","140","4","41","1","0","1","93","0","104","0","0","4","0","0","0","0","0","0","0","0","0","94","85","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","1","0","8","0","0","0","0","0","false"
"L3592","0","0","0","0","0","0","0","0","2","2","2","16","1","58","104","2","11","0.2","0.0533333","4","3","2","8","0.0533333","4","0","0","0","0","0","71","85","7","3","7","3","9","1","9","0","9","26","1","9","0","71","85","7","3","7","3","9","1","9","0","9","26","1","9","0","0","2","25","3","22","0","1","3","0","0","0","1","0","0","3","0","0","15","19","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","5","0","0","2","0","0","false"
"L990","0.173299","10","25","25","0.200337","0.182171","119","94","1","2","2","15","1","49","2","0","9","0","0.0189036","10","0","0","3","0.0189036","10","0","0","0","0","0","519","594","213","0","213","0","9","211","2","0","9","446","211","2","0","519","594","213","0","213","0","9","211","2","0","9","446","211","2","0","0","0","61","4","278","0","0","1","0","20","0","0","0","0","2","0","0","217","21","0","0","0","0","0","0","0","4","0","0","0","0","0","0","55","1","0","20","2","0","0","0","0","false"
"L1376","0.534884","1","4","2","0.59375","0.55","38","22","2","1","1","5","1","10","5","0","3","0","0.240741","13","1","0","4","0.240741","13","0","0","0","0","0","41","64","12","0","12","0","3","9","3","0","3","13","9","3","0","41","64","12","0","12","0","3","9","3","0","3","13","9","3","0","0","0","31","5","6","0","0","0","0","19","0","1","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","6","0","0","5","0","0","false"
"L1514","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","7","1","0","1","0","1","0","1","0","1","1","0","1","0","6","7","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
