"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","mcMMO.java","src/main/java/com/gmail/nossr50/mcMMO.java","L112","23","0","280","5","11","309","55","2"
"L116","AbilityAPI.java","src/main/java/com/gmail/nossr50/api/AbilityAPI.java","L115","3","0","62","0","5","11","208","0"
"L117","ChatAPI.java","src/main/java/com/gmail/nossr50/api/ChatAPI.java","L115","1","0","53","0","7","26","1840","0"
"L118","ExperienceAPI.java","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","L115","10","0","165","0","8","38","55","0"
"L119","PartyAPI.java","src/main/java/com/gmail/nossr50/api/PartyAPI.java","L115","4","0","63","0","6","28","1840","0"
"L120","SpoutHudAPI.java","src/main/java/com/gmail/nossr50/api/SpoutHudAPI.java","L115","1","0","14","0","2","2","258","0"
"L121","SpoutToolsAPI.java","src/main/java/com/gmail/nossr50/api/SpoutToolsAPI.java","L115","6","0","34","0","4","11","258","0"
"L660","AdminChatManager.java","src/main/java/com/gmail/nossr50/chat/AdminChatManager.java","L659","1","0","17","0","1","1","1840","0"
"L661","ChatManager.java","src/main/java/com/gmail/nossr50/chat/ChatManager.java","L659","3","0","37","1","4","11","1840","0"
"L662","ChatManagerFactory.java","src/main/java/com/gmail/nossr50/chat/ChatManagerFactory.java","L659","5","0","23","0","1","1","1840","0"
"L663","ChatMode.java","src/main/java/com/gmail/nossr50/chat/ChatMode.java","L659","7","0","55","0","2","2","258","0"
"L664","PartyChatManager.java","src/main/java/com/gmail/nossr50/chat/PartyChatManager.java","L659","2","0","26","0","1","2","1840","1"
"L820","KrakenCommand.java","src/main/java/com/gmail/nossr50/commands/KrakenCommand.java","L819","8","0","54","0","1","2","1840","1"
"L821","McabilityCommand.java","src/main/java/com/gmail/nossr50/commands/McabilityCommand.java","L819","2","0","23","0","4","6","1840","0"
"L822","McgodCommand.java","src/main/java/com/gmail/nossr50/commands/McgodCommand.java","L819","2","0","23","0","4","6","1840","0"
"L823","McmmoCommand.java","src/main/java/com/gmail/nossr50/commands/McmmoCommand.java","L819","20","0","91","1","2","4","1840","0"
"L824","McnotifyCommand.java","src/main/java/com/gmail/nossr50/commands/McnotifyCommand.java","L819","3","0","28","0","3","5","1840","0"
"L825","McrefreshCommand.java","src/main/java/com/gmail/nossr50/commands/McrefreshCommand.java","L819","1","0","26","0","4","8","1840","0"
"L826","McscoreboardCommand.java","src/main/java/com/gmail/nossr50/commands/McscoreboardCommand.java","L819","24","0","114","0","1","1","1840","0"
"L827","MobhealthCommand.java","src/main/java/com/gmail/nossr50/commands/MobhealthCommand.java","L819","5","0","56","0","1","3","1840","0"
"L828","ToggleCommand.java","src/main/java/com/gmail/nossr50/commands/ToggleCommand.java","L819","9","0","66","0","1","2","1840","1"
"L829","XprateCommand.java","src/main/java/com/gmail/nossr50/commands/XprateCommand.java","L819","14","0","82","0","2","3","1840","0"
"L3300","AdvancedConfig.java","src/main/java/com/gmail/nossr50/config/AdvancedConfig.java","L3299","3","0","214","2","6","60","648","4"
"L3301","AutoUpdateConfigLoader.java","src/main/java/com/gmail/nossr50/config/AutoUpdateConfigLoader.java","L3299","19","0","97","0","1","2","258","0"
"L3302","Config.java","src/main/java/com/gmail/nossr50/config/Config.java","L3299","10","0","193","3","9","150","1840","4"
"L3303","ConfigLoader.java","src/main/java/com/gmail/nossr50/config/ConfigLoader.java","L3299","9","0","76","0","5","25","648","0"
"L3304","HiddenConfig.java","src/main/java/com/gmail/nossr50/config/HiddenConfig.java","L3299","3","0","43","0","4","12","258","0"
"L4331","DatabaseManager.java","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","L4330","1","0","19","0","4","13","55","0"
