"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","mcMMO.java","src/main/java/com/gmail/nossr50/mcMMO.java","L112","45","0","385","7","13","354","648","0"
"L116","AbilityAPI.java","src/main/java/com/gmail/nossr50/api/AbilityAPI.java","L115","3","0","62","0","5","13","1840","0"
"L117","ChatAPI.java","src/main/java/com/gmail/nossr50/api/ChatAPI.java","L115","1","0","53","0","7","28","1840","0"
"L118","ExperienceAPI.java","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","L115","8","0","171","0","8","48","1840","0"
"L119","PartyAPI.java","src/main/java/com/gmail/nossr50/api/PartyAPI.java","L115","5","0","72","0","7","32","648","0"
"L649","AdminChatManager.java","src/main/java/com/gmail/nossr50/chat/AdminChatManager.java","L648","1","0","17","0","2","2","648","0"
"L650","ChatManager.java","src/main/java/com/gmail/nossr50/chat/ChatManager.java","L648","3","0","39","1","4","13","648","0"
"L651","ChatManagerFactory.java","src/main/java/com/gmail/nossr50/chat/ChatManagerFactory.java","L648","5","0","24","0","1","2","1840","0"
"L652","PartyChatManager.java","src/main/java/com/gmail/nossr50/chat/PartyChatManager.java","L648","6","0","39","2","2","8","648","0"
"L794","KrakenCommand.java","src/main/java/com/gmail/nossr50/commands/KrakenCommand.java","L793","8","0","53","1","2","9","648","0"
"L795","McabilityCommand.java","src/main/java/com/gmail/nossr50/commands/McabilityCommand.java","L793","2","0","24","0","5","8","1840","0"
"L796","McconvertCommand.java","src/main/java/com/gmail/nossr50/commands/McconvertCommand.java","L793","14","0","73","0","1","1","1840","0"
"L797","McgodCommand.java","src/main/java/com/gmail/nossr50/commands/McgodCommand.java","L793","2","0","24","0","5","8","1840","0"
"L798","McmmoCommand.java","src/main/java/com/gmail/nossr50/commands/McmmoCommand.java","L793","19","0","90","1","4","9","648","0"
"L799","McnotifyCommand.java","src/main/java/com/gmail/nossr50/commands/McnotifyCommand.java","L793","3","0","28","0","3","5","1840","0"
"L800","McrefreshCommand.java","src/main/java/com/gmail/nossr50/commands/McrefreshCommand.java","L793","1","0","27","0","4","10","1840","0"
"L801","McscoreboardCommand.java","src/main/java/com/gmail/nossr50/commands/McscoreboardCommand.java","L793","13","0","72","0","3","7","648","0"
"L802","MobhealthCommand.java","src/main/java/com/gmail/nossr50/commands/MobhealthCommand.java","L793","5","0","55","0","3","6","648","0"
"L803","ToggleCommand.java","src/main/java/com/gmail/nossr50/commands/ToggleCommand.java","L793","9","0","60","1","2","7","648","0"
"L804","XprateCommand.java","src/main/java/com/gmail/nossr50/commands/XprateCommand.java","L793","14","0","79","0","3","5","1840","0"
"L3607","AdvancedConfig.java","src/main/java/com/gmail/nossr50/config/AdvancedConfig.java","L3606","152","0","569","6","8","96","648","0"
"L3608","AutoUpdateConfigLoader.java","src/main/java/com/gmail/nossr50/config/AutoUpdateConfigLoader.java","L3606","19","0","97","0","5","9","648","0"
"L3609","Config.java","src/main/java/com/gmail/nossr50/config/Config.java","L3606","69","0","345","7","12","201","648","0"
"L3610","ConfigLoader.java","src/main/java/com/gmail/nossr50/config/ConfigLoader.java","L3606","6","0","71","0","5","34","1840","0"
"L3611","HiddenConfig.java","src/main/java/com/gmail/nossr50/config/HiddenConfig.java","L3606","3","0","43","0","4","12","258","0"
"L4904","DatabaseManager.java","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","L4903","1","0","23","0","5","19","1840","0"
"L4905","DatabaseManagerFactory.java","src/main/java/com/gmail/nossr50/database/DatabaseManagerFactory.java","L4903","11","0","59","0","4","7","55","0"
"L4906","FlatfileDatabaseManager.java","src/main/java/com/gmail/nossr50/database/FlatfileDatabaseManager.java","L4903","85","0","706","1","5","35","648","0"
"L4907","SQLDatabaseManager.java","src/main/java/com/gmail/nossr50/database/SQLDatabaseManager.java","L4903","129","0","992","1","5","43","1840","0"
"L5426","MobHealthbarType.java","src/main/java/com/gmail/nossr50/datatypes/MobHealthbarType.java","L5425","1","0","6","0","1","1","1840","0"
"L7063","BlockListener.java","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","L7062","100","0","255","1","12","166","648","0"
"L7064","EntityListener.java","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","L7062","122","0","449","7","8","167","648","1"
"L7065","InventoryListener.java","src/main/java/com/gmail/nossr50/listeners/InventoryListener.java","L7062","62","0","271","7","6","55","648","0"
