@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L4213","0.0727763","1","10","2","0.0495495","0.0613497","22","20","2","3","3","72","49","107","131","58","86","0.0952381","0.106849","39","17","2","19","0.106849","39","0","0","0","0","0","326","444","32","10","32","10","28","18","20","2","28","181","18","20","2","326","444","32","10","32","10","28","18","20","2","28","181","18","20","2","0","3","82","6","76","0","7","0","0","9","0","1","0","1","0","6","0","57","53","1","0","0","0","0","0","0","1","0","0","0","0","0","0","16","0","0","12","4","0","0","0","0","true"
"L120","0","0","0","0","0","0","0","0","9","2","2","19","3","0","0","2","19","0","0","0","0","0","17","0","0","0","0","0","0","0","57","75","0","0","0","0","17","0","16","7","17","20","0","16","7","57","75","0","0","0","0","17","0","16","7","17","20","0","16","7","0","0","40","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L204","0","0","0","0","0","0","0","0","11","0","0","14","7","0","0","6","20","0.923077","0.65625","84","84","12","1","0.65625","84","0","0","0","0","0","44","142","0","1","0","1","14","0","12","0","14","15","0","12","0","44","142","0","1","0","1","14","0","12","0","14","15","0","12","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L296","0","0","0","0","0","0","0","0","3","2","2","47","10","0","0","27","67","0.916667","0.705009","380","380","33","3","0.705009","380","0","0","0","0","0","159","600","0","19","0","19","40","0","35","4","40","70","0","35","4","159","600","0","19","0","19","40","0","35","4","40","70","0","35","4","0","0","23","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","7","0","0","0","0","0","true"
"L550","0","0","0","0","0","0","0","0","5","1","1","19","4","0","0","13","28","0.8","0.605096","95","95","12","3","0.605096","95","0","0","0","0","0","62","176","0","8","0","8","15","0","14","1","15","26","0","14","1","62","176","0","8","0","8","15","0","14","1","15","26","0","14","1","0","0","9","1","3","0","0","0","0","0","0","1","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","false"
"L653","0","0","0","0","0","0","0","0","1","0","0","3","3","1","1","6","9","0","0","0","0","0","2","0","0","1","1","0","0","1","13","15","6","0","0","0","3","0","1","0","8","3","0","4","0","13","15","6","0","0","0","3","0","1","0","8","3","0","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L269","0","0","0","0","0","0","0","0","2","1","1","9","2","8","7","5","12","0","0","0","0","0","5","0","0","0","0","2","2","0","34","45","6","0","6","0","7","0","4","0","7","13","0","4","0","34","45","6","0","6","0","7","0","4","0","7","13","0","4","0","0","0","19","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","false"
"L726","0","0","0","0","0","0","0","0","0","2","2","5","4","3","5","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","20","23","2","1","2","1","1","0","1","0","1","8","0","1","0","20","23","2","1","2","1","1","0","1","0","1","8","0","1","0","0","0","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","false"
"L276","0","0","0","0","0","0","0","0","1","2","2","9","5","4","4","13","17","0","0","0","0","0","3","0","0","1","1","0","0","1","29","36","7","0","1","0","4","0","2","1","9","12","0","5","1","29","36","7","0","1","0","4","0","2","1","9","12","0","5","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","true"
"L1363","0.269006","1","3","1","0.204082","0.243902","10","10","2","2","2","9","5","1","0","9","11","0","0","0","0","0","3","0","0","0","0","0","0","0","41","49","0","0","0","0","2","0","2","0","2","19","0","2","0","41","49","0","0","0","0","2","0","2","0","2","19","0","2","0","0","0","19","0","5","0","0","0","0","11","0","1","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1385","0","0","0","0","0","0","0","0","4","0","0","5","4","1","0","7","11","0","0","0","0","0","1","0","0","1","1","0","0","1","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
