"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L118","CanvasActivator.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java","L117","1","0","32","0","0","1","0","0"
"L119","ComponentRegistryAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java","L117","1","0","16","0","0","1","0","0"
"L120","MenuManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L121","PolicyManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L14480","AbstractBorderAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AbstractBorderAction.java","L14479","5","0","57","0","0","1","0","0"
"L14481","AlignBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignBottomAction.java","L14479","1","0","37","0","0","1","0","0"
"L14482","AlignHorizontalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignHorizontalCenterAction.java","L14479","1","0","37","0","0","1","0","0"
"L14483","AlignLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignLeftAction.java","L14479","1","0","37","0","0","1","0","0"
"L14484","AlignmentMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignmentMenu.java","L14479","1","0","39","0","0","1","0","0"
"L14485","AlignRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignRightAction.java","L14479","1","0","37","0","0","1","0","0"
"L14486","AlignTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignTopAction.java","L14479","1","0","37","0","0","1","0","0"
"L14487","AlignVerticalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignVerticalCenterAction.java","L14479","1","0","37","0","0","1","0","0"
"L14488","BordersAllOrNoneAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersAllOrNoneAction.java","L14479","11","0","119","0","0","1","0","0"
"L14489","BordersBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersBottomAction.java","L14479","1","0","20","0","0","1","0","0"
"L14490","BordersLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersLeftAction.java","L14479","1","0","20","0","0","1","0","0"
"L14491","BordersMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersMenu.java","L14479","1","0","34","0","0","1","0","0"
"L14492","BordersRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersRightAction.java","L14479","1","0","20","0","0","1","0","0"
"L14493","BordersTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersTopAction.java","L14479","1","0","20","0","0","1","0","0"
"L14494","BorderStylesAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesAction.java","L14479","5","0","92","0","0","1","0","0"
"L14495","BorderStylesMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesMenu.java","L14479","1","0","28","0","0","1","0","0"
"L14496","BringToFrontAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BringToFrontAction.java","L14479","2","0","39","0","0","1","0","0"
"L14497","ChangeViewAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/ChangeViewAction.java","L14479","9","0","102","0","0","1","0","0"
"L14498","GridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/GridMenu.java","L14479","1","0","30","0","0","1","0","0"
"L14499","MenuUtil.java","canvas/src/main/java/gov/nasa/arc/mct/menu/MenuUtil.java","L14479","13","0","58","0","0","1","0","0"
"L14500","PanelTitleBarAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/PanelTitleBarAction.java","L14479","6","0","53","0","0","1","0","0"
"L14501","RemovePanelAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/RemovePanelAction.java","L14479","2","0","37","0","0","1","0","0"
"L14502","SelectAllAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SelectAllAction.java","L14479","3","0","37","0","0","1","0","0"
"L14503","SendToBackAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SendToBackAction.java","L14479","2","0","39","0","0","1","0","0"
"L14504","WindowGridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/WindowGridMenu.java","L14479","1","0","30","0","0","1","0","0"
"L212","ControlAreaFormattingConstants.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java","L211","6","0","65","0","0","1","0","0"
"L323","CanvasLayoutManager.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/layout/CanvasLayoutManager.java","L322","33","0","236","0","0","1","0","0"
