@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","1","0","32","0","0","1","0","false"
"L119","1","0","16","0","0","1","0","false"
"L120","1","0","15","0","0","1","0","false"
"L121","1","0","15","0","0","1","0","false"
"L14480","5","0","57","0","0","1","0","false"
"L14481","1","0","37","0","0","1","0","false"
"L14482","1","0","37","0","0","1","0","false"
"L14483","1","0","37","0","0","1","0","false"
"L14484","1","0","39","0","0","1","0","false"
"L14485","1","0","37","0","0","1","0","false"
"L14486","1","0","37","0","0","1","0","false"
"L14487","1","0","37","0","0","1","0","false"
"L14488","11","0","119","0","0","1","0","false"
"L14489","1","0","20","0","0","1","0","false"
"L14490","1","0","20","0","0","1","0","false"
"L14491","1","0","34","0","0","1","0","false"
"L14492","1","0","20","0","0","1","0","false"
"L14493","1","0","20","0","0","1","0","false"
"L14494","5","0","92","0","0","1","0","false"
"L14495","1","0","28","0","0","1","0","false"
"L14496","2","0","39","0","0","1","0","false"
"L14497","9","0","102","0","0","1","0","false"
"L14498","1","0","30","0","0","1","0","false"
"L14499","13","0","58","0","0","1","0","false"
"L14500","6","0","53","0","0","1","0","false"
"L14501","2","0","37","0","0","1","0","false"
"L14502","3","0","37","0","0","1","0","false"
"L14503","2","0","39","0","0","1","0","false"
"L14504","1","0","30","0","0","1","0","false"
"L212","6","0","65","0","0","1","0","false"
"L323","33","0","236","0","0","1","0","false"
"L590","6","0","52","1","70","2","0","false"
"L591","5","0","76","0","0","1","0","false"
"L592","50","0","602","1","70","2","0","false"
"L593","28","0","201","0","0","1","0","false"
"L594","6","0","92","0","0","1","0","false"
"L1660","1","0","33","0","0","1","0","false"
"L1661","11","0","190","0","0","1","0","false"
"L1930","3","0","24","0","0","1","0","false"
"L1931","1","0","14","1","70","2","0","false"
"L2006","1","0","162","0","0","1","0","false"
"L2191","145","0","670","2","70","6","0","false"
"L2192","50","0","269","0","0","1","0","false"
"L2193","111","0","1495","1","70","2","0","false"
"L2194","41","0","134","0","0","1","0","false"
"L2195","112","0","868","1","70","2","0","false"
"L2196","8","0","92","0","0","1","0","false"
"L2197","10","0","67","0","0","1","0","false"
"L2198","20","0","105","0","0","1","0","false"
"L2199","1","0","12","0","0","1","0","false"
"L2200","16","0","122","0","0","1","0","false"
"L2201","17","0","268","0","0","1","0","false"
"L2202","6","0","51","0","0","1","0","false"
"L2203","1","0","11","0","0","1","0","false"
"L2204","1","0","11","0","0","1","0","false"
"L2205","1","0","14","0","0","1","0","false"
"L5495","2","0","141","0","0","1","0","false"
"L5496","4","0","37","0","0","1","0","false"
"L129","1","0","50","0","0","1","0","false"
"L130","1","0","22","0","0","1","0","false"
"L131","1","0","22","0","0","1","0","false"
"L14506","1","0","56","0","0","1","0","false"
"L325","1","0","113","0","0","1","0","false"
"L596","1","0","29","0","0","1","0","false"
"L1663","1","0","45","0","0","1","0","false"
"L1664","2","0","25","0","0","1","0","false"
"L1933","1","0","28","1","70","2","0","false"
"L2207","32","0","882","0","0","1","0","false"
"L2208","3","0","229","1","70","2","0","false"
"L2209","1","0","63","0","0","1","0","false"
"L2210","2","0","110","0","0","1","0","false"
"L2211","6","0","245","0","0","1","0","false"
"L2212","1","0","60","0","0","1","0","false"
"L2213","11","0","74","0","0","1","0","false"
"L5407","1","0","25","1","70","1","0","false"
"L5413","3","0","89","0","0","1","0","false"
"L5416","15","0","154","1","70","1","0","false"
"L5422","7","0","72","1","70","3","0","false"
"L5430","23","0","336","1","70","1","0","false"
"L29708","66","0","619","3","590","15","0","false"
"L29713","1","0","123","3","70","5","0","false"
"L30596","3","0","40","1","70","1","0","false"
"L32163","1","0","36","1","70","1","0","false"
"L32289","25","0","244","1","70","2","0","false"
"L33888","1","0","16","2","590","4","0","false"
"L33889","74","0","549","2","590","4","0","false"
"L33893","5","0","30","2","590","4","0","false"
"L33894","1","0","46","2","590","4","0","false"
"L5498","2","0","19","1","70","1","0","false"
"L29680","1","0","7","1","70","1","0","false"
"L29681","1","0","1","1","70","1","0","false"
"L29682","1","0","9","2","590","4","0","false"
"L30039","1","0","4","1","70","1","0","false"
"L31376","1","0","1","1","70","1","0","false"
"L31398","1","0","5","0","0","1","0","false"
"L31400","1","0","25","2","70","6","0","false"
"L31401","1","0","30","1","70","1","0","false"
"L31403","14","0","70","1","70","1","0","false"
"L32710","1","0","16","3","70","5","0","false"
"L32749","1","0","8","1","70","1","0","false"
"L32761","3","0","19","1","70","1","0","false"
"L33080","1","0","20","2","70","8","0","false"
"L33081","1","0","12","1","70","1","0","false"
"L33084","1","0","13","2","70","8","0","false"
"L33085","2","0","20","1","70","1","0","false"
"L5442","1","0","38","1","70","1","0","false"
"L5443","2","0","148","1","70","1","0","false"
"L5445","15","0","367","3","70","5","0","false"
"L5446","1","0","118","1","70","1","0","false"
"L5447","4","0","175","1","70","1","0","false"
"L29723","2","0","154","2","590","8","0","false"
"L30599","5","0","67","1","70","1","0","false"
"L32292","3","0","46","1","70","1","0","false"
"L32293","1","0","209","1","70","1","0","false"
"L5501","1","0","13","1","70","1","0","false"
"L5502","1","0","63","2","70","4","0","false"
"L31410","1","0","40","1","70","1","0","false"
"L5457","6","0","93","2","70","4","0","false"
"L35935","3","0","51","1","70","1","0","false"
"L36017","1","0","56","1","70","1","0","false"
"L36584","1","0","31","1","70","1","0","false"
"L35927","1","0","8","1","70","1","0","false"
"L35930","1","0","9","1","70","1","0","false"
"L35931","2","0","17","1","70","1","0","false"
"L35932","1","0","10","1","70","1","0","false"
"L36000","4","0","21","1","70","1","0","false"
"L36001","3","0","25","1","70","1","0","false"
"L36004","2","0","16","1","70","1","0","false"
"L36007","4","0","17","1","70","1","0","false"
"L36010","10","0","45","1","70","1","0","false"
"L36011","1","0","13","1","70","1","0","false"
"L36244","4","0","120","1","70","2","0","false"
"L36245","6","0","85","1","70","1","0","false"
"L36343","11","0","120","1","70","2","0","false"
"L36344","5","0","144","1","70","1","0","false"
"L36345","4","0","69","1","70","1","0","false"
"L31387","7","0","141","0","0","1","0","false"
"L31391","9","0","243","0","0","1","0","false"
"L37177","6","0","54","1","70","1","0","false"
"L36665","41","0","560","1","70","1","0","false"
"L36667","23","0","252","1","70","1","0","false"
"L36668","35","0","246","2","590","3","0","false"
"L36672","1","0","151","1","590","3","0","false"
"L14926","1","0","27","0","0","1","0","false"
"L14927","1","0","1","0","0","1","0","false"
"L14930","1","0","16","0","0","1","0","false"
"L14931","1","0","1","0","0","1","0","false"
"L14932","1","0","15","0","0","1","0","false"
"L14993","1","0","15","1","70","1","0","false"
"L15010","7","0","180","2","70","8","0","false"
"L15011","7","0","70","1","70","1","0","false"
"L15012","7","0","77","1","70","1","0","false"
"L15013","7","0","78","1","70","1","0","false"
"L15014","7","0","69","1","70","1","0","false"
"L15015","7","0","68","1","70","1","0","false"
"L15016","12","0","53","1","70","1","0","false"
"L15017","7","0","59","2","70","6","0","false"
"L15018","12","0","53","1","70","1","0","false"
"L15472","1","0","10","1","70","1","0","false"
"L15483","1","0","14","1","70","1","0","false"
"L15484","15","0","230","2","590","4","0","false"
"L15485","1","0","16","1","70","1","0","false"
"L15722","83","0","774","2","590","17","0","false"
"L15027","11","0","159","1","70","1","0","false"
"L15028","10","0","50","1","70","1","0","false"
"L15487","2","0","105","1","70","1","0","false"
"L15724","20","0","364","2","70","9","0","false"
"L16204","1","0","49","0","0","1","0","false"
"L16205","4","0","27","0","0","1","0","false"
"L16206","3","0","29","0","0","1","0","false"
"L16218","2","0","21","0","0","1","0","false"
"L16219","9","0","62","0","0","1","0","false"
"L16220","5","0","40","0","0","1","0","false"
"L16221","1","0","8","0","0","1","0","false"
