"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L118","CanvasActivator.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java","L117","1","0","32","0","0","1","0","0"
"L119","ComponentRegistryAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java","L117","1","0","16","0","0","1","0","0"
"L120","MenuManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L121","PolicyManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L15173","AbstractBorderAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AbstractBorderAction.java","L15172","5","0","57","0","0","1","0","0"
"L15174","AlignBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignBottomAction.java","L15172","1","0","37","0","0","1","0","0"
"L15175","AlignHorizontalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignHorizontalCenterAction.java","L15172","1","0","37","0","0","1","0","0"
"L15176","AlignLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignLeftAction.java","L15172","1","0","37","0","0","1","0","0"
"L15177","AlignmentMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignmentMenu.java","L15172","1","0","39","0","0","1","0","0"
"L15178","AlignRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignRightAction.java","L15172","1","0","37","0","0","1","0","0"
"L15179","AlignTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignTopAction.java","L15172","1","0","37","0","0","1","0","0"
"L15180","AlignVerticalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignVerticalCenterAction.java","L15172","1","0","37","0","0","1","0","0"
"L15181","BordersAllOrNoneAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersAllOrNoneAction.java","L15172","11","0","119","0","0","1","0","0"
"L15182","BordersBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersBottomAction.java","L15172","1","0","20","0","0","1","0","0"
"L15183","BordersLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersLeftAction.java","L15172","1","0","20","0","0","1","0","0"
"L15184","BordersMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersMenu.java","L15172","1","0","34","0","0","1","0","0"
"L15185","BordersRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersRightAction.java","L15172","1","0","20","0","0","1","0","0"
"L15186","BordersTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersTopAction.java","L15172","1","0","20","0","0","1","0","0"
"L15187","BorderStylesAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesAction.java","L15172","5","0","92","0","0","1","0","0"
"L15188","BorderStylesMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesMenu.java","L15172","1","0","28","0","0","1","0","0"
"L15189","BringToFrontAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BringToFrontAction.java","L15172","2","0","39","0","0","1","0","0"
"L15190","ChangeViewAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/ChangeViewAction.java","L15172","9","0","102","0","0","1","0","0"
"L15191","ExportPanelAsImageAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/ExportPanelAsImageAction.java","L15172","14","0","107","1","70","2","0","0"
"L15192","GridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/GridMenu.java","L15172","1","0","30","0","0","1","0","0"
"L15193","MenuUtil.java","canvas/src/main/java/gov/nasa/arc/mct/menu/MenuUtil.java","L15172","13","0","58","0","0","1","0","0"
"L15194","PanelTitleBarAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/PanelTitleBarAction.java","L15172","6","0","53","0","0","1","0","0"
"L15195","RemovePanelAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/RemovePanelAction.java","L15172","2","0","37","0","0","1","0","0"
"L15196","SelectAllAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SelectAllAction.java","L15172","3","0","37","0","0","1","0","0"
"L15197","SendToBackAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SendToBackAction.java","L15172","2","0","39","0","0","1","0","0"
"L15198","WindowGridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/WindowGridMenu.java","L15172","1","0","30","0","0","1","0","0"
"L212","ControlAreaFormattingConstants.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java","L211","6","0","65","0","0","1","0","0"
