@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","1","0","32","0","0","1","0","false"
"L119","1","0","16","0","0","1","0","false"
"L120","1","0","15","0","0","1","0","false"
"L121","1","0","15","0","0","1","0","false"
"L15173","5","0","57","0","0","1","0","false"
"L15174","1","0","37","0","0","1","0","false"
"L15175","1","0","37","0","0","1","0","false"
"L15176","1","0","37","0","0","1","0","false"
"L15177","1","0","39","0","0","1","0","false"
"L15178","1","0","37","0","0","1","0","false"
"L15179","1","0","37","0","0","1","0","false"
"L15180","1","0","37","0","0","1","0","false"
"L15181","11","0","119","0","0","1","0","false"
"L15182","1","0","20","0","0","1","0","false"
"L15183","1","0","20","0","0","1","0","false"
"L15184","1","0","34","0","0","1","0","false"
"L15185","1","0","20","0","0","1","0","false"
"L15186","1","0","20","0","0","1","0","false"
"L15187","5","0","92","0","0","1","0","false"
"L15188","1","0","28","0","0","1","0","false"
"L15189","2","0","39","0","0","1","0","false"
"L15190","9","0","102","0","0","1","0","false"
"L15191","14","0","107","1","70","2","0","false"
"L15192","1","0","30","0","0","1","0","false"
"L15193","13","0","58","0","0","1","0","false"
"L15194","6","0","53","0","0","1","0","false"
"L15195","2","0","37","0","0","1","0","false"
"L15196","3","0","37","0","0","1","0","false"
"L15197","2","0","39","0","0","1","0","false"
"L15198","1","0","30","0","0","1","0","false"
"L212","6","0","65","0","0","1","0","false"
"L323","33","0","236","0","0","1","0","false"
"L590","6","0","52","1","70","2","0","false"
"L591","5","0","76","0","0","1","0","false"
"L592","52","0","610","1","70","3","0","false"
"L593","28","0","201","0","0","1","0","false"
"L594","6","0","96","2","590","5","0","false"
"L1674","1","0","33","0","0","1","0","false"
"L1675","11","0","190","0","0","1","0","false"
"L1944","3","0","24","0","0","1","0","false"
"L1945","1","0","14","1","70","2","0","false"
"L2017","3","0","174","3","590","11","0","false"
"L2228","147","0","683","3","590","12","0","false"
"L2229","50","0","269","0","0","1","0","false"
"L2230","111","0","1495","1","70","3","0","false"
"L2231","41","0","134","0","0","1","0","false"
"L2232","120","0","903","2","70","11","0","false"
"L2233","8","0","92","0","0","1","0","false"
"L2234","10","0","67","0","0","1","0","false"
"L2235","20","0","105","0","0","1","0","false"
"L2236","1","0","12","0","0","1","0","false"
"L2237","16","0","122","0","0","1","0","false"
"L2238","12","0","239","2","590","10","0","true"
"L2239","6","0","51","0","0","1","0","false"
"L2240","1","0","11","0","0","1","0","false"
"L2241","1","0","11","0","0","1","0","false"
"L2242","1","0","14","0","0","1","0","false"
"L5514","2","0","141","0","0","1","0","false"
"L5515","4","0","37","0","0","1","0","false"
"L129","1","0","50","0","0","1","0","false"
"L130","1","0","22","0","0","1","0","false"
"L131","1","0","22","0","0","1","0","false"
"L15200","1","0","56","0","0","1","0","false"
"L325","1","0","113","0","0","1","0","false"
"L596","1","0","29","0","0","1","0","false"
"L1677","1","0","45","0","0","1","0","false"
"L1678","2","0","25","0","0","1","0","false"
"L1947","1","0","28","1","70","2","0","false"
"L2244","32","0","882","0","0","1","0","false"
"L2245","3","0","229","1","70","2","0","false"
"L2246","1","0","63","0","0","1","0","false"
"L2247","2","0","139","2","590","4","0","false"
"L2248","6","0","245","0","0","1","0","false"
"L2249","1","0","60","0","0","1","0","false"
"L2250","12","0","110","2","590","4","0","false"
"L5454","1","0","25","1","70","1","0","false"
"L5455","7","0","46","2","590","7","0","false"
"L5457","7","0","47","1","70","1","0","false"
"L5460","33","0","276","2","590","4","0","false"
"L5462","3","0","89","0","0","1","0","false"
"L5465","15","0","154","1","70","1","0","false"
"L5471","7","0","72","1","70","3","0","false"
"L5476","3","0","54","2","590","8","0","false"
"L5479","3","0","41","1","590","3","0","false"
"L5480","23","0","340","3","590","5","0","false"
"L5482","1","0","6","2","590","5","0","false"
"L34065","75","0","668","4","590","44","0","false"
"L34070","1","0","123","3","70","5","0","false"
"L34075","1","0","35","2","590","3","0","false"
"L34989","3","0","40","1","70","1","0","false"
"L35419","1","0","1","1","590","3","0","false"
"L36897","1","0","37","2","590","4","0","false"
"L37021","27","0","266","4","45","20","0","false"
"L34039","1","0","7","1","70","1","0","false"
"L34040","1","0","1","1","70","1","0","false"
"L34041","1","0","9","2","590","4","0","false"
"L34431","1","0","4","1","70","1","0","false"
"L34432","1","0","5","2","590","4","0","false"
"L35072","1","0","16","1","590","4","0","false"
"L35073","74","0","549","1","590","4","0","false"
"L35074","5","0","21","1","590","4","0","false"
"L35075","1","0","23","1","590","4","0","false"
"L35076","5","0","30","1","590","4","0","false"
"L35077","1","0","46","1","590","4","0","false"
"L36157","1","0","1","1","70","1","0","false"
"L36178","1","0","8","2","70","4","0","false"
"L36180","1","0","26","2","70","9","0","false"
"L36181","1","0","28","4","590","9","0","false"
"L36183","18","0","79","4","590","13","0","false"
"L36186","1","0","15","2","590","6","0","false"
"L37479","1","0","16","3","70","5","0","false"
"L37509","1","0","39","2","590","5","0","false"
"L37511","1","0","14","2","590","6","0","false"
"L37512","1","0","10","3","45","6","0","false"
"L37514","5","0","79","2","590","15","0","false"
"L37524","3","0","19","1","70","1","0","false"
"L37526","3","0","23","2","590","5","0","false"
"L37527","15","0","137","2","45","16","1","false"
"L37528","1","0","14","2","590","4","0","false"
"L37986","1","0","20","2","70","8","0","false"
"L37987","1","0","13","4","590","9","0","false"
"L37990","1","0","14","3","590","12","0","false"
"L37991","2","0","20","1","70","1","0","false"
"L5492","1","0","38","1","70","1","0","false"
"L5493","2","0","148","1","70","1","0","false"
"L5495","15","0","367","3","70","5","0","false"
"L5496","6","0","90","2","590","6","0","false"
"L5497","1","0","118","1","70","1","0","false"
"L5498","4","0","175","1","70","1","0","false"
"L5499","12","0","74","2","590","4","0","false"
"L34080","2","0","154","3","590","11","0","false"
"L34992","5","0","67","1","70","1","0","false"
"L37024","1","0","13","1","590","3","0","false"
"L37025","3","0","46","1","70","1","0","false"
"L37026","12","0","264","3","590","7","0","false"
"L38806","1","0","32","1","590","3","0","false"
"L36190","1","0","57","3","590","6","0","false"
"L37531","1","0","17","2","590","3","0","false"
"L37532","1","0","40","2","590","3","0","false"
"L37533","1","0","32","2","590","3","0","false"
"L37534","7","0","96","2","45","5","0","false"
"L5509","6","0","93","2","70","4","0","false"
"L40522","3","0","51","1","70","1","0","false"
"L40523","1","0","37","2","590","3","0","false"
"L40640","1","0","56","1","70","1","0","false"
"L40641","1","0","42","0","0","3","0","false"
"L40642","3","0","86","2","590","3","0","false"
"L40907","5","0","102","2","590","3","0","false"
"L40514","1","0","8","1","70","1","0","false"
"L40517","1","0","9","1","70","1","0","false"
"L40518","2","0","61","3","590","5","0","false"
"L40519","1","0","10","1","70","1","0","false"
"L40623","4","0","21","1","70","1","0","false"
"L40624","3","0","25","1","70","1","0","false"
"L40625","4","0","21","0","0","3","0","false"
"L40627","2","0","16","1","70","1","0","false"
"L40630","6","0","22","3","590","5","0","true"
"L40632","5","0","29","1","590","3","0","false"
"L40633","9","0","37","2","590","3","0","false"
"L40634","1","0","13","1","70","1","0","false"
"L40904","7","0","171","3","590","19","0","false"
"L40905","6","0","85","1","70","1","0","false"
"L41045","11","0","120","1","70","3","0","false"
"L41046","5","0","144","2","590","4","0","false"
"L41047","4","0","69","1","70","1","0","false"
"L36546","1","0","16","1","590","3","0","false"
"L36547","1","0","15","1","590","3","0","false"
"L36167","9","0","86","2","590","8","0","false"
"L36169","15","0","174","2","45","17","0","false"
"L36170","10","0","142","3","590","14","0","false"
"L36174","4","0","125","5","590","19","0","false"
"L44609","6","0","54","1","70","1","0","false"
"L5527","2","0","19","1","590","3","0","false"
"L8834","2","0","41","2","590","4","0","false"
