"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L117","CypherParser.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/CypherParser.java","L116","1","0","22","25","0","10","1634","0"
"L118","ExecutionEngine.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionEngine.java","L116","1","0","31","28","0","9","54","0"
"L119","ExecutionResult.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionResult.java","L116","1","0","35","20","0","8","54","0"
"L120","package-info.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/package-info.java","L116","1","0","1","3","0","2","54","0"
"L127","GraphImpl.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/GraphImpl.java","L126","1","0","41","6","0","6","54","0"
"L128","IntroExamplesTest.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/IntroExamplesTest.java","L126","2","0","93","22","0","10","5350","0"
"L129","JavaExecutionEngineTests.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaExecutionEngineTests.java","L126","3","0","169","58","0","13","5350","0"
"L130","JavaQuery.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQuery.java","L126","4","0","62","10","0","5","5350","0"
"L131","JavaQueryTest.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQueryTest.java","L126","1","0","32","11","0","5","505","0"
"L132","RegularExpressionMatcher.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/RegularExpressionMatcher.java","L126","1","0","31","4","0","4","54","0"
"L582","CalculateShortestPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/CalculateShortestPath.java","L581","6","0","96","4","0","3","5350","0"
"L583","EmbeddedNeo4j.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4j.java","L581","2","0","101","11","0","4","5350","0"
"L584","EmbeddedNeo4jWithIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithIndexing.java","L581","3","0","91","10","0","6","5350","0"
"L585","Matrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/Matrix.java","L581","7","0","181","7","0","5","5350","0"
"L586","Neo4jShell.java","community/embedded-examples/src/main/java/org/neo4j/examples/Neo4jShell.java","L581","9","0","180","11","0","5","5350","0"
"L587","NewMatrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/NewMatrix.java","L581","6","0","175","5","0","3","5350","0"
"L588","TraversalExample.java","community/embedded-examples/src/main/java/org/neo4j/examples/TraversalExample.java","L581","7","0","89","2","0","2","54","0"
"L1129","OrderedPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/orderedpath/OrderedPath.java","L1128","7","0","133","6","0","3","505","0"
"L1243","FriendsStatusUpdateIterator.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/FriendsStatusUpdateIterator.java","L1242","5","0","58","5","0","4","1634","0"
"L1244","Person.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/Person.java","L1242","14","0","293","5","0","4","1634","0"
"L1245","PersonRepository.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/PersonRepository.java","L1242","7","0","120","1","0","1","3997","0"
"L1246","RelTypes.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/RelTypes.java","L1242","1","0","10","1","0","1","3997","0"
"L1247","StatusUpdate.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/StatusUpdate.java","L1242","1","0","47","5","0","4","1634","0"
"L594","AbstractJavaDocTestbase.java","community/embedded-examples/src/test/java/org/neo4j/examples/AbstractJavaDocTestbase.java","L593","2","0","59","18","0","8","5350","0"
"L595","AclExampleTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/AclExampleTest.java","L593","1","0","71","25","0","8","1634","0"
"L596","DocumentationTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/DocumentationTest.java","L593","1","0","28","11","0","6","5350","0"
"L597","EmbeddedNeo4jTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jTest.java","L593","1","0","31","6","0","5","54","0"
"L598","GetOrCreateTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/GetOrCreateTest.java","L593","11","0","170","3","0","3","5350","0"
"L599","JmxTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/JmxTest.java","L593","2","0","39","13","0","5","5350","0"
"L600","MatrixTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/MatrixTest.java","L593","1","0","49","13","0","5","505","0"
"L601","Neo4jBasicTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/Neo4jBasicTest.java","L593","2","0","61","20","0","8","5350","0"
