@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L117","1","0","22","25","0","10","1634","false"
"L118","1","0","31","28","0","9","54","false"
"L119","1","0","35","20","0","8","54","false"
"L120","1","0","1","3","0","2","54","false"
"L127","1","0","41","6","0","6","54","false"
"L128","2","0","93","22","0","10","5350","false"
"L129","3","0","169","58","0","13","5350","false"
"L130","4","0","62","10","0","5","5350","false"
"L131","1","0","32","11","0","5","505","false"
"L132","1","0","31","4","0","4","54","false"
"L582","6","0","96","4","0","3","5350","false"
"L583","2","0","101","11","0","4","5350","false"
"L584","3","0","91","10","0","6","5350","false"
"L585","7","0","181","7","0","5","5350","false"
"L586","9","0","180","11","0","5","5350","false"
"L587","6","0","175","5","0","3","5350","false"
"L588","7","0","89","2","0","2","54","false"
"L1129","7","0","133","6","0","3","505","false"
"L1243","5","0","58","5","0","4","1634","false"
"L1244","14","0","293","5","0","4","1634","false"
"L1245","7","0","120","1","0","1","3997","false"
"L1246","1","0","10","1","0","1","3997","false"
"L1247","1","0","47","5","0","4","1634","false"
"L594","2","0","59","18","0","8","5350","false"
"L595","1","0","71","25","0","8","1634","false"
"L596","1","0","28","11","0","6","5350","false"
"L597","1","0","31","6","0","5","54","false"
"L598","11","0","170","3","0","3","5350","false"
"L599","2","0","39","13","0","5","5350","false"
"L600","1","0","49","13","0","5","505","false"
"L601","2","0","61","20","0","8","5350","false"
"L602","7","0","174","9","0","5","5350","false"
"L603","3","0","143","38","0","9","1634","false"
"L604","1","0","19","4","0","4","5350","false"
"L605","1","0","53","9","0","6","5350","false"
"L606","4","0","70","15","0","8","5350","false"
