@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L104857","0.214789","3","10","3","0.149635","0.183962","41","39","2","3","3","29","15","1","0","23","40","0","0.0988372","17","0","0","3","0.0711297","17","0","0","0","0","0","155","199","3","2","3","2","17","0","2","0","17","49","0","2","0","222","274","7","2","7","2","27","0","12","0","27","62","0","12","0","0","0","97","0","18","0","0","0","0","28","0","1","0","0","0","1","0","18","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L104997","0","0","0","0","0","0","0","0","1","2","2","10","1","1","1","0","5","0","0","0","0","0","4","0","0","1","1","0","0","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","0","0","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","false"
"L104881","0","0","0","0","0","0","0","0","1","2","2","5","6","1","1","6","8","0","0","0","0","0","3","0","0","1","1","0","0","1","35","39","1","0","1","0","2","0","2","0","2","14","0","2","0","79","86","4","1","4","1","5","0","4","0","5","31","0","4","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L25104","0.218225","2","8","2","0.251799","0.270492","35","33","4","2","2","23","8","40","32","9","20","0.125","0.0393701","5","5","1","7","0.0381679","5","0","0","23","27","0","122","135","3","1","3","1","11","0","7","2","11","46","0","7","2","126","139","6","1","6","1","11","3","7","2","12","46","3","8","2","0","0","48","2","9","0","0","0","0","19","0","1","0","0","0","0","0","8","25","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","false"
"L25808","0","0","0","0","0","0","0","0","1","2","2","39","7","37","111","10","31","0.238095","0.139535","30","30","5","16","0.139535","30","0","0","0","0","0","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","0","1","43","4","9","0","0","0","0","0","0","0","0","0","6","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","2","0","2","0","0","false"
"L105205","0","0","0","0","0","0","0","0","1","2","2","12","19","1","0","15","21","0.8","0.179104","24","19","4","1","0.109589","24","0","0","0","0","0","110","142","2","0","2","0","6","1","4","0","6","49","1","4","0","195","233","7","0","6","0","14","3","8","0","19","85","3","13","0","0","0","49","3","12","0","0","0","0","0","0","0","0","0","2","1","0","7","44","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","0","0","false"
"L105330","0.460733","2","4","4","0.438596","0.439024","50","36","5","0","0","5","12","0","0","20","25","0","0.186275","19","0","0","6","0.186275","19","0","0","0","0","0","83","114","0","0","0","0","5","0","5","0","5","47","0","5","0","83","114","0","0","0","0","5","0","5","0","5","47","0","5","0","0","0","44","6","2","0","0","0","0","27","0","1","0","0","0","3","0","0","13","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","false"
"L105341","0.463799","2","7","3","0.46","0.467337","138","93","3","1","1","13","20","0","0","33","41","0","0.244444","66","0","0","8","0.244444","66","1","1","0","0","1","204","300","3","1","3","1","8","1","7","0","8","107","1","7","0","204","300","3","1","3","1","8","1","7","0","8","107","1","7","0","0","0","51","16","32","0","0","2","0","27","0","1","0","0","3","4","0","5","15","0","0","0","0","0","20","0","0","0","0","0","0","0","0","2","0","0","4","4","8","4","0","0","false"
"L105361","0","0","0","0","0","0","0","0","3","1","1","26","31","0","0","66","82","0.0625","0.25261","121","2","1","15","0.242485","121","0","0","0","0","0","358","545","2","0","2","0","16","0","15","1","16","243","0","15","1","378","565","2","0","2","0","16","0","15","1","16","243","0","15","1","0","4","45","15","72","0","0","0","0","0","0","1","0","0","0","8","0","26","32","0","0","0","0","0","47","0","2","0","0","0","0","0","0","2","0","0","4","0","14","0","0","0","false"
"L105405","0","0","0","0","0","0","0","0","1","1","1","7","8","0","0","12","18","0","0.125","7","0","0","7","0.125","7","0","0","0","0","0","49","64","2","0","2","0","6","0","6","1","6","18","0","6","1","49","64","2","0","2","0","6","0","6","1","6","18","0","6","1","0","0","11","6","8","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","false"
"L105417","0","0","0","0","0","0","0","0","1","1","1","1","11","0","0","13","14","0.5","0.212121","7","5","1","1","0.212121","7","0","0","0","0","0","26","28","0","0","0","0","1","0","1","0","1","14","0","1","0","26","28","0","0","0","0","1","0","1","0","1","14","0","1","0","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
