"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L115","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L114","1","0","11","6","0","5","1404","0"
"L116","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L114","1","0","30","6","0","5","1404","0"
"L117","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L114","1","0","20","11","0","7","1404","0"
"L118","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L114","1","0","27","14","0","6","1404","0"
"L119","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L114","5","0","91","14","0","6","1404","0"
"L120","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L114","1","0","20","7","0","6","1404","0"
"L121","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L114","1","0","26","17","0","8","1404","0"
"L122","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L114","1","0","20","10","0","6","1404","0"
"L123","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L114","14","0","92","9","0","6","1404","0"
"L124","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L114","1","0","12","8","0","6","1404","0"
"L125","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L114","26","0","317","14","0","7","1404","0"
"L126","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L114","1","0","1","7","0","4","1404","0"
"L127","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L114","1","0","7","8","0","6","1404","0"
"L128","StoreFile.java","advanced/management/src/main/java/org/neo4j/management/StoreFile.java","L114","1","0","24","8","0","6","1404","0"
"L129","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L114","1","0","21","9","0","6","1404","0"
"L130","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L114","1","0","63","6","0","4","1404","0"
"L131","XaManager.java","advanced/management/src/main/java/org/neo4j/management/XaManager.java","L114","1","0","11","8","0","6","1404","0"
"L132","XaResourceInfo.java","advanced/management/src/main/java/org/neo4j/management/XaResourceInfo.java","L114","1","0","35","10","0","7","1404","0"
"L346","AdvancedManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/AdvancedManagementSupport.java","L345","3","0","31","9","0","6","1404","0"
"L347","BeanProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/BeanProxy.java","L345","8","0","130","9","0","6","1404","0"
"L348","CacheBean.java","advanced/management/src/main/java/org/neo4j/management/impl/CacheBean.java","L345","2","0","70","18","0","9","1404","0"
"L349","DiagnosticsBean.java","advanced/management/src/main/java/org/neo4j/management/impl/DiagnosticsBean.java","L345","2","0","71","10","0","8","1404","0"
"L350","HotspotManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/HotspotManagementSupport.java","L345","37","0","246","10","0","8","5350","0"
"L351","KernelProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/KernelProxy.java","L345","18","0","183","11","0","6","1404","0"
"L352","LockManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/LockManagerBean.java","L345","1","0","55","14","0","8","1404","0"
"L353","MemoryMappingBean.java","advanced/management/src/main/java/org/neo4j/management/impl/MemoryMappingBean.java","L345","2","0","65","13","0","7","1404","0"
"L354","StoreFileBean.java","advanced/management/src/main/java/org/neo4j/management/impl/StoreFileBean.java","L345","15","0","150","14","0","7","1404","0"
"L355","TransactionManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/TransactionManagerBean.java","L345","2","0","67","14","0","9","1404","0"
"L356","XaManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/XaManagerBean.java","L345","5","0","76","14","0","8","1404","0"
"L871","DataBrowser.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/DataBrowser.java","L870","4","0","55","6","0","4","1404","0"
"L872","HaWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/HaWidget.java","L870","1","0","20","8","0","6","1404","0"
"L873","KernelWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/KernelWidget.java","L870","1","0","19","8","0","6","1404","0"
"L874","ManagementAccess.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/ManagementAccess.java","L870","4","0","42","7","0","6","1404","0"
"L875","Neo4jPlugin.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Neo4jPlugin.java","L870","12","0","107","9","0","6","1404","0"
"L876","UpdateEvent.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/UpdateEvent.java","L870","1","0","5","6","0","4","1404","0"
"L877","Widget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Widget.java","L870","2","0","24","6","0","4","1404","0"
"L138","ManagementBeansTest.java","advanced/management/src/test/java/org/neo4j/management/ManagementBeansTest.java","L137","3","0","119","10","0","7","1404","0"
"L139","TestCacheBeans.java","advanced/management/src/test/java/org/neo4j/management/TestCacheBeans.java","L137","4","0","103","9","0","7","1404","0"
"L140","TestLockManagerBean.java","advanced/management/src/test/java/org/neo4j/management/TestLockManagerBean.java","L137","10","0","238","11","0","8","1404","0"
"L141","TestXaManagerBeans.java","advanced/management/src/test/java/org/neo4j/management/TestXaManagerBeans.java","L137","5","0","68","11","0","6","1404","0"
"L358","CodeDuplicationValidationTest.java","advanced/management/src/test/java/org/neo4j/management/impl/CodeDuplicationValidationTest.java","L357","1","0","72","9","0","6","1404","0"
"L2172","AdvancedBootstrapper.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedBootstrapper.java","L2171","1","0","11","6","0","5","1404","0"
"L2173","AdvancedNeoServer.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedNeoServer.java","L2171","1","0","25","8","0","5","1404","0"
"L2234","ServerManagement.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagement.java","L2233","2","0","34","8","0","6","1404","0"
"L2235","ServerManagementMBean.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagementMBean.java","L2233","1","0","4","6","0","4","1404","0"
"L2267","JMXManagementModule.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/modules/JMXManagementModule.java","L2266","4","0","42","5","0","4","1404","0"
"L2180","AdvancedBootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/AdvancedBootstrapperTest.java","L2179","1","0","15","9","0","7","505","0"
"L2181","BootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/BootstrapperTest.java","L2179","1","0","38","13","0","10","1296","0"
"L2123","BatchOperationHeaderFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/BatchOperationHeaderFunctionalTest.java","L2122","2","0","51","10","0","7","505","0"
"L2124","DatabaseTuningFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/DatabaseTuningFunctionalTest.java","L2122","2","0","49","31","0","10","505","0"
"L2125","HttpsEnabledTest.java","community/server/src/functionaltest/java/org/neo4j/server/HttpsEnabledTest.java","L2122","2","0","61","6","0","4","505","0"
"L2126","NeoServerDefaultPortAndHostnameFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerDefaultPortAndHostnameFunctionalTest.java","L2122","1","0","20","13","0","8","5350","0"
"L2127","NeoServerFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerFunctionalTest.java","L2122","1","0","43","56","0","11","5350","0"
"L2128","NeoServerJAXRSFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerJAXRSFunctionalTest.java","L2122","6","0","89","35","0","14","3997","0"
"L2129","NeoServerPortConflictFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerPortConflictFunctionalTest.java","L2122","1","0","31","19","0","7","505","0"
"L2130","NeoServerShutdownLoggingFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerShutdownLoggingFunctionalTest.java","L2122","2","0","35","18","0","8","505","0"
"L2131","NeoServerStartupLoggingFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/NeoServerStartupLoggingFunctionalTest.java","L2122","1","0","46","35","0","10","5350","0"
"L2132","PreflightTasksFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/PreflightTasksFunctionalTest.java","L2122","1","0","17","1","0","1","2319","0"
"L2133","ServerConfigTest.java","community/server/src/functionaltest/java/org/neo4j/server/ServerConfigTest.java","L2122","1","0","110","47","0","10","2472","0"
"L2134","StatisticsCollectionEnabledTest.java","community/server/src/functionaltest/java/org/neo4j/server/StatisticsCollectionEnabledTest.java","L2122","1","0","39","2","0","2","1126","0"
"L2135","TestStartupTimeout.java","community/server/src/functionaltest/java/org/neo4j/server/TestStartupTimeout.java","L2122","5","0","107","10","0","1","2319","0"
"L2136","WrappingNeoServerBootstrapperTest.java","community/server/src/functionaltest/java/org/neo4j/server/WrappingNeoServerBootstrapperTest.java","L2122","2","0","138","73","0","13","2319","0"
"L5467","AbstractRestFunctionalTestBase.java","community/server/src/functionaltest/java/org/neo4j/server/rest/AbstractRestFunctionalTestBase.java","L5466","7","0","164","73","0","13","2472","0"
"L5468","AutoIndexFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/AutoIndexFunctionalTest.java","L5466","1","0","324","22","0","10","505","0"
"L5469","AutoIndexWithNonDefaultConfigurationThroughRESTAPIFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/AutoIndexWithNonDefaultConfigurationThroughRESTAPIFunctionalTest.java","L5466","1","0","70","15","0","9","505","0"
"L5470","BatchOperationFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/BatchOperationFunctionalTest.java","L5466","2","0","521","104","0","15","2319","0"
"L5471","CompactJsonFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/CompactJsonFunctionalTest.java","L5466","2","0","81","28","0","10","505","0"
"L5472","ConfigureBaseUriFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/ConfigureBaseUriFunctionalTest.java","L5466","1","0","169","2","0","2","310","0"
"L5473","ConsoleFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/ConsoleFunctionalTest.java","L5466","1","0","28","8","0","7","505","0"
"L5474","CreateRelationshipFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/CreateRelationshipFunctionalTest.java","L5466","1","0","110","57","0","11","505","0"
"L5475","CypherFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/CypherFunctionalTest.java","L5466","1","0","190","36","0","10","2319","0"
"L5476","DatabaseMetadataServiceFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/DatabaseMetadataServiceFunctionalTest.java","L5466","1","0","34","47","0","10","360","0"
"L5477","DisableWADLFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/DisableWADLFunctionalTest.java","L5466","1","0","46","7","0","5","310","0"
"L5478","DiscoveryServiceFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/DiscoveryServiceFunctionalTest.java","L5466","1","0","65","29","0","10","360","0"
"L5479","GetIndexRootFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/GetIndexRootFunctionalTest.java","L5466","3","0","52","38","0","11","2319","0"
"L5480","GetNodePropertiesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/GetNodePropertiesFunctionalTest.java","L5466","1","0","135","65","0","10","2319","0"
"L5481","GetOnRootFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/GetOnRootFunctionalTest.java","L5466","4","0","92","95","0","12","2319","0"
"L5482","GetRelationshipPropertiesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/GetRelationshipPropertiesFunctionalTest.java","L5466","1","0","96","39","0","11","505","0"
"L5483","HtmlFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/HtmlFunctionalTest.java","L5466","1","0","138","40","0","11","505","0"
"L5484","IndexNodeFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/IndexNodeFunctionalTest.java","L5466","3","0","651","136","0","15","505","0"
"L5485","IndexRelationshipFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/IndexRelationshipFunctionalTest.java","L5466","2","0","481","74","0","14","505","0"
"L5486","JmxServiceTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/JmxServiceTest.java","L5466","1","0","33","45","0","11","505","0"
"L5487","ManageNodeFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/ManageNodeFunctionalTest.java","L5466","5","0","242","83","0","11","505","0"
"L5488","PathsFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/PathsFunctionalTest.java","L5466","3","0","191","46","0","10","2319","0"
"L5489","RedirectorTests.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RedirectorTests.java","L5466","1","0","24","23","0","9","360","0"
"L5490","RelationshipFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RelationshipFunctionalTest.java","L5466","1","0","172","26","0","10","505","0"
"L5491","RemoveNodePropertiesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RemoveNodePropertiesFunctionalTest.java","L5466","1","0","100","61","0","11","505","0"
"L5492","RemoveRelationshipFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RemoveRelationshipFunctionalTest.java","L5466","1","0","46","37","0","10","360","0"
"L5493","RetrieveNodeFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RetrieveNodeFunctionalTest.java","L5466","1","0","133","79","0","10","2472","0"
"L5494","RetrieveRelationshipsFromNodeFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/RetrieveRelationshipsFromNodeFunctionalTest.java","L5466","2","0","265","56","0","11","2472","0"
"L5495","SetNodePropertiesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/SetNodePropertiesFunctionalTest.java","L5466","1","0","122","55","0","11","505","0"
"L5496","SetRelationshipPropertiesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/SetRelationshipPropertiesFunctionalTest.java","L5466","1","0","110","57","0","10","360","0"
"L5497","TestResponse.java","community/server/src/functionaltest/java/org/neo4j/server/rest/TestResponse.java","L5466","1","0","5","4","0","2","1296","0"
"L5498","TraverserFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/TraverserFunctionalTest.java","L5466","3","0","177","68","0","11","505","0"
"L13979","DatabasePrimitivesSampleableBaseTest.java","community/server/src/functionaltest/java/org/neo4j/server/rrd/DatabasePrimitivesSampleableBaseTest.java","L13978","1","0","28","19","0","9","2319","0"
"L14648","HelloWorldWebResource.java","community/server/src/functionaltest/java/org/neo4j/server/web/HelloWorldWebResource.java","L14647","1","0","21","6","0","4","2319","0"
"L104395","DummyPluginInitializer.java","community/server/src/functionaltest/java/org/dummy/web/service/DummyPluginInitializer.java","L104394","1","0","34","7","0","5","2319","0"
"L104396","DummyThirdPartyWebService.java","community/server/src/functionaltest/java/org/dummy/web/service/DummyThirdPartyWebService.java","L104394","5","0","78","22","0","11","3997","0"
"L8634","UserAgentCollectorTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/web/UserAgentCollectorTest.java","L8633","2","0","50","2","0","2","2472","0"
"L11814","PagedTraverserFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/paging/PagedTraverserFunctionalTest.java","L11813","6","0","284","40","0","12","2472","0"
"L12277","PermanentlyFailingSecurityRule.java","community/server/src/functionaltest/java/org/neo4j/server/rest/security/PermanentlyFailingSecurityRule.java","L12276","1","0","21","13","0","8","505","0"
"L12278","PermanentlyFailingSecurityRuleWithComplexWildcardPath.java","community/server/src/functionaltest/java/org/neo4j/server/rest/security/PermanentlyFailingSecurityRuleWithComplexWildcardPath.java","L12276","1","0","21","4","0","3","3997","0"
"L12279","PermanentlyFailingSecurityRuleWithWildcardPath.java","community/server/src/functionaltest/java/org/neo4j/server/rest/security/PermanentlyFailingSecurityRuleWithWildcardPath.java","L12276","1","0","18","7","0","4","2319","0"
"L12280","PermanentlyPassingSecurityRule.java","community/server/src/functionaltest/java/org/neo4j/server/rest/security/PermanentlyPassingSecurityRule.java","L12276","1","0","20","9","0","7","2472","0"
"L12281","SecurityRulesFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/security/SecurityRulesFunctionalTest.java","L12276","3","0","156","41","0","9","3997","0"
"L12536","StreamingBatchOperationFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingBatchOperationFunctionalTest.java","L12535","1","0","527","4","0","3","2","0"
"L12537","StreamingCypherFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingCypherFunctionalTest.java","L12535","1","0","10","1","0","1","268","0"
"L12538","StreamingIndexNodeFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingIndexNodeFunctionalTest.java","L12535","1","0","10","1","0","1","268","0"
"L12539","StreamingPathsFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingPathsFunctionalTest.java","L12535","1","0","10","1","0","1","268","0"
"L12540","StreamingRelationshipFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingRelationshipFunctionalTest.java","L12535","1","0","10","1","0","1","268","0"
"L12541","StreamingTraverserFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/rest/streaming/StreamingTraverserFunctionalTest.java","L12535","1","0","10","1","0","1","268","0"
"L14668","HTTPLoggingFunctionalTest.java","community/server/src/functionaltest/java/org/neo4j/server/web/logging/HTTPLoggingFunctionalTest.java","L14667","9","0","155","5","0","4","2472","0"
