@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","1","0","11","6","0","5","1404","false"
"L116","1","0","30","6","0","5","1404","false"
"L117","1","0","20","11","0","7","1404","false"
"L118","1","0","27","14","0","6","1404","false"
"L119","5","0","91","14","0","6","1404","false"
"L120","1","0","20","7","0","6","1404","false"
"L121","1","0","26","17","0","8","1404","false"
"L122","1","0","20","10","0","6","1404","false"
"L123","14","0","92","9","0","6","1404","false"
"L124","1","0","12","8","0","6","1404","false"
"L125","26","0","317","14","0","7","1404","false"
"L126","1","0","1","7","0","4","1404","false"
"L127","1","0","7","8","0","6","1404","false"
"L128","1","0","24","8","0","6","1404","false"
"L129","1","0","21","9","0","6","1404","false"
"L130","1","0","63","6","0","4","1404","false"
"L131","1","0","11","8","0","6","1404","false"
"L132","1","0","35","10","0","7","1404","false"
"L346","3","0","31","9","0","6","1404","false"
"L347","8","0","130","9","0","6","1404","false"
"L348","2","0","70","18","0","9","1404","false"
"L349","2","0","71","10","0","8","1404","false"
"L350","37","0","246","10","0","8","5350","false"
"L351","18","0","183","11","0","6","1404","false"
"L352","1","0","55","14","0","8","1404","false"
"L353","2","0","65","13","0","7","1404","false"
"L354","15","0","150","14","0","7","1404","false"
"L355","2","0","67","14","0","9","1404","false"
"L356","5","0","76","14","0","8","1404","false"
"L871","4","0","55","6","0","4","1404","false"
"L872","1","0","20","8","0","6","1404","false"
"L873","1","0","19","8","0","6","1404","false"
"L874","4","0","42","7","0","6","1404","false"
"L875","12","0","107","9","0","6","1404","false"
"L876","1","0","5","6","0","4","1404","false"
"L877","2","0","24","6","0","4","1404","false"
"L138","3","0","119","10","0","7","1404","false"
"L139","4","0","103","9","0","7","1404","false"
"L140","10","0","238","11","0","8","1404","false"
"L141","5","0","68","11","0","6","1404","false"
"L358","1","0","72","9","0","6","1404","false"
"L2172","1","0","11","6","0","5","1404","false"
"L2173","1","0","25","8","0","5","1404","false"
"L2234","2","0","34","8","0","6","1404","false"
"L2235","1","0","4","6","0","4","1404","false"
