"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L115","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L114","1","0","11","8","0","7","257","0"
"L116","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L114","1","0","30","6","0","5","1404","0"
"L117","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L114","1","0","20","13","0","9","257","0"
"L118","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L114","1","0","21","17","0","7","310","0"
"L119","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L114","5","0","91","17","0","7","310","0"
"L120","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L114","1","0","20","7","0","6","1404","0"
"L121","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L114","1","0","26","17","0","8","1404","0"
"L122","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L114","1","0","20","13","0","8","310","0"
"L123","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L114","14","0","92","9","0","6","1404","0"
"L124","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L114","1","0","12","8","0","6","1404","0"
"L125","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L114","26","0","317","14","0","7","1404","0"
"L126","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L114","1","0","1","7","0","4","1404","0"
"L127","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L114","1","0","7","8","0","6","1404","0"
"L128","StoreFile.java","advanced/management/src/main/java/org/neo4j/management/StoreFile.java","L114","1","0","24","8","0","6","1404","0"
"L129","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L114","1","0","21","11","0","8","257","0"
"L130","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L114","1","0","63","6","0","4","1404","0"
"L131","XaManager.java","advanced/management/src/main/java/org/neo4j/management/XaManager.java","L114","1","0","11","8","0","6","1404","0"
