@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","1","0","11","8","0","7","257","false"
"L116","1","0","30","6","0","5","1404","false"
"L117","1","0","20","13","0","9","257","false"
"L118","1","0","21","17","0","7","310","false"
"L119","5","0","91","17","0","7","310","false"
"L120","1","0","20","7","0","6","1404","false"
"L121","1","0","26","17","0","8","1404","false"
"L122","1","0","20","13","0","8","310","false"
"L123","14","0","92","9","0","6","1404","false"
"L124","1","0","12","8","0","6","1404","false"
"L125","26","0","317","14","0","7","1404","false"
"L126","1","0","1","7","0","4","1404","false"
"L127","1","0","7","8","0","6","1404","false"
"L128","1","0","24","8","0","6","1404","false"
"L129","1","0","21","11","0","8","257","false"
"L130","1","0","63","6","0","4","1404","false"
"L131","1","0","11","8","0","6","1404","false"
"L132","1","0","35","10","0","7","1404","false"
"L339","3","0","31","9","0","6","1404","false"
"L340","8","0","130","9","0","6","1404","false"
"L341","2","0","70","18","0","9","1404","false"
"L342","2","0","71","13","0","9","310","false"
"L343","37","0","246","15","0","10","257","false"
"L344","18","0","183","11","0","6","1404","false"
"L345","1","0","55","18","0","11","257","false"
"L346","2","0","65","13","0","7","1404","false"
"L347","15","0","150","14","0","7","1404","false"
"L348","2","0","67","14","0","9","1404","false"
"L349","5","0","76","14","0","8","1404","false"
"L867","4","0","55","6","0","4","1404","false"
"L868","1","0","20","8","0","6","1404","false"
"L869","1","0","19","8","0","6","1404","false"
"L870","4","0","42","7","0","6","1404","false"
"L871","12","0","107","9","0","6","1404","false"
"L872","1","0","5","6","0","4","1404","false"
"L873","2","0","24","6","0","4","1404","false"
"L138","3","0","119","13","0","8","828","false"
"L139","4","0","106","15","0","9","257","false"
"L140","10","0","239","20","0","10","257","false"
"L141","5","0","68","14","0","7","828","false"
"L351","1","0","72","9","0","6","1404","false"
"L2165","1","0","11","6","0","5","1404","false"
"L2166","1","0","25","8","0","5","1404","false"
"L2227","2","0","34","8","0","6","1404","false"
"L2228","1","0","4","6","0","4","1404","false"
"L2260","4","0","53","12","0","9","257","false"
"L2173","1","0","15","9","0","7","505","false"
"L2174","1","0","38","16","0","11","2319","false"
