"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L115","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L114","1","0","11","13","0","9","665","0"
"L116","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L114","1","0","30","10","0","6","665","0"
"L117","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L114","1","0","20","18","0","11","665","0"
"L118","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L114","1","0","21","21","0","8","665","0"
"L119","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L114","5","0","91","21","0","8","665","0"
"L120","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L114","1","0","20","11","0","7","665","0"
"L121","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L114","1","0","26","21","0","9","665","0"
"L122","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L114","1","0","20","17","0","9","665","0"
"L123","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L114","14","0","92","13","0","7","665","0"
"L124","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L114","1","0","12","17","0","9","5350","0"
"L125","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L114","26","0","317","26","0","10","1404","0"
"L126","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L114","1","0","1","11","0","5","665","0"
"L127","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L114","1","0","7","12","0","7","665","0"
"L128","StoreFile.java","advanced/management/src/main/java/org/neo4j/management/StoreFile.java","L114","1","0","24","11","0","8","665","0"
"L129","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L114","1","0","21","17","0","9","505","0"
"L130","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L114","1","0","63","10","0","5","665","0"
"L131","XaManager.java","advanced/management/src/main/java/org/neo4j/management/XaManager.java","L114","1","0","11","16","0","9","505","0"
"L132","XaResourceInfo.java","advanced/management/src/main/java/org/neo4j/management/XaResourceInfo.java","L114","1","0","35","18","0","10","505","0"
