@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","1","0","11","13","0","9","665","false"
"L116","1","0","30","10","0","6","665","false"
"L117","1","0","20","18","0","11","665","false"
"L118","1","0","21","21","0","8","665","false"
"L119","5","0","91","21","0","8","665","false"
"L120","1","0","20","11","0","7","665","false"
"L121","1","0","26","21","0","9","665","false"
"L122","1","0","20","17","0","9","665","false"
"L123","14","0","92","13","0","7","665","false"
"L124","1","0","12","17","0","9","5350","false"
"L125","26","0","317","26","0","10","1404","false"
"L126","1","0","1","11","0","5","665","false"
"L127","1","0","7","12","0","7","665","false"
"L128","1","0","24","11","0","8","665","false"
"L129","1","0","21","17","0","9","505","false"
"L130","1","0","63","10","0","5","665","false"
"L131","1","0","11","16","0","9","505","false"
"L132","1","0","35","18","0","10","505","false"
"L339","3","0","31","13","0","7","665","false"
"L340","8","0","130","13","0","7","665","false"
"L341","2","0","70","29","0","11","505","false"
"L342","2","0","71","22","0","11","665","false"
"L343","37","0","246","20","0","11","665","false"
"L344","18","0","183","15","0","7","665","false"
"L345","1","0","55","29","0","13","1296","false"
"L346","2","0","65","31","0","10","5350","false"
"L347","15","0","150","17","0","8","665","false"
"L348","2","0","67","31","0","11","5350","false"
"L349","5","0","76","25","0","11","505","false"
"L867","4","0","55","10","0","5","665","false"
"L868","1","0","20","12","0","7","665","false"
"L869","1","0","19","12","0","7","665","false"
"L870","4","0","42","11","0","7","665","false"
"L871","12","0","107","13","0","7","665","false"
"L872","1","0","5","10","0","5","665","false"
"L873","2","0","24","10","0","5","665","false"
"L138","3","0","119","23","0","10","1404","false"
"L139","4","0","106","29","0","12","505","false"
"L140","10","0","239","35","0","15","1296","false"
"L141","5","0","68","30","0","11","505","false"
"L351","1","0","72","19","0","10","505","false"
"L2166","1","0","11","19","0","8","1296","false"
"L2167","1","0","29","24","0","8","5350","false"
"L2232","2","0","34","16","0","8","505","false"
"L2233","1","0","4","10","0","5","665","false"
"L2265","4","0","52","24","0","11","1296","false"
"L2174","1","0","15","13","0","8","665","false"
"L2175","1","0","43","34","0","13","1296","false"
"L2121","27","0","486","123","1","20","815","true"
"L2122","12","0","175","63","0","14","1296","false"
"L2123","1","0","9","16","0","8","1296","false"
"L2124","1","0","80","39","0","13","1296","false"
"L2125","4","0","122","15","0","6","815","false"
"L2126","5","0","40","18","0","9","815","false"
"L2127","1","0","20","12","0","5","815","false"
"L2128","1","0","19","37","0","11","815","false"
"L2129","1","0","19","16","0","8","815","false"
"L2130","2","0","28","32","0","12","815","false"
"L2131","1","0","16","17","0","9","815","false"
"L2132","1","0","34","22","0","10","1296","false"
"L2133","1","0","29","42","0","13","815","false"
"L3547","2","0","28","13","0","7","5350","false"
"L3548","2","0","28","13","0","7","5350","false"
"L3549","2","0","28","13","0","7","5350","false"
"L3550","1","0","11","13","0","7","5350","false"
"L3551","2","0","28","13","0","7","5350","false"
"L3552","2","0","28","13","0","7","5350","false"
"L3553","2","0","28","13","0","7","5350","false"
"L3554","4","0","28","13","0","7","5350","false"
"L3555","2","0","28","13","0","7","5350","false"
"L3556","1","0","18","5","0","3","5350","false"
"L3557","1","0","16","12","0","6","5350","false"
"L3558","4","0","31","12","0","6","5350","false"
"L3559","1","0","16","10","0","6","5350","false"
"L3560","1","0","20","4","0","3","268","false"
"L3561","17","0","152","48","0","13","5350","false"
"L3562","10","0","69","22","0","9","2472","false"
"L3563","29","0","207","17","0","7","1636","false"
"L3564","1","0","16","12","0","6","5350","false"
"L3565","4","0","27","12","0","6","5350","false"
"L3566","27","0","221","7","0","4","2319","false"
"L3567","2","0","28","12","0","6","5350","false"
"L3568","1","0","13","10","0","5","5350","false"
"L3569","1","0","8","9","0","6","2319","false"
"L3570","1","0","16","12","0","6","5350","false"
"L3571","1","0","14","12","0","6","5350","false"
"L3572","1","0","16","12","0","6","5350","false"
"L3573","4","0","40","15","0","6","5350","false"
"L14590","1","0","20","7","0","5","268","false"
"L14591","5","0","127","99","0","19","665","false"
"L14592","1","0","9","6","0","4","2319","false"
"L14593","1","0","35","6","0","2","2319","false"
"L14594","20","0","187","66","0","16","665","false"
"L14595","1","0","32","33","0","12","5350","false"
"L14596","1","0","19","6","0","4","2319","false"
"L14995","6","0","87","22","0","10","5350","false"
"L14996","1","0","29","12","0","6","5350","false"
"L14997","1","0","18","1","0","1","268","false"
"L14998","7","0","163","94","0","15","5350","false"
"L14999","1","0","18","9","0","5","268","false"
"L15000","1","0","7","12","0","7","5350","false"
"L15001","1","0","19","11","0","7","268","false"
"L15002","2","0","31","2","0","2","2319","false"
"L15003","1","0","23","9","0","5","224","false"
"L15232","9","0","71","21","0","11","828","false"
"L15359","11","0","135","20","0","8","665","false"
"L15360","2","0","13","12","0","7","7","false"
"L15361","1","0","34","12","0","6","5350","false"
"L15480","1","0","33","35","0","10","5350","false"
"L15481","7","0","61","2","0","2","268","false"
"L15482","1","0","51","43","0","11","5350","false"
"L15483","6","0","112","44","0","11","5350","false"
"L15484","6","0","63","25","0","8","665","false"
"L15485","1","0","6","25","0","9","5350","false"
"L15486","3","0","38","22","0","10","5350","false"
"L15487","4","0","56","40","0","12","5350","false"
"L15488","4","0","62","51","0","14","5350","false"
"L15776","7","0","76","1","0","1","2319","false"
"L15777","8","0","91","3","0","3","2472","false"
"L15778","4","0","54","15","0","6","5350","false"
"L15779","6","0","94","31","0","8","5350","false"
"L15780","1","0","10","1","0","1","2319","false"
"L15781","1","0","6","1","0","1","2319","false"
"L15782","5","0","35","7","0","3","5350","false"
"L16133","1","0","5","3","0","2","1296","false"
"L16134","1","0","5","17","0","8","1296","false"
"L16135","1","0","21","10","0","6","224","false"
"L16136","19","0","234","74","0","14","5350","false"
"L16137","3","0","22","19","0","8","2319","false"
"L16138","1","0","5","11","0","6","2319","false"
"L16139","4","0","33","12","0","9","412","false"
"L16140","1","0","8","8","0","6","2319","false"
"L16141","2","0","31","25","0","9","5350","false"
"L16142","1","0","10","8","0","4","2319","false"
"L16143","1","0","4","4","0","3","5350","false"
"L16144","1","0","5","4","0","2","1126","false"
"L16647","1","0","11","2","0","2","2472","false"
"L16648","1","0","8","2","0","2","2472","false"
"L16649","1","0","11","2","0","2","2472","false"
"L16650","2","0","21","2","0","2","2472","false"
"L16651","1","0","39","2","0","2","2472","false"
"L16817","7","0","95","10","1","6","412","false"
"L16818","1","0","20","3","0","3","1126","false"
"L16819","10","0","132","8","0","6","412","false"
"L16820","1","0","13","21","0","10","665","false"
"L17020","1","0","39","17","0","6","5350","false"
"L17021","11","0","99","14","0","6","1296","false"
"L17022","3","0","53","6","0","5","2319","false"
"L17023","1","0","50","2","0","2","2319","false"
"L17024","3","0","57","10","0","5","5350","false"
"L17162","3","0","28","5","0","4","1636","false"
"L17163","1","0","20","1","0","1","268","false"
"L17164","6","0","87","11","0","6","412","true"
"L17165","34","0","490","157","0","20","665","false"
"L17166","1","0","25","6","0","4","2319","false"
"L17167","3","0","41","35","0","13","5350","false"
"L17168","5","0","30","4","0","3","1126","false"
"L17169","1","0","40","69","0","16","1636","false"
"L17170","1","0","19","5","0","4","268","false"
"L5618","12","0","138","30","0","10","2472","false"
"L5619","2","0","37","34","0","12","665","false"
"L5620","10","0","121","9","0","5","1296","false"
"L5621","1","0","21","9","0","4","2319","false"
"L5622","1","0","5","3","0","2","1296","false"
"L5623","6","0","39","27","0","8","2319","false"
"L5624","2","0","81","5","0","4","2319","false"
"L5625","1","0","36","6","0","4","2319","false"
"L5626","1","0","42","5","0","4","2319","false"
"L5627","2","0","37","10","0","6","5350","false"
