@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L134","0","0","0","0","0","0","0","0","2","3","3","39","6","48","99","5","21","1","0.395143","179","168","14","0","0.395143","179","1","1","3","3","1","274","465","5","6","5","6","16","0","13","6","16","75","0","13","6","274","465","5","6","5","6","16","0","13","6","16","75","0","13","6","0","7","3","1","3","0","0","0","0","0","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","0","false"
"L360","0.530303","2","7","2","0.213675","0.435897","25","17","1","1","1","10","8","26","38","13","18","1","0.793651","150","147","6","0","0.793651","150","2","2","0","0","1","39","117","5","6","0","0","5","0","5","0","21","21","0","18","6","39","117","5","6","0","0","5","0","5","0","21","21","0","18","6","0","2","12","1","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","false"
"L411","0.455939","2","10","3","0.213904","0.41791","40","28","1","1","1","16","9","3","4","20","27","1","0.741313","192","186","8","0","0.741313","192","2","2","0","0","1","67","187","5","6","0","0","7","0","7","0","23","40","0","20","6","67","187","5","6","0","0","7","0","7","0","23","40","0","20","6","0","3","19","2","0","0","0","0","0","18","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","false"
"L450","0","0","0","0","0","0","0","0","1","2","2","16","10","25","29","15","22","1","0.725806","180","178","8","0","0.61","183","2","2","0","0","1","68","147","6","7","1","1","7","0","7","2","23","36","0","20","8","117","208","10","7","4","1","11","0","10","2","41","56","0","37","8","0","3","13","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","false"
"L563","0.493827","3","7","5","0.40458","0.417476","53","43","5","2","2","14","11","2","0","19","29","0.1","0.0803571","9","7","1","9","0.0803571","9","0","0","2","2","0","103","131","1","0","1","0","10","0","9","0","10","52","0","9","0","103","131","1","0","1","0","10","0","9","0","10","52","0","9","0","0","0","51","3","10","0","1","0","0","24","0","1","0","0","0","3","0","5","23","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","false"
"L642","0.107607","1","1","1","0.0635838","0.0666667","11","9","4","3","3","16","15","2","0","26","34","0.125","0.113636","15","7","1","7","0.1","15","0","0","2","2","0","117","151","2","0","2","0","8","0","7","0","8","46","0","7","0","135","173","5","0","4","0","11","0","9","0","25","50","0","23","0","0","0","38","7","14","0","0","0","0","7","0","1","0","0","2","2","0","5","28","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","2","1","5","0","0","false"
"L740","0","0","0","0","0","0","0","0","5","0","0","5","4","0","0","2","7","0.166667","0.225806","7","7","1","5","0.108108","8","0","0","0","0","0","24","33","0","0","0","0","5","0","5","0","5","5","0","5","0","66","86","3","0","3","0","13","0","12","0","13","13","0","12","0","0","0","39","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","38","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L850","0","0","0","0","0","0","0","0","23","1","1","25","7","0","0","20","43","0.0416667","0.0463918","9","7","1","23","0.0463918","9","0","0","0","0","0","185","222","0","0","0","0","23","0","23","0","23","109","0","23","0","185","222","0","0","0","0","23","0","23","0","23","109","0","23","0","0","0","52","0","41","0","0","0","0","0","0","1","0","0","0","0","0","0","49","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L906","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","1","2","1","0.5","7","7","1","0","0.5","7","1","1","0","0","1","7","8","1","0","0","0","1","0","0","0","10","1","0","9","0","7","8","1","0","0","0","1","0","0","0","10","1","0","9","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L918","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","1","2","1","0.5","7","7","1","0","0.5","7","1","1","0","0","1","7","8","2","0","0","0","1","0","0","0","8","1","0","7","0","7","8","2","0","0","0","1","0","0","0","8","1","0","7","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L930","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","1","2","1","0.5","7","7","1","0","0.5","7","1","1","0","0","1","7","8","1","0","0","0","1","0","0","0","10","1","0","9","0","7","8","1","0","0","0","1","0","0","0","10","1","0","9","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
