@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","24","0","289","0","26","4057","1","false"
"L116","6","0","51","0","30","1","2","false"
"L117","10","0","80","0","15","4057","1","false"
"L118","1","0","1","0","5","4057","1","false"
"L119","13","0","142","0","38","4057","1","false"
"L950","40","0","561","0","35","4057","1","false"
"L951","2","0","26","0","6","4057","1","false"
"L952","4","0","91","0","10","4057","1","false"
"L953","32","0","292","0","29","4057","1","false"
"L954","1","0","139","0","49","4057","1","false"
"L955","1","0","11","0","7","4057","1","false"
"L956","5","0","68","0","9","4057","1","false"
"L957","14","0","163","0","9","4057","1","false"
"L958","6","0","88","0","8","4057","1","false"
"L959","126","0","679","0","43","4057","1","false"
"L960","73","0","562","0","38","4057","1","false"
"L961","20","0","136","0","12","4057","1","false"
"L962","2","0","154","0","18","4057","1","false"
"L963","10","0","249","0","28","4057","1","false"
"L964","16","0","160","0","22","4057","1","false"
"L965","5","0","48","0","7","4057","1","false"
"L966","4","0","91","0","10","4057","1","false"
"L967","1","0","1","0","4","4057","1","false"
"L968","3","0","167","0","20","4057","1","false"
"L969","10","0","202","0","21","4057","1","false"
"L970","7","0","194","0","21","4057","1","false"
"L971","1","0","4","0","8","4057","1","false"
"L4025","19","0","226","0","21","4057","1","false"
"L4026","2","0","16","0","7","4057","1","false"
"L4027","1","0","41","0","10","4057","1","false"
"L4028","13","0","108","0","8","4057","1","false"
"L4029","4","0","30","0","3","4057","1","false"
"L4030","1","0","38","0","26","4057","1","false"
"L4031","1","0","18","0","22","4057","1","false"
"L4032","1","0","4","0","25","4057","1","false"
"L4033","1","0","11","0","15","4057","1","false"
"L4034","1","0","16","0","5","4057","1","false"
"L4035","1","0","10","0","15","4057","1","false"
"L4036","1","0","23","0","19","4057","1","false"
"L4037","2","0","19","0","13","4057","1","false"
"L4038","1","0","4","0","2","4057","1","false"
"L4039","1","0","17","0","22","4057","1","false"
"L4040","1","0","13","0","33","2","2","false"
"L4041","1","0","16","0","5","4057","1","false"
"L4042","11","0","60","0","16","4057","1","false"
"L4043","1","0","39","0","34","4057","1","false"
"L4044","1","0","16","0","5","4057","1","false"
"L4045","1","0","7","0","9","4057","1","false"
"L4046","17","0","282","0","35","4057","1","false"
"L4047","1","0","5","0","5","4057","1","false"
"L4048","1","0","8","0","13","4057","1","false"
"L4049","1","0","5","0","7","4057","1","false"
"L4050","1","0","6","0","23","4057","1","false"
"L4051","1","0","6","0","10","4057","1","false"
"L4052","6","0","89","0","13","4057","1","false"
"L4053","7","0","62","0","9","4057","1","false"
"L4054","55","0","334","0","26","4057","1","false"
"L4055","88","0","680","0","32","4057","1","false"
"L4056","4","0","37","0","12","4057","1","false"
"L4057","3","0","34","0","14","4057","1","false"
"L4058","5","0","46","0","4","4057","1","true"
"L4059","6","0","59","0","8","4057","1","false"
"L4060","3","0","38","0","13","4057","1","false"
"L4061","11","0","81","0","10","4057","1","false"
"L4062","6","0","57","0","17","4057","1","false"
"L4063","1","0","4","0","7","4057","1","false"
