"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractChannelBuffer.java","buffer/src/main/java/io/netty/buffer/AbstractChannelBuffer.java","L113","42","0","577","0","2","4057","1","0"
"L115","AbstractChannelBufferFactory.java","buffer/src/main/java/io/netty/buffer/AbstractChannelBufferFactory.java","L113","2","0","26","0","1","4057","1","0"
"L116","BigEndianHeapChannelBuffer.java","buffer/src/main/java/io/netty/buffer/BigEndianHeapChannelBuffer.java","L113","4","0","91","0","2","4057","1","0"
"L117","ByteBufferBackedChannelBuffer.java","buffer/src/main/java/io/netty/buffer/ByteBufferBackedChannelBuffer.java","L113","32","0","292","0","2","4057","1","0"
"L118","ChannelBuffer.java","buffer/src/main/java/io/netty/buffer/ChannelBuffer.java","L113","1","0","143","0","3","4057","1","0"
"L119","ChannelBufferFactory.java","buffer/src/main/java/io/netty/buffer/ChannelBufferFactory.java","L113","1","0","11","0","1","4057","1","0"
"L120","ChannelBufferIndexFinder.java","buffer/src/main/java/io/netty/buffer/ChannelBufferIndexFinder.java","L113","5","0","68","0","1","4057","1","0"
"L121","ChannelBufferInputStream.java","buffer/src/main/java/io/netty/buffer/ChannelBufferInputStream.java","L113","14","0","163","0","1","4057","1","0"
"L122","ChannelBufferOutputStream.java","buffer/src/main/java/io/netty/buffer/ChannelBufferOutputStream.java","L113","6","0","88","0","1","4057","1","0"
"L123","ChannelBuffers.java","buffer/src/main/java/io/netty/buffer/ChannelBuffers.java","L113","126","0","682","0","2","4057","1","0"
"L124","CompositeChannelBuffer.java","buffer/src/main/java/io/netty/buffer/CompositeChannelBuffer.java","L113","73","0","562","0","2","4057","1","0"
"L125","DirectChannelBufferFactory.java","buffer/src/main/java/io/netty/buffer/DirectChannelBufferFactory.java","L113","20","0","136","0","2","4057","1","0"
"L126","DuplicatedChannelBuffer.java","buffer/src/main/java/io/netty/buffer/DuplicatedChannelBuffer.java","L113","2","0","154","0","1","4057","1","0"
"L127","DynamicChannelBuffer.java","buffer/src/main/java/io/netty/buffer/DynamicChannelBuffer.java","L113","10","0","249","0","1","4057","1","1"
