@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","42","0","577","0","2","4057","1","false"
"L115","2","0","26","0","1","4057","1","false"
"L116","4","0","91","0","2","4057","1","false"
"L117","32","0","292","0","2","4057","1","false"
"L118","1","0","143","0","3","4057","1","false"
"L119","1","0","11","0","1","4057","1","false"
"L120","5","0","68","0","1","4057","1","false"
"L121","14","0","163","0","1","4057","1","false"
"L122","6","0","88","0","1","4057","1","false"
"L123","126","0","682","0","2","4057","1","false"
"L124","73","0","562","0","2","4057","1","false"
"L125","20","0","136","0","2","4057","1","false"
"L126","2","0","154","0","1","4057","1","false"
"L127","10","0","249","0","1","4057","1","true"
"L128","16","0","160","0","1","4057","1","false"
"L129","5","0","47","0","1","4057","1","false"
"L130","4","0","91","0","2","4057","1","false"
"L131","1","0","1","0","1","4057","1","false"
"L132","3","0","167","0","1","4057","1","false"
"L133","10","0","202","0","1","4057","1","false"
"L134","7","0","194","0","1","4057","1","false"
"L135","1","0","4","0","1","4057","1","false"
"L141","124","0","1382","0","2","4057","1","false"
"L142","3","0","248","0","2","4057","1","false"
"L143","1","0","6","0","1","4057","1","false"
"L144","1","0","17","0","1","4057","1","false"
"L145","1","0","20","0","1","4057","1","false"
"L146","1","0","19","0","1","4057","1","false"
"L147","1","0","40","0","1","4057","1","false"
"L148","17","0","326","0","1","4057","1","false"
"L149","9","0","116","0","1","4057","1","false"
"L150","1","0","20","0","1","4057","1","false"
"L151","1","0","37","0","1","4057","1","false"
"L152","1","0","6","0","1","4057","1","false"
"L153","1","0","17","0","1","4057","1","false"
"L154","1","0","21","0","1","4057","1","false"
"L155","1","0","133","0","1","4057","1","false"
"L156","1","0","23","0","1","4057","1","false"
"L157","1","0","21","0","1","4057","1","false"
"L3327","43","0","273","0","2","4057","1","true"
"L3328","16","0","67","0","2","4057","1","false"
"L3329","28","0","183","0","2","4057","1","true"
"L3330","1","0","6","0","1","4057","1","false"
"L3331","1","0","16","0","2","4057","1","false"
"L3332","1","0","28","0","1","4057","1","true"
"L3333","38","0","172","0","2","4057","1","true"
"L3334","48","0","167","0","2","4057","1","true"
"L3335","1","0","16","0","2","4057","1","false"
"L3336","58","0","298","0","2","4057","1","true"
"L3337","2","0","25","0","1","4057","1","false"
"L3338","4","0","72","0","1","4057","1","false"
"L3339","16","0","125","0","3","4057","1","false"
"L3340","9","0","122","0","1","4057","1","false"
"L3341","3","0","51","0","1","4057","1","false"
"L3342","2","0","36","0","1","4057","1","false"
"L3343","8","0","97","0","2","4057","1","false"
"L3344","7","0","115","0","3","4057","1","false"
"L3345","1","0","9","0","1","4057","1","false"
"L3346","1","0","65","0","1","4057","1","false"
"L3347","12","0","83","0","1","4057","1","false"
"L3348","1","0","18","0","2","4057","1","false"
"L3349","10","0","85","0","1","4057","1","true"
"L3350","30","0","102","0","3","4057","1","true"
"L3351","26","0","100","1","3","4057","1","false"
"L3352","16","0","88","0","1","4057","1","false"
"L3353","5","0","16","0","1","4057","1","false"
"L3354","20","0","132","0","1","4057","1","false"
"L3355","1","0","26","0","1","4057","1","false"
"L3356","1","0","12","0","2","4057","1","false"
"L3357","3","0","40","0","1","4057","1","false"
"L3358","78","0","581","0","2","4057","1","false"
