"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","56","0","697","0","14","1649","4","2"
"L115","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","156","0","12","1649","4","1"
"L116","ByteBufIndexFinder.java","buffer/src/main/java/io/netty/buffer/ByteBufIndexFinder.java","L113","5","0","68","0","3","72","2","0"
"L117","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","15","0","167","0","3","72","2","0"
"L118","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","3","72","2","0"
"L119","ByteBufUtil.java","buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","L113","52","0","267","0","2","72","2","0"
"L120","ChannelBuf.java","buffer/src/main/java/io/netty/buffer/ChannelBuf.java","L113","1","0","5","0","3","72","2","1"
"L121","ChannelBufType.java","buffer/src/main/java/io/netty/buffer/ChannelBufType.java","L113","1","0","5","0","2","72","2","0"
"L122","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","1","0","22","0","42","1649","5","0"
"L123","DefaultCompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/DefaultCompositeByteBuf.java","L113","153","0","1062","0","12","1649","4","4"
"L124","DefaultMessageBuf.java","buffer/src/main/java/io/netty/buffer/DefaultMessageBuf.java","L113","5","0","47","0","3","72","2","1"
"L125","DirectByteBuf.java","buffer/src/main/java/io/netty/buffer/DirectByteBuf.java","L113","40","0","374","0","8","1649","4","0"
"L126","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","191","0","10","1649","4","1"
"L127","HeapByteBuf.java","buffer/src/main/java/io/netty/buffer/HeapByteBuf.java","L113","21","0","273","0","13","1649","4","0"
"L128","MessageBuf.java","buffer/src/main/java/io/netty/buffer/MessageBuf.java","L113","1","0","7","0","2","72","2","0"
"L129","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","7","72","2","0"
"L130","QueueBackedMessageBuf.java","buffer/src/main/java/io/netty/buffer/QueueBackedMessageBuf.java","L113","6","0","123","0","3","72","2","1"
"L131","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","1","0","169","0","10","1649","4","1"
"L132","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","12","0","255","0","12","1649","4","2"
"L133","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","584","0","9","1649","4","2"
"L134","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","95","0","493","0","10","72","2","1"
"L135","WrappedByteBuf.java","buffer/src/main/java/io/netty/buffer/WrappedByteBuf.java","L113","1","0","4","0","2","72","2","1"
"L141","AbstractChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/AbstractChannelBufferTest.java","L140","120","0","1358","0","16","72","3","0"
"L142","AbstractCompositeChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeChannelBufferTest.java","L140","4","0","299","0","27","72","4","0"
"L143","BigEndianCompositeChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/BigEndianCompositeChannelBufferTest.java","L140","1","0","6","0","6","72","2","0"
"L144","BigEndianDirectChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/BigEndianDirectChannelBufferTest.java","L140","1","0","17","0","8","72","2","0"
"L145","BigEndianHeapChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/BigEndianHeapChannelBufferTest.java","L140","1","0","20","0","11","72","2","0"
"L146","ChannelBufferIndexFinderTest.java","buffer/src/test/java/io/netty/buffer/ChannelBufferIndexFinderTest.java","L140","1","0","40","0","8","72","2","0"
"L147","ChannelBuffersTest.java","buffer/src/test/java/io/netty/buffer/ChannelBuffersTest.java","L140","17","0","429","0","16","72","3","0"
"L148","ChannelBufferStreamTest.java","buffer/src/test/java/io/netty/buffer/ChannelBufferStreamTest.java","L140","9","0","124","0","13","72","3","0"
"L149","DuplicateChannelBufferTest.java","buffer/src/test/java/io/netty/buffer/DuplicateChannelBufferTest.java","L140","1","0","20","0","7","72","2","0"
