"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","85","0","961","4","60","4057","4","3"
"L115","AbstractByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java","L113","16","0","131","2","11","4","3","0"
"L116","AbstractDerivedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java","L113","1","0","28","0","5","4057","2","1"
"L117","AbstractReferenceCountedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java","L113","20","0","107","1","10","4057","2","1"
"L118","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","162","2","48","4","5","0"
"L119","ByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java","L113","1","0","21","2","7","4057","2","0"
"L120","ByteBufHolder.java","buffer/src/main/java/io/netty/buffer/ByteBufHolder.java","L113","1","0","11","0","6","1649","2","0"
"L121","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","17","0","172","0","7","4057","3","0"
"L122","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","4","4057","2","0"
"L123","ByteBufProcessor.java","buffer/src/main/java/io/netty/buffer/ByteBufProcessor.java","L113","5","0","64","0","5","4057","1","0"
"L124","ByteBufUtil.java","buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","L113","43","0","235","0","12","1649","3","0"
"L125","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","133","0","1234","1","56","1649","5","2"
"L126","DefaultByteBufHolder.java","buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java","L113","3","0","52","1","9","1649","2","0"
"L127","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","229","2","29","4057","4","2"
"L128","EmptyByteBuf.java","buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java","L113","19","0","690","1","17","4057","2","0"
"L129","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","10","1649","3","0"
"L130","PoolArena.java","buffer/src/main/java/io/netty/buffer/PoolArena.java","L113","43","0","339","2","16","4057","2","2"
"L131","PoolChunk.java","buffer/src/main/java/io/netty/buffer/PoolChunk.java","L113","29","0","261","1","5","4057","2","0"
"L132","PoolChunkList.java","buffer/src/main/java/io/netty/buffer/PoolChunkList.java","L113","16","0","96","0","3","1649","2","0"
"L133","PooledByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledByteBuf.java","L113","13","0","126","2","17","4057","2","0"
"L134","PooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java","L113","22","0","205","2","10","4057","2","0"
"L135","PooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java","L113","12","0","244","1","10","4057","2","3"
"L136","PooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","L113","6","0","229","1","11","4057","2","3"
"L137","PooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java","L113","30","0","278","3","16","4057","2","3"
"L138","PoolSubpage.java","buffer/src/main/java/io/netty/buffer/PoolSubpage.java","L113","20","0","138","0","3","4057","1","0"
"L139","PoolThreadCache.java","buffer/src/main/java/io/netty/buffer/PoolThreadCache.java","L113","1","0","10","0","1","4057","1","0"
"L140","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","3","0","239","3","29","4057","5","2"
"L141","ReadOnlyByteBufferBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","L113","15","0","266","3","7","1649","2","1"
"L142","ReadOnlyUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBuf.java","L113","15","0","96","1","2","1649","1","0"
"L143","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","8","0","228","3","35","4057","4","2"
"L144","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","685","4","41","1649","4","2"
"L145","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","93","0","486","2","31","4","4","0"
"L146","UnpooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java","L113","2","0","21","2","9","1649","2","0"
"L147","UnpooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java","L113","41","0","430","3","22","4057","2","6"
"L148","UnpooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","L113","16","0","339","2","15","4057","1","4"
"L149","UnpooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledUnsafeDirectByteBuf.java","L113","51","0","374","2","9","4057","2","5"
"L150","UnreleasableByteBuf.java","buffer/src/main/java/io/netty/buffer/UnreleasableByteBuf.java","L113","5","0","669","1","12","4057","2","0"
"L156","AbstractByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java","L155","129","0","1446","1","15","1649","3","0"
"L157","AbstractCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java","L155","5","0","417","5","20","1649","3","0"
"L158","BigEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java","L155","1","0","6","0","1","1649","1","0"
"L159","BigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java","L155","1","0","17","0","1","1649","1","0"
"L160","BigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianHeapByteBufTest.java","L155","1","0","24","0","2","4057","2","0"
"L161","ByteBufDerivationTest.java","buffer/src/test/java/io/netty/buffer/ByteBufDerivationTest.java","L155","11","0","168","0","2","4","2","0"
"L162","ByteBufProcessorTest.java","buffer/src/test/java/io/netty/buffer/ByteBufProcessorTest.java","L155","1","0","38","0","3","4057","1","0"
"L163","ByteBufStreamTest.java","buffer/src/test/java/io/netty/buffer/ByteBufStreamTest.java","L155","11","0","147","0","5","4057","3","0"
"L164","ConsolidationTest.java","buffer/src/test/java/io/netty/buffer/ConsolidationTest.java","L155","1","0","34","0","3","4","3","0"
"L165","DuplicateByteBufTest.java","buffer/src/test/java/io/netty/buffer/DuplicateByteBufTest.java","L155","1","0","20","0","1","1649","1","0"
"L166","LittleEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianCompositeByteBufTest.java","L155","1","0","6","0","1","1649","1","0"
"L167","LittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianDirectByteBufTest.java","L155","1","0","17","0","1","1649","1","0"
"L168","LittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianHeapByteBufTest.java","L155","1","0","16","0","1","1649","1","0"
"L169","PooledBigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianDirectByteBufTest.java","L155","1","0","17","1","1","4057","1","0"
"L170","PooledBigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianHeapByteBufTest.java","L155","1","0","15","1","1","4057","1","0"
"L171","PooledLittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianDirectByteBufTest.java","L155","1","0","17","1","1","4057","1","0"
"L172","PooledLittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianHeapByteBufTest.java","L155","1","0","16","1","1","4057","1","0"
"L173","ReadOnlyByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufferBufTest.java","L155","1","0","8","1","1","1649","1","0"
"L174","ReadOnlyByteBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufTest.java","L155","1","0","135","1","2","5","2","0"
"L175","ReadOnlyDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyDirectByteBufferBufTest.java","L155","3","0","146","2","4","1649","2","0"
"L176","ReadOnlyUnsafeDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBufferBufTest.java","L155","1","0","15","1","2","4","2","0"
"L177","SlicedByteBufTest.java","buffer/src/test/java/io/netty/buffer/SlicedByteBufTest.java","L155","1","0","23","0","1","1649","1","0"
"L178","UnpooledTest.java","buffer/src/test/java/io/netty/buffer/UnpooledTest.java","L155","22","0","464","0","11","4057","3","0"
"L179","UnreleaseableByteBufTest.java","buffer/src/test/java/io/netty/buffer/UnreleaseableByteBufTest.java","L155","1","0","20","0","1","1649","1","0"
"L6508","ByteToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageCodec.java","L6507","2","0","70","2","32","1649","3","0"
"L6509","ByteToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageDecoder.java","L6507","30","0","173","12","55","4057","3","1"
"L6510","CodecException.java","codec/src/main/java/io/netty/handler/codec/CodecException.java","L6507","1","0","15","0","5","4057","2","0"
"L6511","CorruptedFrameException.java","codec/src/main/java/io/netty/handler/codec/CorruptedFrameException.java","L6507","1","0","15","0","7","4057","3","0"
"L6512","DecoderException.java","codec/src/main/java/io/netty/handler/codec/DecoderException.java","L6507","1","0","15","0","6","4057","3","0"
"L6513","DecoderResult.java","codec/src/main/java/io/netty/handler/codec/DecoderResult.java","L6507","7","0","53","0","4","4057","2","1"
"L6514","DelimiterBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/DelimiterBasedFrameDecoder.java","L6507","35","0","186","1","21","1649","3","0"
"L6515","Delimiters.java","codec/src/main/java/io/netty/handler/codec/Delimiters.java","L6507","1","0","17","0","6","72","2","0"
"L6516","EncoderException.java","codec/src/main/java/io/netty/handler/codec/EncoderException.java","L6507","1","0","15","0","6","4057","3","0"
"L6517","FixedLengthFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/FixedLengthFrameDecoder.java","L6507","4","0","29","2","24","1649","3","0"
"L6518","LengthFieldBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LengthFieldBasedFrameDecoder.java","L6507","31","0","198","3","22","1649","3","1"
"L6519","LengthFieldPrepender.java","codec/src/main/java/io/netty/handler/codec/LengthFieldPrepender.java","L6507","16","0","74","0","18","1649","4","0"
"L6520","LineBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LineBasedFrameDecoder.java","L6507","17","0","94","1","8","1649","2","0"
"L6521","MessageToByteEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToByteEncoder.java","L6507","8","0","71","3","30","1649","3","0"
"L6522","MessageToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageCodec.java","L6507","1","0","60","3","44","1649","4","0"
"L6523","MessageToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageDecoder.java","L6507","5","0","49","7","53","1649","3","0"
"L6524","MessageToMessageEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageEncoder.java","L6507","8","0","64","8","51","1649","3","0"
"L6525","package-info.java","codec/src/main/java/io/netty/handler/codec/package-info.java","L6507","1","0","1","0","5","4057","3","0"
"L6526","PrematureChannelClosureException.java","codec/src/main/java/io/netty/handler/codec/PrematureChannelClosureException.java","L6507","1","0","15","0","5","72","3","0"
"L6527","ReplayingDecoder.java","codec/src/main/java/io/netty/handler/codec/ReplayingDecoder.java","L6507","19","0","110","10","61","4057","3","2"
"L6528","ReplayingDecoderBuffer.java","codec/src/main/java/io/netty/handler/codec/ReplayingDecoderBuffer.java","L6507","21","0","814","4","54","4057","4","0"
"L6529","TooLongFrameException.java","codec/src/main/java/io/netty/handler/codec/TooLongFrameException.java","L6507","1","0","15","0","7","4057","3","0"
"L6530","UnsupportedMessageTypeException.java","codec/src/main/java/io/netty/handler/codec/UnsupportedMessageTypeException.java","L6507","6","0","35","0","6","1649","3","0"
"L16339","Base64.java","codec/src/main/java/io/netty/handler/codec/base64/Base64.java","L16338","30","0","208","1","15","1649","3","0"
"L16340","Base64Decoder.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Decoder.java","L16338","2","0","27","1","18","4057","3","0"
"L16341","Base64Dialect.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Dialect.java","L16338","1","0","133","0","5","72","2","0"
"L16342","Base64Encoder.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Encoder.java","L16338","2","0","31","0","17","4057","3","0"
"L16343","package-info.java","codec/src/main/java/io/netty/handler/codec/base64/package-info.java","L16338","1","0","1","0","6","4057","2","0"
"L16501","ByteArrayDecoder.java","codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayDecoder.java","L16500","4","0","26","1","20","4057","3","1"
"L16502","ByteArrayEncoder.java","codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayEncoder.java","L16500","1","0","17","0","25","4057","3","0"
"L16503","package-info.java","codec/src/main/java/io/netty/handler/codec/bytes/package-info.java","L16500","1","0","1","0","6","4057","2","0"
"L16735","CompressionException.java","codec/src/main/java/io/netty/handler/codec/compression/CompressionException.java","L16734","1","0","16","1","6","4057","3","0"
"L16736","DecompressionException.java","codec/src/main/java/io/netty/handler/codec/compression/DecompressionException.java","L16734","1","0","16","0","1","4057","1","0"
"L16737","JdkZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/JdkZlibEncoder.java","L16734","18","0","167","2","19","1649","3","1"
"L16738","JZlibDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/JZlibDecoder.java","L16734","17","0","109","0","8","4057","4","1"
"L16739","JZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/JZlibEncoder.java","L16734","30","0","224","2","19","1649","4","1"
"L16740","package-info.java","codec/src/main/java/io/netty/handler/codec/compression/package-info.java","L16734","1","0","1","0","7","4057","2","0"
"L16741","Snappy.java","codec/src/main/java/io/netty/handler/codec/compression/Snappy.java","L16734","73","0","414","2","10","4057","2","0"
"L16742","SnappyFramedDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/SnappyFramedDecoder.java","L16734","25","0","134","1","13","4057","3","0"
"L16743","SnappyFramedEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/SnappyFramedEncoder.java","L16734","8","0","70","1","13","4057","3","0"
"L16744","ZlibCodecFactory.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibCodecFactory.java","L16734","8","0","64","0","5","1649","3","0"
"L16745","ZlibDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibDecoder.java","L16734","1","0","6","0","19","4057","3","0"
"L16746","ZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibEncoder.java","L16734","1","0","13","0","24","4057","3","0"
"L16747","ZlibUtil.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibUtil.java","L16734","7","0","40","0","10","4057","3","1"
"L16748","ZlibWrapper.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibWrapper.java","L16734","1","0","7","0","5","3","3","0"
"L17752","ChannelBufferByteInput.java","codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteInput.java","L17751","4","0","47","0","8","4057","3","0"
"L17753","ChannelBufferByteOutput.java","codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteOutput.java","L17751","1","0","31","0","15","4057","3","0"
