@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","85","0","961","4","60","4057","4","true"
"L115","16","0","131","2","11","4","3","false"
"L116","1","0","28","0","5","4057","2","true"
"L117","20","0","107","1","10","4057","2","true"
"L118","1","0","162","2","48","4","5","false"
"L119","1","0","21","2","7","4057","2","false"
"L120","1","0","11","0","6","1649","2","false"
"L121","17","0","172","0","7","4057","3","false"
"L122","6","0","88","0","4","4057","2","false"
"L123","5","0","64","0","5","4057","1","false"
"L124","43","0","235","0","12","1649","3","false"
"L125","133","0","1234","1","56","1649","5","true"
"L126","3","0","52","1","9","1649","2","false"
"L127","2","0","229","2","29","4057","4","true"
"L128","19","0","690","1","17","4057","2","false"
"L129","1","0","1","0","10","1649","3","false"
"L130","43","0","339","2","16","4057","2","true"
"L131","29","0","261","1","5","4057","2","false"
"L132","16","0","96","0","3","1649","2","false"
"L133","13","0","126","2","17","4057","2","false"
"L134","22","0","205","2","10","4057","2","false"
"L135","12","0","244","1","10","4057","2","true"
"L136","6","0","229","1","11","4057","2","true"
"L137","30","0","278","3","16","4057","2","true"
"L138","20","0","138","0","3","4057","1","false"
"L139","1","0","10","0","1","4057","1","false"
"L140","3","0","239","3","29","4057","5","true"
"L141","15","0","266","3","7","1649","2","true"
"L142","15","0","96","1","2","1649","1","false"
"L143","8","0","228","3","35","4057","4","true"
"L144","9","0","685","4","41","1649","4","true"
"L145","93","0","486","2","31","4","4","false"
"L146","2","0","21","2","9","1649","2","false"
"L147","41","0","430","3","22","4057","2","true"
"L148","16","0","339","2","15","4057","1","true"
"L149","51","0","374","2","9","4057","2","true"
"L150","5","0","669","1","12","4057","2","false"
"L156","129","0","1446","1","15","1649","3","false"
"L157","5","0","417","5","20","1649","3","false"
"L158","1","0","6","0","1","1649","1","false"
"L159","1","0","17","0","1","1649","1","false"
"L160","1","0","24","0","2","4057","2","false"
"L161","11","0","168","0","2","4","2","false"
"L162","1","0","38","0","3","4057","1","false"
"L163","11","0","147","0","5","4057","3","false"
"L164","1","0","34","0","3","4","3","false"
"L165","1","0","20","0","1","1649","1","false"
"L166","1","0","6","0","1","1649","1","false"
"L167","1","0","17","0","1","1649","1","false"
"L168","1","0","16","0","1","1649","1","false"
"L169","1","0","17","1","1","4057","1","false"
"L170","1","0","15","1","1","4057","1","false"
"L171","1","0","17","1","1","4057","1","false"
"L172","1","0","16","1","1","4057","1","false"
"L173","1","0","8","1","1","1649","1","false"
"L174","1","0","135","1","2","5","2","false"
"L175","3","0","146","2","4","1649","2","false"
"L176","1","0","15","1","2","4","2","false"
"L177","1","0","23","0","1","1649","1","false"
"L178","22","0","464","0","11","4057","3","false"
"L179","1","0","20","0","1","1649","1","false"
"L6508","2","0","70","2","32","1649","3","false"
"L6509","30","0","173","12","55","4057","3","true"
"L6510","1","0","15","0","5","4057","2","false"
"L6511","1","0","15","0","7","4057","3","false"
"L6512","1","0","15","0","6","4057","3","false"
"L6513","7","0","53","0","4","4057","2","true"
"L6514","35","0","186","1","21","1649","3","false"
"L6515","1","0","17","0","6","72","2","false"
"L6516","1","0","15","0","6","4057","3","false"
"L6517","4","0","29","2","24","1649","3","false"
"L6518","31","0","198","3","22","1649","3","true"
"L6519","16","0","74","0","18","1649","4","false"
"L6520","17","0","94","1","8","1649","2","false"
"L6521","8","0","71","3","30","1649","3","false"
"L6522","1","0","60","3","44","1649","4","false"
"L6523","5","0","49","7","53","1649","3","false"
"L6524","8","0","64","8","51","1649","3","false"
"L6525","1","0","1","0","5","4057","3","false"
"L6526","1","0","15","0","5","72","3","false"
"L6527","19","0","110","10","61","4057","3","true"
"L6528","21","0","814","4","54","4057","4","false"
"L6529","1","0","15","0","7","4057","3","false"
"L6530","6","0","35","0","6","1649","3","false"
"L16339","30","0","208","1","15","1649","3","false"
"L16340","2","0","27","1","18","4057","3","false"
"L16341","1","0","133","0","5","72","2","false"
"L16342","2","0","31","0","17","4057","3","false"
"L16343","1","0","1","0","6","4057","2","false"
"L16501","4","0","26","1","20","4057","3","true"
"L16502","1","0","17","0","25","4057","3","false"
"L16503","1","0","1","0","6","4057","2","false"
"L16735","1","0","16","1","6","4057","3","false"
"L16736","1","0","16","0","1","4057","1","false"
"L16737","18","0","167","2","19","1649","3","true"
"L16738","17","0","109","0","8","4057","4","true"
"L16739","30","0","224","2","19","1649","4","true"
"L16740","1","0","1","0","7","4057","2","false"
"L16741","73","0","414","2","10","4057","2","false"
"L16742","25","0","134","1","13","4057","3","false"
"L16743","8","0","70","1","13","4057","3","false"
"L16744","8","0","64","0","5","1649","3","false"
"L16745","1","0","6","0","19","4057","3","false"
"L16746","1","0","13","0","24","4057","3","false"
"L16747","7","0","40","0","10","4057","3","true"
"L16748","1","0","7","0","5","3","3","false"
"L17752","4","0","47","0","8","4057","3","false"
"L17753","1","0","31","0","15","4057","3","false"
"L17754","8","0","64","2","18","4057","3","false"
"L17755","1","0","22","0","8","1649","3","false"
