"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","86","0","963","8","65","4057","4","2"
"L115","AbstractByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java","L113","21","0","157","2","13","4057","3","0"
"L116","AbstractDerivedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java","L113","1","0","47","1","8","4057","2","0"
"L117","AbstractReferenceCountedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java","L113","19","0","106","2","14","1649","2","0"
"L118","AdvancedLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/AdvancedLeakAwareByteBuf.java","L113","4","0","601","0","6","4057","1","0"
"L119","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","166","2","50","4057","5","0"
"L120","ByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java","L113","1","0","23","2","9","4057","2","0"
"L121","ByteBufHolder.java","buffer/src/main/java/io/netty/buffer/ByteBufHolder.java","L113","1","0","15","0","8","4057","2","0"
"L122","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","17","0","172","0","7","4057","3","0"
"L123","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","4","4057","2","0"
"L124","ByteBufProcessor.java","buffer/src/main/java/io/netty/buffer/ByteBufProcessor.java","L113","5","0","64","0","5","4057","1","0"
"L125","ByteBufUtil.java","buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","L113","48","0","294","0","17","4057","3","2"
"L126","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","137","0","1250","3","66","4057","6","1"
"L127","DefaultByteBufHolder.java","buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java","L113","3","0","63","1","12","4057","2","0"
"L128","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","229","4","31","1649","4","0"
"L129","EmptyByteBuf.java","buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java","L113","19","0","697","1","21","4057","2","0"
"L130","FixedCompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/FixedCompositeByteBuf.java","L113","43","0","481","0","1","1649","1","0"
"L131","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","11","4057","3","0"
"L132","PoolArena.java","buffer/src/main/java/io/netty/buffer/PoolArena.java","L113","43","0","341","3","19","1649","2","0"
"L133","PoolChunk.java","buffer/src/main/java/io/netty/buffer/PoolChunk.java","L113","29","0","261","1","5","4057","2","0"
"L134","PoolChunkList.java","buffer/src/main/java/io/netty/buffer/PoolChunkList.java","L113","16","0","96","0","3","1649","2","0"
"L135","PooledByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledByteBuf.java","L113","11","0","117","2","19","4057","2","0"
"L136","PooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java","L113","20","0","196","2","13","4057","2","1"
"L137","PooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java","L113","16","0","307","4","14","4057","2","0"
"L138","PooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","L113","7","0","248","4","15","4057","2","0"
"L139","PooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java","L113","33","0","316","6","21","4057","2","2"
"L140","PoolSubpage.java","buffer/src/main/java/io/netty/buffer/PoolSubpage.java","L113","20","0","138","0","3","4057","1","0"
"L141","PoolThreadCache.java","buffer/src/main/java/io/netty/buffer/PoolThreadCache.java","L113","1","0","10","0","1","4057","1","1"
"L142","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","3","0","239","5","31","1649","5","0"
"L143","ReadOnlyByteBufferBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","L113","13","0","261","4","11","4057","3","0"
"L144","ReadOnlyUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBuf.java","L113","16","0","100","1","3","4057","2","0"
"L145","SimpleLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/SimpleLeakAwareByteBuf.java","L113","4","0","59","0","4","4057","1","0"
"L146","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","8","0","228","5","37","1649","4","0"
"L147","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","695","6","45","4057","4","0"
"L148","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","94","0","494","2","35","1649","5","0"
"L149","UnpooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java","L113","2","0","27","2","11","4057","2","0"
"L150","UnpooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java","L113","42","0","486","8","31","4057","3","2"
"L151","UnpooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","L113","17","0","356","5","18","1649","2","1"
"L152","UnpooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledUnsafeDirectByteBuf.java","L113","53","0","412","6","16","4057","2","4"
"L153","UnreleasableByteBuf.java","buffer/src/main/java/io/netty/buffer/UnreleasableByteBuf.java","L113","4","0","62","1","15","4057","2","0"
"L154","WrappedByteBuf.java","buffer/src/main/java/io/netty/buffer/WrappedByteBuf.java","L113","2","0","670","1","8","4057","3","0"
"L160","AbstractByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java","L159","149","0","1682","5","22","1649","3","0"
"L161","AbstractCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java","L159","9","0","614","8","32","1649","5","0"
"L162","BigEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java","L159","1","0","6","0","1","1649","1","0"
"L163","BigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java","L159","1","0","20","1","2","1649","1","0"
"L164","BigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianHeapByteBufTest.java","L159","1","0","24","0","2","4057","2","0"
"L165","BigEndianUnsafeDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianUnsafeDirectByteBufTest.java","L159","1","0","14","1","1","1649","1","0"
"L166","ByteBufDerivationTest.java","buffer/src/test/java/io/netty/buffer/ByteBufDerivationTest.java","L159","11","0","168","0","2","4","2","0"
"L167","ByteBufProcessorTest.java","buffer/src/test/java/io/netty/buffer/ByteBufProcessorTest.java","L159","1","0","41","0","4","1649","2","0"
"L168","ByteBufStreamTest.java","buffer/src/test/java/io/netty/buffer/ByteBufStreamTest.java","L159","11","0","147","0","5","4057","3","0"
"L169","ConsolidationTest.java","buffer/src/test/java/io/netty/buffer/ConsolidationTest.java","L159","1","0","34","0","3","4","3","0"
"L170","DuplicateByteBufTest.java","buffer/src/test/java/io/netty/buffer/DuplicateByteBufTest.java","L159","1","0","35","1","3","1649","1","0"
"L171","EmptyByteBufTest.java","buffer/src/test/java/io/netty/buffer/EmptyByteBufTest.java","L159","1","0","17","0","1","1649","1","0"
"L172","FixedCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/FixedCompositeByteBufTest.java","L159","2","0","193","0","2","4057","2","0"
"L173","LittleEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianCompositeByteBufTest.java","L159","1","0","6","0","1","1649","1","0"
"L174","LittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianDirectByteBufTest.java","L159","1","0","20","1","2","1649","1","0"
"L175","LittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianHeapByteBufTest.java","L159","1","0","16","0","1","1649","1","0"
"L176","LittleEndianUnsafeDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianUnsafeDirectByteBufTest.java","L159","1","0","14","1","1","1649","1","0"
"L177","PooledBigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianDirectByteBufTest.java","L159","1","0","17","1","1","4057","1","0"
"L178","PooledBigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianHeapByteBufTest.java","L159","1","0","15","1","1","4057","1","0"
"L179","PooledLittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianDirectByteBufTest.java","L159","1","0","17","1","1","4057","1","0"
"L180","PooledLittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianHeapByteBufTest.java","L159","1","0","16","1","1","4057","1","0"
"L181","ReadOnlyByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufferBufTest.java","L159","1","0","8","1","1","1649","1","0"
"L182","ReadOnlyByteBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufTest.java","L159","1","0","135","1","2","5","2","0"
"L183","ReadOnlyDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyDirectByteBufferBufTest.java","L159","3","0","146","2","4","1649","2","0"
"L184","ReadOnlyUnsafeDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBufferBufTest.java","L159","1","0","15","1","2","4","2","0"
"L185","SlicedByteBufTest.java","buffer/src/test/java/io/netty/buffer/SlicedByteBufTest.java","L159","1","0","63","2","4","1649","1","0"
"L186","UnpooledTest.java","buffer/src/test/java/io/netty/buffer/UnpooledTest.java","L159","22","0","469","1","12","1649","3","0"
"L187","UnreleaseableByteBufTest.java","buffer/src/test/java/io/netty/buffer/UnreleaseableByteBufTest.java","L159","1","0","20","0","1","1649","1","0"
"L7642","ByteToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageCodec.java","L7641","2","0","70","2","33","4057","3","0"
"L7643","ByteToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageDecoder.java","L7641","29","0","170","13","62","2","4","1"
"L7644","CodecException.java","codec/src/main/java/io/netty/handler/codec/CodecException.java","L7641","1","0","15","0","5","4057","2","0"
"L7645","CorruptedFrameException.java","codec/src/main/java/io/netty/handler/codec/CorruptedFrameException.java","L7641","1","0","15","0","7","4057","3","0"
"L7646","DecoderException.java","codec/src/main/java/io/netty/handler/codec/DecoderException.java","L7641","1","0","15","0","6","4057","3","0"
"L7647","DecoderResult.java","codec/src/main/java/io/netty/handler/codec/DecoderResult.java","L7641","7","0","53","1","6","4057","2","0"
"L7648","DelimiterBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/DelimiterBasedFrameDecoder.java","L7641","35","0","186","1","21","1649","3","1"
"L7649","Delimiters.java","codec/src/main/java/io/netty/handler/codec/Delimiters.java","L7641","1","0","17","0","6","72","2","0"
"L7650","EncoderException.java","codec/src/main/java/io/netty/handler/codec/EncoderException.java","L7641","1","0","15","0","6","4057","3","0"
"L7651","FixedLengthFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/FixedLengthFrameDecoder.java","L7641","4","0","29","2","24","1649","3","0"
"L7652","LengthFieldBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LengthFieldBasedFrameDecoder.java","L7641","27","0","196","4","25","1649","3","0"
"L7653","LengthFieldPrepender.java","codec/src/main/java/io/netty/handler/codec/LengthFieldPrepender.java","L7641","16","0","75","0","19","1649","4","0"
"L7654","LineBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LineBasedFrameDecoder.java","L7641","17","0","94","1","8","1649","2","0"
"L7655","MessageToByteEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToByteEncoder.java","L7641","7","0","69","3","32","4057","3","0"
"L7656","MessageToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageCodec.java","L7641","1","0","60","3","45","4057","4","0"
"L7657","MessageToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageDecoder.java","L7641","5","0","50","7","55","4057","3","0"
"L7658","MessageToMessageEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageEncoder.java","L7641","8","0","64","8","52","4057","3","0"
"L7659","package-info.java","codec/src/main/java/io/netty/handler/codec/package-info.java","L7641","1","0","1","0","5","4057","3","0"
"L7660","PrematureChannelClosureException.java","codec/src/main/java/io/netty/handler/codec/PrematureChannelClosureException.java","L7641","1","0","15","0","5","72","3","0"
"L7661","ReplayingDecoder.java","codec/src/main/java/io/netty/handler/codec/ReplayingDecoder.java","L7641","19","0","112","12","65","4057","3","1"
"L7662","ReplayingDecoderBuffer.java","codec/src/main/java/io/netty/handler/codec/ReplayingDecoderBuffer.java","L7641","20","0","825","4","58","4057","4","0"
"L7663","TooLongFrameException.java","codec/src/main/java/io/netty/handler/codec/TooLongFrameException.java","L7641","1","0","15","0","7","4057","3","0"
"L7664","UnsupportedMessageTypeException.java","codec/src/main/java/io/netty/handler/codec/UnsupportedMessageTypeException.java","L7641","6","0","35","0","6","1649","3","0"
"L19721","Base64.java","codec/src/main/java/io/netty/handler/codec/base64/Base64.java","L19720","30","0","208","1","15","1649","3","0"
"L19722","Base64Decoder.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Decoder.java","L19720","2","0","27","1","18","4057","3","0"
"L19723","Base64Dialect.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Dialect.java","L19720","1","0","133","0","5","72","2","0"
"L19724","Base64Encoder.java","codec/src/main/java/io/netty/handler/codec/base64/Base64Encoder.java","L19720","2","0","31","0","17","4057","3","0"
"L19725","package-info.java","codec/src/main/java/io/netty/handler/codec/base64/package-info.java","L19720","1","0","1","0","6","4057","2","0"
"L19883","ByteArrayDecoder.java","codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayDecoder.java","L19882","1","0","16","2","21","1649","3","0"
"L19884","ByteArrayEncoder.java","codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayEncoder.java","L19882","1","0","17","0","25","4057","3","0"
"L19885","package-info.java","codec/src/main/java/io/netty/handler/codec/bytes/package-info.java","L19882","1","0","1","0","6","4057","2","0"
"L20112","CompressionException.java","codec/src/main/java/io/netty/handler/codec/compression/CompressionException.java","L20111","1","0","16","1","6","4057","3","0"
"L20113","Crc32c.java","codec/src/main/java/io/netty/handler/codec/compression/Crc32c.java","L20111","2","0","94","0","1","17","1","0"
"L20114","DecompressionException.java","codec/src/main/java/io/netty/handler/codec/compression/DecompressionException.java","L20111","1","0","16","0","1","4057","1","0"
"L20115","JdkZlibDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/JdkZlibDecoder.java","L20111","55","0","283","1","5","4057","2","1"
"L20116","JdkZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/JdkZlibEncoder.java","L20111","24","0","196","3","23","1649","3","0"
"L20117","JZlibDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/JZlibDecoder.java","L20111","18","0","113","1","9","4057","4","0"
"L20118","JZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/JZlibEncoder.java","L20111","30","0","227","3","20","4057","4","0"
"L20119","package-info.java","codec/src/main/java/io/netty/handler/codec/compression/package-info.java","L20111","1","0","1","0","7","4057","2","0"
"L20120","Snappy.java","codec/src/main/java/io/netty/handler/codec/compression/Snappy.java","L20111","73","0","413","2","11","17","2","0"
"L20121","SnappyFramedDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/SnappyFramedDecoder.java","L20111","25","0","134","1","13","4057","3","0"
"L20122","SnappyFramedEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/SnappyFramedEncoder.java","L20111","8","0","70","1","13","4057","3","0"
"L20123","ZlibCodecFactory.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibCodecFactory.java","L20111","15","0","90","0","8","5","4","0"
"L20124","ZlibDecoder.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibDecoder.java","L20111","1","0","6","0","19","4057","3","0"
"L20125","ZlibEncoder.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibEncoder.java","L20111","1","0","13","0","24","4057","3","0"
"L20126","ZlibUtil.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibUtil.java","L20111","11","0","58","1","11","4057","3","0"
"L20127","ZlibWrapper.java","codec/src/main/java/io/netty/handler/codec/compression/ZlibWrapper.java","L20111","1","0","7","0","5","3","3","0"
"L21364","ChannelBufferByteInput.java","codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteInput.java","L21363","4","0","47","0","8","4057","3","0"
"L21365","ChannelBufferByteOutput.java","codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteOutput.java","L21363","1","0","31","0","15","4057","3","0"
"L21366","CompatibleMarshallingDecoder.java","codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingDecoder.java","L21363","8","0","64","2","18","4057","3","0"
"L21367","CompatibleMarshallingEncoder.java","codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingEncoder.java","L21363","1","0","22","0","8","1649","3","0"
"L21368","ContextBoundUnmarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/ContextBoundUnmarshallerProvider.java","L21363","2","0","26","1","6","4057","2","0"
"L21369","DefaultMarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/DefaultMarshallerProvider.java","L21363","1","0","17","0","3","72","2","0"
"L21370","DefaultUnmarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/DefaultUnmarshallerProvider.java","L21363","1","0","17","0","3","72","2","0"
"L21371","LimitingByteInput.java","codec/src/main/java/io/netty/handler/codec/marshalling/LimitingByteInput.java","L21363","5","0","66","0","9","4057","3","0"
"L21372","MarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/MarshallerProvider.java","L21363","1","0","6","0","3","72","2","0"
"L21373","MarshallingDecoder.java","codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingDecoder.java","L21363","2","0","39","0","12","1649","3","0"
"L21374","MarshallingEncoder.java","codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingEncoder.java","L21363","1","0","26","0","10","1649","3","0"
"L21375","package-info.java","codec/src/main/java/io/netty/handler/codec/marshalling/package-info.java","L21363","1","0","1","0","6","72","3","0"
"L21376","ThreadLocalMarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalMarshallerProvider.java","L21363","2","0","23","0","3","72","2","0"
"L21377","ThreadLocalUnmarshallerProvider.java","codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalUnmarshallerProvider.java","L21363","2","0","23","0","3","72","2","0"
