@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","86","0","963","8","65","4057","4","true"
"L115","21","0","157","2","13","4057","3","false"
"L116","1","0","47","1","8","4057","2","false"
"L117","19","0","106","2","14","1649","2","false"
"L118","4","0","601","0","6","4057","1","false"
"L119","1","0","166","2","50","4057","5","false"
"L120","1","0","23","2","9","4057","2","false"
"L121","1","0","15","0","8","4057","2","false"
"L122","17","0","172","0","7","4057","3","false"
"L123","6","0","88","0","4","4057","2","false"
"L124","5","0","64","0","5","4057","1","false"
"L125","48","0","294","0","17","4057","3","true"
"L126","137","0","1250","3","66","4057","6","true"
"L127","3","0","63","1","12","4057","2","false"
"L128","2","0","229","4","31","1649","4","false"
"L129","19","0","697","1","21","4057","2","false"
"L130","43","0","481","0","1","1649","1","false"
"L131","1","0","1","0","11","4057","3","false"
"L132","43","0","341","3","19","1649","2","false"
"L133","29","0","261","1","5","4057","2","false"
"L134","16","0","96","0","3","1649","2","false"
"L135","11","0","117","2","19","4057","2","false"
"L136","20","0","196","2","13","4057","2","true"
"L137","16","0","307","4","14","4057","2","false"
"L138","7","0","248","4","15","4057","2","false"
"L139","33","0","316","6","21","4057","2","true"
"L140","20","0","138","0","3","4057","1","false"
"L141","1","0","10","0","1","4057","1","true"
"L142","3","0","239","5","31","1649","5","false"
"L143","13","0","261","4","11","4057","3","false"
"L144","16","0","100","1","3","4057","2","false"
"L145","4","0","59","0","4","4057","1","false"
"L146","8","0","228","5","37","1649","4","false"
"L147","9","0","695","6","45","4057","4","false"
"L148","94","0","494","2","35","1649","5","false"
"L149","2","0","27","2","11","4057","2","false"
"L150","42","0","486","8","31","4057","3","true"
"L151","17","0","356","5","18","1649","2","true"
"L152","53","0","412","6","16","4057","2","true"
"L153","4","0","62","1","15","4057","2","false"
"L154","2","0","670","1","8","4057","3","false"
"L160","149","0","1682","5","22","1649","3","false"
"L161","9","0","614","8","32","1649","5","false"
"L162","1","0","6","0","1","1649","1","false"
"L163","1","0","20","1","2","1649","1","false"
"L164","1","0","24","0","2","4057","2","false"
"L165","1","0","14","1","1","1649","1","false"
"L166","11","0","168","0","2","4","2","false"
"L167","1","0","41","0","4","1649","2","false"
"L168","11","0","147","0","5","4057","3","false"
"L169","1","0","34","0","3","4","3","false"
"L170","1","0","35","1","3","1649","1","false"
"L171","1","0","17","0","1","1649","1","false"
"L172","2","0","193","0","2","4057","2","false"
"L173","1","0","6","0","1","1649","1","false"
"L174","1","0","20","1","2","1649","1","false"
"L175","1","0","16","0","1","1649","1","false"
"L176","1","0","14","1","1","1649","1","false"
"L177","1","0","17","1","1","4057","1","false"
"L178","1","0","15","1","1","4057","1","false"
"L179","1","0","17","1","1","4057","1","false"
"L180","1","0","16","1","1","4057","1","false"
"L181","1","0","8","1","1","1649","1","false"
"L182","1","0","135","1","2","5","2","false"
"L183","3","0","146","2","4","1649","2","false"
"L184","1","0","15","1","2","4","2","false"
"L185","1","0","63","2","4","1649","1","false"
"L186","22","0","469","1","12","1649","3","false"
"L187","1","0","20","0","1","1649","1","false"
"L7642","2","0","70","2","33","4057","3","false"
"L7643","29","0","170","13","62","2","4","true"
"L7644","1","0","15","0","5","4057","2","false"
"L7645","1","0","15","0","7","4057","3","false"
"L7646","1","0","15","0","6","4057","3","false"
"L7647","7","0","53","1","6","4057","2","false"
"L7648","35","0","186","1","21","1649","3","true"
"L7649","1","0","17","0","6","72","2","false"
"L7650","1","0","15","0","6","4057","3","false"
"L7651","4","0","29","2","24","1649","3","false"
"L7652","27","0","196","4","25","1649","3","false"
"L7653","16","0","75","0","19","1649","4","false"
"L7654","17","0","94","1","8","1649","2","false"
"L7655","7","0","69","3","32","4057","3","false"
"L7656","1","0","60","3","45","4057","4","false"
"L7657","5","0","50","7","55","4057","3","false"
"L7658","8","0","64","8","52","4057","3","false"
"L7659","1","0","1","0","5","4057","3","false"
"L7660","1","0","15","0","5","72","3","false"
"L7661","19","0","112","12","65","4057","3","true"
"L7662","20","0","825","4","58","4057","4","false"
"L7663","1","0","15","0","7","4057","3","false"
"L7664","6","0","35","0","6","1649","3","false"
"L19721","30","0","208","1","15","1649","3","false"
"L19722","2","0","27","1","18","4057","3","false"
"L19723","1","0","133","0","5","72","2","false"
"L19724","2","0","31","0","17","4057","3","false"
"L19725","1","0","1","0","6","4057","2","false"
"L19883","1","0","16","2","21","1649","3","false"
"L19884","1","0","17","0","25","4057","3","false"
"L19885","1","0","1","0","6","4057","2","false"
"L20112","1","0","16","1","6","4057","3","false"
"L20113","2","0","94","0","1","17","1","false"
"L20114","1","0","16","0","1","4057","1","false"
"L20115","55","0","283","1","5","4057","2","true"
"L20116","24","0","196","3","23","1649","3","false"
"L20117","18","0","113","1","9","4057","4","false"
"L20118","30","0","227","3","20","4057","4","false"
"L20119","1","0","1","0","7","4057","2","false"
"L20120","73","0","413","2","11","17","2","false"
"L20121","25","0","134","1","13","4057","3","false"
"L20122","8","0","70","1","13","4057","3","false"
"L20123","15","0","90","0","8","5","4","false"
"L20124","1","0","6","0","19","4057","3","false"
"L20125","1","0","13","0","24","4057","3","false"
"L20126","11","0","58","1","11","4057","3","false"
"L20127","1","0","7","0","5","3","3","false"
"L21364","4","0","47","0","8","4057","3","false"
"L21365","1","0","31","0","15","4057","3","false"
"L21366","8","0","64","2","18","4057","3","false"
"L21367","1","0","22","0","8","1649","3","false"
"L21368","2","0","26","1","6","4057","2","false"
"L21369","1","0","17","0","3","72","2","false"
"L21370","1","0","17","0","3","72","2","false"
"L21371","5","0","66","0","9","4057","3","false"
"L21372","1","0","6","0","3","72","2","false"
"L21373","2","0","39","0","12","1649","3","false"
"L21374","1","0","26","0","10","1649","3","false"
"L21375","1","0","1","0","6","72","3","false"
"L21376","2","0","23","0","3","72","2","false"
"L21377","2","0","23","0","3","72","2","false"
"L21378","1","0","6","0","4","72","2","false"
"L22014","1","0","1","0","6","4057","2","false"
"L22015","6","0","65","1","21","4057","3","false"
