@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L190","0.086758","4","19","7","0.068323","0.0799574","77","75","6","3","3","216","13","37","281","41","177","0.00869565","0.0208768","20","15","1","114","0.0208768","20","2","2","2","20","1","938","1127","7","21","7","16","136","0","114","14","169","467","0","147","19","938","1127","7","21","7","16","136","0","114","14","169","467","0","147","19","0","4","334","2","44","0","1","0","0","44","0","1","0","1","7","2","0","16","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","17","6","6","0","0","0","false"
"L783","0","0","0","0","0","0","0","0","3","2","2","52","12","9","26","8","34","0.047619","0.10396","21","18","1","20","0.10396","21","1","1","2","2","1","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","0","0","53","1","14","0","0","0","0","0","0","1","0","0","0","1","0","15","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L905","0","0","0","0","0","0","0","0","1","0","0","10","3","3","4","10","20","0.1","0.0816327","4","4","1","9","0.0816327","4","3","3","3","3","1","45","55","7","21","0","0","10","0","9","0","170","14","0","147","19","45","55","7","21","0","0","10","0","9","0","170","14","0","147","19","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","false"
"L941","0.527331","3","16","3","0.435484","0.504951","54","51","3","3","3","28","3","21","29","2","12","0.125","0.0818182","9","9","1","7","0.0818182","9","3","3","7","15","1","101","124","9","21","2","0","10","0","7","1","172","45","0","147","20","101","124","9","21","2","0","10","0","7","1","172","45","0","147","20","0","0","52","0","5","0","0","0","0","26","0","1","0","0","0","0","0","3","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","0","0","false"
"L809","0","0","0","0","0","0","0","0","1","1","1","118","4","1","1","117","232","0","0","0","0","0","115","0","0","3","3","0","0","1","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","0","0","252","0","9","0","0","0","0","0","0","0","0","1","8","2","0","1","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","false"
"L192","0","0","0","0","0","0","0","0","0","0","0","144","3","480","1855","0","144","0.972414","0.909515","1558","1558","141","4","0.909515","1558","1","1","5","29","1","155","1658","0","21","0","21","144","0","144","19","147","0","0","147","19","155","1658","0","21","0","21","144","0","144","19","147","0","0","147","19","0","0","27","0","8","0","0","0","0","0","0","0","0","1","8","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","false"
"L2007","0.0656028","1","2","1","0.0504587","0.060241","11","10","3","3","3","42","1","6","7","13","39","0.153846","0.165829","33","33","4","22","0.165829","33","0","0","0","0","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","0","1","61","0","7","0","0","0","0","8","0","1","0","0","0","0","0","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","false"
"L2099","0","0","0","0","0","0","0","0","2","1","1","22","1","7","8","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","false"
"L2235","0.0515873","1","6","2","0.0511727","0.0574713","24","20","10","3","3","68","9","26","68","21","40","1","0.169972","60","60","16","0","0.147059","60","0","0","0","0","0","293","404","4","0","4","0","19","0","15","0","19","194","0","15","0","348","469","37","53","8","0","27","0","15","0","415","214","0","329","47","0","1","90","0","17","0","0","0","0","14","0","1","0","1","4","0","0","12","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22","0","0","0","0","0","false"
"L873","0.38544","17","111","36","0.282457","0.334955","446","413","35","4","3","265","10","22","43","113","242","0.183486","0.105572","144","119","20","89","0.105874","146","4","4","0","0","1","1220","1563","16","25","7","9","129","0","108","19","264","728","0","229","34","1233","1579","20","25","11","9","131","0","108","19","266","731","0","229","34","0","8","441","3","82","0","1","0","0","177","0","1","0","1","12","4","0","60","236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","22","8","0","0","0","0","false"
"L3059","0","0","0","0","0","0","0","0","1","1","1","14","5","34","79","12","24","0.0769231","0.0625","4","4","1","12","0.0625","4","2","2","5","13","1","60","73","1","0","1","0","12","0","12","0","12","20","0","12","0","60","73","1","0","1","0","12","0","12","0","12","20","0","12","0","0","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
