"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","81","0","951","11","71","4057","4","0"
"L115","AbstractByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java","L113","27","0","186","2","15","1649","3","0"
"L116","AbstractDerivedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java","L113","1","0","47","1","8","4057","2","0"
"L117","AbstractReferenceCountedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java","L113","19","0","105","2","15","4057","2","0"
"L118","AdvancedLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/AdvancedLeakAwareByteBuf.java","L113","4","0","601","0","7","4057","1","0"
"L119","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","166","2","50","4057","5","0"
"L120","ByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java","L113","1","0","24","2","11","1649","2","0"
"L121","ByteBufHolder.java","buffer/src/main/java/io/netty/buffer/ByteBufHolder.java","L113","1","0","15","0","8","4057","2","0"
"L122","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","17","0","172","0","8","4057","3","0"
"L123","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","4","4057","2","0"
"L124","ByteBufProcessor.java","buffer/src/main/java/io/netty/buffer/ByteBufProcessor.java","L113","5","0","64","0","5","4057","1","0"
"L125","ByteBufUtil.java","buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","L113","52","0","365","2","19","1649","3","0"
"L126","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","137","0","1249","4","70","27","8","0"
"L127","DefaultByteBufHolder.java","buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java","L113","3","0","63","1","12","4057","2","0"
"L128","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","229","4","31","1649","4","0"
"L129","EmptyByteBuf.java","buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java","L113","19","0","697","1","21","4057","2","0"
"L130","FixedCompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/FixedCompositeByteBuf.java","L113","43","0","481","0","2","4057","2","0"
"L131","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","11","4057","3","0"
"L132","PoolArena.java","buffer/src/main/java/io/netty/buffer/PoolArena.java","L113","47","0","382","3","21","2","3","0"
"L133","PoolChunk.java","buffer/src/main/java/io/netty/buffer/PoolChunk.java","L113","24","0","236","1","12","4057","2","0"
"L134","PoolChunkList.java","buffer/src/main/java/io/netty/buffer/PoolChunkList.java","L113","16","0","96","0","3","1649","2","0"
"L135","PooledByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledByteBuf.java","L113","11","0","116","2","21","4057","2","0"
"L136","PooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java","L113","17","0","221","3","19","4057","4","0"
"L137","PooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java","L113","16","0","307","4","16","4057","3","0"
"L138","PooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","L113","7","0","248","4","16","4057","2","0"
"L139","PooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java","L113","33","0","320","7","25","4057","3","0"
"L140","PoolSubpage.java","buffer/src/main/java/io/netty/buffer/PoolSubpage.java","L113","21","0","152","0","4","4057","1","0"
"L141","PoolThreadCache.java","buffer/src/main/java/io/netty/buffer/PoolThreadCache.java","L113","39","0","346","1","5","4057","2","2"
"L142","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","3","0","239","5","31","1649","5","0"
"L143","ReadOnlyByteBufferBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","L113","13","0","261","4","13","4057","3","0"
"L144","ReadOnlyUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBuf.java","L113","16","0","100","1","4","4057","2","0"
"L145","SimpleLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/SimpleLeakAwareByteBuf.java","L113","4","0","59","0","4","4057","1","0"
"L146","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","8","0","228","5","38","4057","4","0"
"L147","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","695","6","46","1649","4","0"
"L148","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","94","0","494","2","35","1649","5","0"
"L149","UnpooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java","L113","2","0","27","2","11","4057","2","0"
"L150","UnpooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java","L113","41","0","486","10","34","4057","3","0"
"L151","UnpooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","L113","17","0","357","6","20","4057","2","0"
"L152","UnpooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledUnsafeDirectByteBuf.java","L113","53","0","418","9","21","4057","2","0"
"L153","UnreleasableByteBuf.java","buffer/src/main/java/io/netty/buffer/UnreleasableByteBuf.java","L113","4","0","62","1","15","4057","2","0"
"L154","UnsafeDirectSwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/UnsafeDirectSwappedByteBuf.java","L113","7","0","135","2","3","1649","1","0"
"L155","WrappedByteBuf.java","buffer/src/main/java/io/netty/buffer/WrappedByteBuf.java","L113","2","0","671","1","9","4057","3","0"
"L161","AbstractByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java","L160","148","0","2122","7","28","4057","4","0"
"L162","AbstractCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java","L160","9","0","613","8","33","4057","5","0"
"L163","BigEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java","L160","1","0","12","1","2","1649","1","0"
"L164","BigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java","L160","1","0","20","1","2","1649","1","0"
"L165","BigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianHeapByteBufTest.java","L160","1","0","24","0","2","4057","2","0"
"L166","BigEndianUnsafeDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianUnsafeDirectByteBufTest.java","L160","1","0","14","1","1","1649","1","0"
"L167","ByteBufDerivationTest.java","buffer/src/test/java/io/netty/buffer/ByteBufDerivationTest.java","L160","11","0","168","0","2","4","2","0"
"L168","ByteBufProcessorTest.java","buffer/src/test/java/io/netty/buffer/ByteBufProcessorTest.java","L160","1","0","41","0","4","1649","2","0"
"L169","ByteBufStreamTest.java","buffer/src/test/java/io/netty/buffer/ByteBufStreamTest.java","L160","11","0","147","0","5","4057","3","0"
"L170","ConsolidationTest.java","buffer/src/test/java/io/netty/buffer/ConsolidationTest.java","L160","1","0","34","0","3","4","3","0"
"L171","DuplicateByteBufTest.java","buffer/src/test/java/io/netty/buffer/DuplicateByteBufTest.java","L160","1","0","29","1","4","4057","2","0"
"L172","EmptyByteBufTest.java","buffer/src/test/java/io/netty/buffer/EmptyByteBufTest.java","L160","1","0","17","0","1","1649","1","0"
"L173","FixedCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/FixedCompositeByteBufTest.java","L160","2","0","193","0","2","4057","2","0"
"L174","LittleEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianCompositeByteBufTest.java","L160","1","0","6","0","1","1649","1","0"
"L175","LittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianDirectByteBufTest.java","L160","1","0","20","1","2","1649","1","0"
"L176","LittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianHeapByteBufTest.java","L160","1","0","16","0","1","1649","1","0"
"L177","LittleEndianUnsafeDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianUnsafeDirectByteBufTest.java","L160","1","0","14","1","1","1649","1","0"
"L178","PoolArenaTest.java","buffer/src/test/java/io/netty/buffer/PoolArenaTest.java","L160","2","0","15","0","1","2","1","0"
"L179","PooledBigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianDirectByteBufTest.java","L160","1","0","17","1","1","4057","1","0"
"L180","PooledBigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledBigEndianHeapByteBufTest.java","L160","1","0","15","1","1","4057","1","0"
"L181","PooledLittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianDirectByteBufTest.java","L160","1","0","17","1","1","4057","1","0"
"L182","PooledLittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/PooledLittleEndianHeapByteBufTest.java","L160","1","0","16","1","1","4057","1","0"
"L183","ReadOnlyByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufferBufTest.java","L160","1","0","8","1","1","1649","1","0"
"L184","ReadOnlyByteBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufTest.java","L160","1","0","135","1","3","4057","3","0"
"L185","ReadOnlyDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyDirectByteBufferBufTest.java","L160","3","0","154","2","5","1649","2","0"
"L186","ReadOnlyUnsafeDirectByteBufferBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBufferBufTest.java","L160","1","0","15","1","2","4","2","0"
"L187","SlicedByteBufTest.java","buffer/src/test/java/io/netty/buffer/SlicedByteBufTest.java","L160","1","0","79","4","7","1649","2","0"
"L188","UnpooledTest.java","buffer/src/test/java/io/netty/buffer/UnpooledTest.java","L160","22","0","469","1","13","4057","3","0"
"L189","UnreleaseableByteBufTest.java","buffer/src/test/java/io/netty/buffer/UnreleaseableByteBufTest.java","L160","1","0","20","0","1","1649","1","0"
"L8264","AsciiHeadersEncoder.java","codec/src/main/java/io/netty/handler/codec/AsciiHeadersEncoder.java","L8263","11","0","87","0","1","4057","1","0"
"L8265","AsciiString.java","codec/src/main/java/io/netty/handler/codec/AsciiString.java","L8263","193","0","860","0","1","4057","1","1"
"L8266","ByteToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageCodec.java","L8263","2","0","70","2","34","1649","3","1"
"L8267","ByteToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageDecoder.java","L8263","32","0","177","14","65","1649","4","2"
"L8268","CodecException.java","codec/src/main/java/io/netty/handler/codec/CodecException.java","L8263","1","0","15","0","5","4057","2","0"
"L8269","CorruptedFrameException.java","codec/src/main/java/io/netty/handler/codec/CorruptedFrameException.java","L8263","1","0","15","0","7","4057","3","0"
"L8270","DecoderException.java","codec/src/main/java/io/netty/handler/codec/DecoderException.java","L8263","1","0","15","0","6","4057","3","0"
"L8271","DecoderResult.java","codec/src/main/java/io/netty/handler/codec/DecoderResult.java","L8263","7","0","53","1","6","4057","2","0"
"L8272","DecoderResultProvider.java","codec/src/main/java/io/netty/handler/codec/DecoderResultProvider.java","L8263","1","0","5","0","1","4057","1","0"
