@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","81","0","951","11","71","4057","4","false"
"L115","27","0","186","2","15","1649","3","false"
"L116","1","0","47","1","8","4057","2","false"
"L117","19","0","105","2","15","4057","2","false"
"L118","4","0","601","0","7","4057","1","false"
"L119","1","0","166","2","50","4057","5","false"
"L120","1","0","24","2","11","1649","2","false"
"L121","1","0","15","0","8","4057","2","false"
"L122","17","0","172","0","8","4057","3","false"
"L123","6","0","88","0","4","4057","2","false"
"L124","5","0","64","0","5","4057","1","false"
"L125","52","0","365","2","19","1649","3","false"
"L126","137","0","1249","4","70","27","8","false"
"L127","3","0","63","1","12","4057","2","false"
"L128","2","0","229","4","31","1649","4","false"
"L129","19","0","697","1","21","4057","2","false"
"L130","43","0","481","0","2","4057","2","false"
"L131","1","0","1","0","11","4057","3","false"
"L132","47","0","382","3","21","2","3","false"
"L133","24","0","236","1","12","4057","2","false"
"L134","16","0","96","0","3","1649","2","false"
"L135","11","0","116","2","21","4057","2","false"
"L136","17","0","221","3","19","4057","4","false"
"L137","16","0","307","4","16","4057","3","false"
"L138","7","0","248","4","16","4057","2","false"
"L139","33","0","320","7","25","4057","3","false"
"L140","21","0","152","0","4","4057","1","false"
"L141","39","0","346","1","5","4057","2","true"
"L142","3","0","239","5","31","1649","5","false"
"L143","13","0","261","4","13","4057","3","false"
"L144","16","0","100","1","4","4057","2","false"
"L145","4","0","59","0","4","4057","1","false"
"L146","8","0","228","5","38","4057","4","false"
"L147","9","0","695","6","46","1649","4","false"
"L148","94","0","494","2","35","1649","5","false"
"L149","2","0","27","2","11","4057","2","false"
"L150","41","0","486","10","34","4057","3","false"
"L151","17","0","357","6","20","4057","2","false"
"L152","53","0","418","9","21","4057","2","false"
"L153","4","0","62","1","15","4057","2","false"
"L154","7","0","135","2","3","1649","1","false"
"L155","2","0","671","1","9","4057","3","false"
"L161","148","0","2122","7","28","4057","4","false"
"L162","9","0","613","8","33","4057","5","false"
"L163","1","0","12","1","2","1649","1","false"
"L164","1","0","20","1","2","1649","1","false"
