"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","80","0","947","11","75","1649","6","0"
"L115","AbstractByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java","L113","27","0","186","2","15","1649","3","0"
"L116","AbstractDerivedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java","L113","3","0","56","1","9","1649","2","0"
"L117","AbstractReferenceCountedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java","L113","19","0","105","2","15","4057","2","0"
"L118","AdvancedLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/AdvancedLeakAwareByteBuf.java","L113","4","0","602","0","8","105","2","0"
"L119","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","167","2","53","1649","6","0"
"L120","ByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java","L113","1","0","24","2","11","1649","2","0"
"L121","ByteBufHolder.java","buffer/src/main/java/io/netty/buffer/ByteBufHolder.java","L113","1","0","15","0","8","4057","2","0"
"L122","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","17","0","172","0","8","4057","3","0"
"L123","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","4","4057","2","0"
"L124","ByteBufProcessor.java","buffer/src/main/java/io/netty/buffer/ByteBufProcessor.java","L113","5","0","64","0","6","105","2","0"
"L125","ByteBufUtil.java","buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","L113","86","0","585","2","28","1649","6","0"
"L126","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","148","0","1308","4","75","1649","8","0"
"L127","DefaultByteBufHolder.java","buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java","L113","3","0","63","1","12","4057","2","0"
"L128","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","239","4","33","1649","5","0"
"L129","EmptyByteBuf.java","buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java","L113","19","0","698","1","22","105","3","0"
"L130","FixedCompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/FixedCompositeByteBuf.java","L113","43","0","481","0","2","4057","2","0"
"L131","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","11","4057","3","0"
"L132","PoolArena.java","buffer/src/main/java/io/netty/buffer/PoolArena.java","L113","64","0","553","3","28","1649","4","0"
"L133","PoolArenaMetric.java","buffer/src/main/java/io/netty/buffer/PoolArenaMetric.java","L113","1","0","25","0","1","1649","1","0"
"L134","PoolChunk.java","buffer/src/main/java/io/netty/buffer/PoolChunk.java","L113","24","0","247","1","15","1649","3","0"
"L135","PoolChunkList.java","buffer/src/main/java/io/netty/buffer/PoolChunkList.java","L113","19","0","128","0","5","1649","2","0"
"L136","PoolChunkListMetric.java","buffer/src/main/java/io/netty/buffer/PoolChunkListMetric.java","L113","1","0","5","0","1","1649","1","0"
"L137","PoolChunkMetric.java","buffer/src/main/java/io/netty/buffer/PoolChunkMetric.java","L113","1","0","6","0","1","1649","1","0"
"L138","PooledByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledByteBuf.java","L113","11","0","128","2","27","1649","2","0"
"L139","PooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java","L113","17","0","268","3","22","1649","4","0"
"L140","PooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java","L113","16","0","307","4","16","4057","3","0"
"L141","PooledDuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDuplicatedByteBuf.java","L113","1","0","32","0","1","1649","1","0"
"L142","PooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","L113","7","0","249","4","17","1649","2","0"
"L143","PooledSlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledSlicedByteBuf.java","L113","1","0","32","0","1","1649","1","0"
"L144","PooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java","L113","33","0","323","7","27","1649","3","0"
"L145","PoolSubpage.java","buffer/src/main/java/io/netty/buffer/PoolSubpage.java","L113","21","0","177","0","6","1649","2","0"
"L146","PoolSubpageMetric.java","buffer/src/main/java/io/netty/buffer/PoolSubpageMetric.java","L113","1","0","7","0","1","1649","1","0"
"L147","PoolThreadCache.java","buffer/src/main/java/io/netty/buffer/PoolThreadCache.java","L113","34","0","349","3","11","1649","3","0"
"L148","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","3","0","240","5","32","105","6","0"
"L149","ReadOnlyByteBufferBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","L113","13","0","261","4","13","4057","3","0"
"L150","ReadOnlyUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBuf.java","L113","16","0","100","1","4","4057","2","0"
"L151","SimpleLeakAwareByteBuf.java","buffer/src/main/java/io/netty/buffer/SimpleLeakAwareByteBuf.java","L113","4","0","59","0","4","4057","1","0"
"L152","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","8","0","237","5","40","1649","5","0"
"L153","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","696","6","47","105","5","0"
"L154","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","94","0","495","2","38","8","6","0"
"L155","UnpooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java","L113","2","0","27","2","11","4057","2","0"
"L156","UnpooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java","L113","41","0","486","10","34","4057","3","0"
"L157","UnpooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","L113","17","0","357","6","20","4057","2","0"
"L158","UnpooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledUnsafeDirectByteBuf.java","L113","53","0","419","9","22","1649","2","0"
"L159","UnreleasableByteBuf.java","buffer/src/main/java/io/netty/buffer/UnreleasableByteBuf.java","L113","4","0","62","1","15","4057","2","0"
"L160","UnsafeDirectSwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/UnsafeDirectSwappedByteBuf.java","L113","7","0","135","2","3","1649","1","0"
"L161","WrappedByteBuf.java","buffer/src/main/java/io/netty/buffer/WrappedByteBuf.java","L113","2","0","672","1","10","105","4","0"
"L167","AbstractByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java","L166","155","0","2213","7","33","105","5","0"
"L168","AbstractCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java","L166","11","0","716","8","35","1649","5","0"
"L169","AbstractPooledByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractPooledByteBufTest.java","L166","3","0","41","0","1","1649","1","0"
