@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","80","0","947","11","75","1649","6","false"
"L115","27","0","186","2","15","1649","3","false"
"L116","3","0","56","1","9","1649","2","false"
"L117","19","0","105","2","15","4057","2","false"
"L118","4","0","602","0","8","105","2","false"
"L119","1","0","167","2","53","1649","6","false"
"L120","1","0","24","2","11","1649","2","false"
"L121","1","0","15","0","8","4057","2","false"
"L122","17","0","172","0","8","4057","3","false"
"L123","6","0","88","0","4","4057","2","false"
"L124","5","0","64","0","6","105","2","false"
"L125","86","0","585","2","28","1649","6","false"
"L126","148","0","1308","4","75","1649","8","false"
"L127","3","0","63","1","12","4057","2","false"
"L128","2","0","239","4","33","1649","5","false"
"L129","19","0","698","1","22","105","3","false"
"L130","43","0","481","0","2","4057","2","false"
"L131","1","0","1","0","11","4057","3","false"
"L132","64","0","553","3","28","1649","4","false"
"L133","1","0","25","0","1","1649","1","false"
"L134","24","0","247","1","15","1649","3","false"
"L135","19","0","128","0","5","1649","2","false"
"L136","1","0","5","0","1","1649","1","false"
"L137","1","0","6","0","1","1649","1","false"
"L138","11","0","128","2","27","1649","2","false"
"L139","17","0","268","3","22","1649","4","false"
"L140","16","0","307","4","16","4057","3","false"
"L141","1","0","32","0","1","1649","1","false"
"L142","7","0","249","4","17","1649","2","false"
"L143","1","0","32","0","1","1649","1","false"
"L144","33","0","323","7","27","1649","3","false"
"L145","21","0","177","0","6","1649","2","false"
"L146","1","0","7","0","1","1649","1","false"
"L147","34","0","349","3","11","1649","3","false"
"L148","3","0","240","5","32","105","6","false"
"L149","13","0","261","4","13","4057","3","false"
"L150","16","0","100","1","4","4057","2","false"
"L151","4","0","59","0","4","4057","1","false"
"L152","8","0","237","5","40","1649","5","false"
"L153","9","0","696","6","47","105","5","false"
"L154","94","0","495","2","38","8","6","false"
"L155","2","0","27","2","11","4057","2","false"
"L156","41","0","486","10","34","4057","3","false"
"L157","17","0","357","6","20","4057","2","false"
"L158","53","0","419","9","22","1649","2","false"
"L159","4","0","62","1","15","4057","2","false"
"L160","7","0","135","2","3","1649","1","false"
"L161","2","0","672","1","10","105","4","false"
"L167","155","0","2213","7","33","105","5","false"
"L168","11","0","716","8","35","1649","5","false"
"L169","3","0","41","0","1","1649","1","false"
"L170","1","0","12","1","2","1649","1","false"
"L171","1","0","20","1","2","1649","1","false"
"L172","1","0","24","0","2","4057","2","false"
"L173","1","0","14","1","1","1649","1","false"
"L174","11","0","168","0","2","4","2","false"
"L175","11","0","147","0","5","4057","3","false"
"L176","1","0","82","0","2","105","2","false"
"L177","1","0","42","0","1","105","1","false"
"L178","1","0","34","0","3","4","3","false"
"L179","1","0","29","1","4","4057","2","false"
"L180","3","0","48","0","2","4057","2","false"
"L181","2","0","193","0","2","4057","2","false"
"L182","1","0","6","0","1","1649","1","false"
"L183","1","0","20","1","2","1649","1","false"
"L184","1","0","16","0","1","1649","1","false"
"L185","1","0","14","1","1","1649","1","false"
"L186","2","0","15","0","1","2","1","false"
"L187","1","0","11","1","2","1649","2","false"
"L188","1","0","7","1","2","1649","2","false"
"L189","1","0","11","1","2","1649","2","false"
"L190","1","0","11","1","2","1649","2","false"
"L191","1","0","8","1","1","1649","1","false"
"L192","1","0","135","1","3","4057","3","false"
"L193","3","0","154","2","5","1649","2","false"
"L194","1","0","15","1","2","4","2","false"
"L195","1","0","79","4","7","1649","2","false"
"L196","22","0","469","1","13","4057","3","false"
"L197","1","0","20","0","1","1649","1","false"
"L8855","11","0","93","0","3","105","2","false"
"L8856","1","0","73","1","5","105","3","false"
"L8857","1","0","66","3","36","1649","3","false"
"L8858","34","0","224","15","76","1649","6","false"
"L8859","1","0","15","0","5","4057","2","false"
"L8860","2","0","10","0","14","1649","3","false"
"L8861","1","0","22","0","2","4057","2","false"
"L8862","1","0","15","0","7","4057","3","false"
"L8863","1","0","15","0","6","4057","3","false"
"L8864","7","0","53","1","7","27","3","false"
"L8865","1","0","5","0","1","4057","1","false"
"L8866","4","0","278","1","6","105","3","false"
"L8867","9","0","142","0","2","4057","2","false"
"L8868","155","0","1243","0","10","105","4","false"
"L8869","13","0","483","1","17","105","5","false"
"L8870","35","0","184","2","23","1649","3","false"
"L8871","1","0","17","0","6","72","2","false"
"L8872","1","0","176","1","4","105","2","false"
"L8873","1","0","46","0","1","105","1","false"
"L8874","3","0","431","0","4","105","2","false"
"L8875","1","0","183","0","6","105","2","false"
"L8876","1","0","15","0","6","4057","3","false"
"L8877","4","0","29","2","25","1649","3","false"
"L8878","1","0","139","0","5","105","2","false"
"L8879","27","0","194","4","26","1649","3","false"
"L8880","16","0","85","0","20","1","5","false"
"L8881","17","0","94","1","10","2","3","false"
"L8882","1","0","14","0","1","4057","1","false"
"L8883","32","0","217","2","6","4057","5","false"
"L8884","7","0","73","3","33","1649","3","false"
"L8885","1","0","60","3","45","4057","4","false"
"L8886","5","0","50","7","55","4057","3","false"
"L8887","10","0","74","8","53","1649","3","false"
"L8888","1","0","1","0","5","4057","3","false"
"L8889","1","0","15","0","5","72","3","false"
"L8890","1","0","34","0","1","1649","1","false"
"L8891","1","0","6","0","1","1649","1","false"
"L8892","20","0","118","13","70","1649","5","false"
"L8893","22","0","830","0","2","105","2","false"
"L8894","1","0","74","0","7","105","2","false"
"L8895","1","0","15","0","7","4057","3","false"
"L8896","6","0","35","0","6","1649","3","false"
"L35368","1","0","1","0","1","2","1","false"
"L35369","51","0","126","1","4","1649","3","false"
"L35855","30","0","208","1","16","4057","3","false"
"L35856","2","0","27","1","18","4057","3","false"
"L35857","1","0","133","0","5","72","2","false"
"L35858","2","0","31","0","17","4057","3","false"
"L35859","1","0","1","0","6","4057","2","false"
"L36130","1","0","16","2","21","1649","3","false"
"L36131","1","0","17","0","25","4057","3","false"
"L36132","1","0","1","0","6","4057","2","false"
"L36382","13","0","76","0","2","27","1","false"
"L36383","12","0","60","0","2","27","1","false"
"L36384","20","0","148","0","2","27","1","false"
"L36385","21","0","160","0","3","27","1","false"
"L36386","1","0","23","0","3","27","1","false"
"L36387","56","0","237","0","8","4057","2","false"
"L36388","460","0","1880","0","1","27","1","false"
"L36389","19","0","168","0","2","27","1","false"
"L36390","26","0","104","0","2","27","1","false"
"L36391","13","0","94","0","3","27","1","false"
"L36392","41","0","207","0","1","27","1","false"
"L36393","3","0","49","0","2","27","1","false"
"L36394","13","0","97","0","1","27","1","false"
"L36395","1","0","41","0","2","27","1","false"
"L36396","1","0","16","1","6","4057","3","false"
"L36397","2","0","82","0","1","27","1","false"
"L36398","2","0","94","0","2","4057","2","false"
"L36399","1","0","16","0","1","4057","1","false"
"L36400","74","0","346","0","2","4057","2","false"
"L36401","24","0","134","0","3","4057","1","false"
"L36402","15","0","106","0","1","4057","1","false"
"L36403","60","0","304","2","10","105","5","false"
"L36404","28","0","209","3","26","105","5","false"
"L36405","18","0","113","1","11","105","6","false"
"L36406","31","0","231","3","22","105","6","false"
"L36407","1","0","28","0","1","27","1","false"
"L36408","32","0","179","0","2","4057","2","false"
"L36409","15","0","194","0","1","27","1","false"
"L36410","19","0","128","0","4","4057","2","false"
"L36411","6","0","60","0","1","27","1","false"
"L36412","16","0","107","0","2","27","1","false"
"L36413","1","0","1","0","9","27","3","false"
"L36414","73","0","412","2","13","27","3","false"
"L36415","25","0","135","0","1","4057","1","false"
"L36416","8","0","70","0","1","4057","1","false"
"L36417","25","0","92","0","12","4057","6","false"
"L36418","1","0","6","0","19","4057","3","false"
"L36419","1","0","13","0","24","4057","3","false"
"L36420","11","0","58","1","12","27","4","false"
"L36421","1","0","7","0","5","3","3","false"
"L41487","35","0","132","1","5","1649","3","false"
"L41488","1","0","1","0","1","28","1","false"
"L41723","4","0","47","0","9","4057","3","false"
"L41724","1","0","31","0","16","4057","3","false"
"L41725","8","0","64","2","19","4057","3","false"
"L41726","1","0","22","0","8","1649","3","false"
"L41727","2","0","26","1","6","4057","2","false"
"L41728","1","0","17","0","3","72","2","false"
"L41729","1","0","17","0","3","72","2","false"
"L41730","5","0","66","0","10","4057","3","false"
"L41731","1","0","6","0","3","72","2","false"
"L41732","2","0","39","0","12","1649","3","false"
"L41733","1","0","26","0","10","1649","3","false"
"L41734","1","0","1","0","6","72","3","false"
"L41735","2","0","24","0","5","4057","3","false"
"L41736","2","0","24","0","5","4057","3","false"
"L41737","1","0","6","0","4","72","2","false"
"L42513","1","0","1","0","6","4057","2","false"
"L42514","6","0","69","1","22","2","4","false"
"L42515","3","0","27","3","23","4057","3","false"
"L42516","6","0","35","1","18","4057","3","false"
"L42517","1","0","22","0","16","1","4","false"
"L43025","2","0","21","0","3","4057","1","false"
"L43026","2","0","15","0","4","4057","1","false"
"L43027","1","0","4","0","3","4057","1","false"
"L43028","3","0","43","0","11","1649","2","false"
"L43029","6","0","51","0","8","4057","2","false"
"L43030","5","0","28","1","6","72","2","false"
"L43031","6","0","52","2","22","4057","3","false"
"L43032","2","0","33","0","12","27","3","false"
"L43033","6","0","146","0","6","4057","1","false"
"L43034","1","0","25","0","14","4057","3","false"
"L43035","4","0","110","0","10","72","2","false"
"L43036","1","0","1","0","4","4057","1","false"
"L43037","3","0","68","0","4","4057","1","false"
"L43038","1","0","13","0","6","4057","2","false"
"L43039","1","0","13","0","6","4057","2","false"
"L43613","1","0","1","0","5","4057","1","false"
"L43614","2","0","28","1","19","4057","3","false"
"L43615","3","0","31","0","25","1649","3","false"
"L8903","1","0","36","1","1","1649","1","false"
"L8904","3","0","122","1","7","1649","3","false"
"L8905","3","0","248","0","2","105","1","false"
"L8906","10","0","361","0","4","34","2","false"
"L8907","1","0","67","0","6","1649","4","false"
"L8908","5","0","58","1","3","4057","2","false"
"L8909","4","0","74","0","5","1649","3","false"
"L8910","1","0","17","0","1","1649","1","false"
"L8911","8","0","64","0","1","1649","1","false"
"L8912","3","0","165","5","29","1649","3","false"
"L35371","7","0","143","0","7","4057","2","false"
"L36134","1","0","34","0","15","4057","1","false"
"L36135","1","0","42","0","18","4057","2","false"
"L36423","3","0","17","0","1","27","1","false"
"L36424","5","0","106","0","1","27","1","false"
"L36425","3","0","82","0","1","27","1","false"
"L36426","11","0","132","0","1","27","1","false"
"L36427","1","0","116","0","8","27","3","false"
"L36428","3","0","33","0","5","27","2","false"
"L36429","1","0","31","0","3","27","1","false"
"L36430","5","0","80","0","3","27","2","false"
"L36431","1","0","17","0","5","4057","3","false"
"L36432","1","0","11","0","8","1649","4","false"
"L36433","1","0","97","0","2","27","1","false"
"L36434","3","0","32","0","2","27","1","false"
"L36435","1","0","12","0","2","27","1","false"
"L36436","1","0","40","0","3","27","1","false"
"L36437","1","0","18","0","2","27","1","false"
"L36438","1","0","12","0","3","27","1","false"
"L36439","5","0","74","0","2","27","1","false"
"L36440","1","0","108","0","1","4057","1","false"
"L36441","3","0","112","0","2","27","2","false"
"L36442","4","0","75","2","17","27","5","false"
"L36443","1","0","149","0","6","17","2","false"
"L36444","1","0","11","1","1","4057","1","false"
"L36445","1","0","17","1","3","4057","2","false"
"L36446","25","0","299","2","14","27","4","false"
"L41490","2","0","174","0","3","4057","2","false"
"L41739","1","0","87","1","15","4057","3","false"
"L41740","1","0","43","0","12","4057","1","false"
"L41741","1","0","16","0","2","4057","1","false"
"L41742","1","0","16","0","3","4","2","false"
"L41743","1","0","9","0","3","4","2","false"
"L41744","1","0","9","0","3","4","2","false"
"L41745","2","0","30","1","11","4057","3","false"
"L41746","1","0","14","0","6","4057","2","false"
"L41747","1","0","9","0","3","4","2","false"
"L41748","1","0","7","0","3","4057","1","false"
"L41749","1","0","9","0","6","4","3","false"
"L41750","1","0","7","0","3","4057","1","false"
"L41751","1","0","16","0","2","4057","1","false"
"L41752","1","0","16","0","3","4","2","false"
"L41753","1","0","9","0","3","4","2","false"
"L41754","1","0","9","0","3","4","2","false"
"L41755","2","0","30","1","11","4057","3","false"
"L41756","1","0","14","0","7","4","3","false"
"L41757","1","0","9","0","3","4","2","false"
"L41758","1","0","7","0","2","4057","1","false"
"L41759","1","0","9","0","6","4","3","false"
"L41760","1","0","7","0","3","4057","1","false"
"L42519","2","0","44","0","12","1649","2","false"
"L42520","2","0","33","0","11","1649","2","false"
"L43041","1","0","17","0","4","4057","1","false"
"L43617","1","0","21","0","3","4057","2","false"
"L44101","5","0","45","0","16","1649","2","false"
"L44102","5","0","46","0","18","1649","2","false"
"L44103","2","0","81","0","8","1","4","false"
"L44104","1","0","1","0","1","4","1","false"
"L8923","47","0","367","0","2","4057","1","false"
"L8924","9","0","78","0","1","4057","1","false"
"L8925","14","0","126","0","1","4057","1","false"
"L8926","5","0","68","0","1","4057","1","false"
"L8927","14","0","145","0","1","4057","1","false"
"L8928","5","0","70","0","1","4057","1","false"
"L8929","1","0","65","0","1","4057","1","false"
"L8930","1","0","23","0","1","4057","1","false"
"L8931","3","0","82","0","1","4057","1","false"
"L8932","9","0","67","0","1","4057","1","false"
"L8933","5","0","46","0","1","4057","1","false"
"L8934","1","0","110","0","1","4057","1","false"
"L8935","1","0","31","0","2","4057","2","false"
"L8936","21","0","139","0","1","4057","1","false"
"L8937","9","0","63","0","1","4057","1","false"
"L8938","1","0","29","0","2","4057","2","false"
"L8939","1","0","5","1","4","4057","3","false"
"L8940","1","0","16","0","1","4057","1","false"
"L8941","1","0","13","0","1","4057","1","false"
