@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L58253","0.173653","1","4","1","0.163934","0.222222","10","10","1","3","3","12","2","0","0","4","6","1","0.262295","16","16","2","0","0.262295","16","0","0","0","0","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","0","1","13","0","2","0","0","2","0","11","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L18420","0","0","0","0","0","0","0","0","0","1","1","4","0","10","6","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","21","27","2","2","2","2","2","2","2","0","2","12","2","2","0","21","27","2","2","2","2","2","2","2","0","2","12","2","2","0","0","0","11","0","3","0","0","2","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L18429","0","0","0","0","0","0","0","0","4","4","4","71","22","105","185","26","58","0.0322581","0.0685358","22","7","1","30","0.0685358","22","1","1","0","0","1","299","399","21","16","20","16","32","3","30","2","36","174","3","30","2","299","399","21","16","20","16","32","3","30","2","36","174","3","30","2","0","3","86","2","57","0","2","49","0","0","0","1","0","5","0","2","0","3","65","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","13","1","0","1","0","0","false"
"L18479","0","0","0","0","0","0","0","0","2","1","1","4","1","1","1","2","5","0.333333","0.166667","3","3","1","2","0.166667","3","0","0","0","0","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","0","1","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L37413","0","0","0","0","0","0","0","0","2","1","1","15","8","11","7","2","10","0.111111","0.0535714","3","3","1","8","0.0535714","3","0","0","0","0","0","53","65","7","3","7","3","8","7","8","0","8","22","7","8","0","53","65","7","3","7","3","8","7","8","0","8","22","7","8","0","0","0","23","0","11","0","0","8","0","0","0","1","0","0","0","0","0","3","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","false"
"L40175","0","0","0","0","0","0","0","0","2","5","5","25","19","7","11","30","40","0.454545","0.208333","40","32","5","6","0.185185","40","1","1","0","0","1","152","234","5","3","4","3","10","0","10","0","14","90","0","10","0","176","259","5","4","4","4","12","0","12","0","16","102","0","12","0","0","1","34","2","21","0","1","12","0","0","0","1","0","5","0","3","0","5","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","1","0","0","false"
"L34785","0","0","0","0","0","0","0","0","2","6","6","128","44","34","46","71","112","0.0294118","0.0907127","42","12","1","33","0.0887949","42","0","0","0","0","0","421","580","17","16","17","16","41","0","33","1","41","247","0","33","1","431","590","17","17","17","17","42","0","34","1","42","253","0","34","1","0","11","115","10","154","0","5","78","0","0","0","1","0","10","0","6","0","84","88","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","10","5","1","0","0","0","false"
"L40449","0","0","0","0","0","0","0","0","1","0","0","3","1","19","34","3","6","0","0","0","0","0","4","0","0","0","0","0","0","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","0","0","9","2","5","0","0","0","0","0","0","0","0","0","0","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","false"
"L40245","0","0","0","0","0","0","0","0","2","1","1","5","3","1","2","4","7","0.333333","0.15","3","3","1","2","0.15","3","0","0","0","0","0","17","22","0","0","0","0","3","0","2","0","3","6","0","2","0","17","22","0","0","0","0","3","0","2","0","3","6","0","2","0","0","1","8","0","2","0","1","2","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L40463","0","0","0","0","0","0","0","0","1","5","5","23","15","0","0","16","20","0.25","0.11828","11","6","1","3","0.11828","11","0","0","0","0","0","82","101","7","0","7","0","4","3","3","0","4","49","3","3","0","82","101","7","0","7","0","4","3","3","0","4","49","3","3","0","0","4","20","2","23","0","1","6","0","0","0","0","0","3","0","1","0","16","11","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","false"
"L41364","0.0611055","4","16","8","0.0655567","0.063249","126","95","4","6","6","326","80","3","6","182","299","0.125","0.0265716","41","19","13","91","0.0263496","41","2","4","1","1","3","1502","1909","21","10","8","6","117","0","103","1","141","907","0","110","2","1515","1922","21","10","8","6","120","0","106","1","144","911","0","113","2","0","20","328","43","143","0","8","111","0","53","0","1","0","12","0","6","0","45","238","8","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","17","16","23","0","0","0","false"
