"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L118","ODatabaseHelper.java","client/src/main/java/com/orientechnologies/orient/client/db/ODatabaseHelper.java","L117","18","0","112","0","15","0","0","0"
"L276","OClusterRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OClusterRemote.java","L275","1","0","122","0","19","4","6","0"
"L277","OEngineRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OEngineRemote.java","L275","5","0","51","0","8","0","0","0"
"L278","ONetworkConnectionPool.java","client/src/main/java/com/orientechnologies/orient/client/remote/ONetworkConnectionPool.java","L275","6","0","57","0","6","0","0","0"
"L279","OServerAdmin.java","client/src/main/java/com/orientechnologies/orient/client/remote/OServerAdmin.java","L275","29","0","368","0","47","0","0","0"
"L280","OStorageRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java","L275","234","0","1526","0","203","4","6","0"
"L281","OStorageRemoteAsynchEventListener.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteAsynchEventListener.java","L275","4","0","23","0","4","0","0","0"
"L282","OStorageRemoteThread.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThread.java","L275","1","0","349","0","56","4","6","0"
"L283","OStorageRemoteThreadLocal.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThreadLocal.java","L275","1","0","13","0","3","0","0","0"
"L2053","OConstants.java","core/src/main/java/com/orientechnologies/orient/core/OConstants.java","L2052","3","0","22","0","59","1","3122","0"
"L2054","OOrientListener.java","core/src/main/java/com/orientechnologies/orient/core/OOrientListener.java","L2052","1","0","7","0","3","0","0","0"
"L2055","Orient.java","core/src/main/java/com/orientechnologies/orient/core/Orient.java","L2052","40","0","332","0","66","0","0","0"
"L2056","OrientShutdownHook.java","core/src/main/java/com/orientechnologies/orient/core/OrientShutdownHook.java","L2052","2","0","16","0","3","0","0","0"
"L2059","OAccess.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAccess.java","L2058","1","0","15","0","2","0","0","0"
"L2060","OAfterDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterDeserialization.java","L2058","1","0","11","0","2","0","0","0"
"L2061","OAfterSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterSerialization.java","L2058","1","0","11","0","2","0","0","0"
"L2062","OBeforeDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeDeserialization.java","L2058","1","0","11","0","2","0","0","0"
"L2063","OBeforeSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeSerialization.java","L2058","1","0","11","0","2","0","0","0"
"L2064","ODocumentInstance.java","core/src/main/java/com/orientechnologies/orient/core/annotation/ODocumentInstance.java","L2058","1","0","11","0","2","0","0","0"
"L2065","OId.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OId.java","L2058","1","0","11","0","2","0","0","0"
"L2066","OVersion.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OVersion.java","L2058","1","0","11","0","2","0","0","0"
"L2117","OAbstractRecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractRecordCache.java","L2116","5","0","80","0","33","0","0","0"
"L2118","OCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCache.java","L2116","1","0","20","0","3","0","0","0"
"L2119","OCacheLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLocator.java","L2116","5","0","45","0","3","0","0","0"
"L2120","ODefaultCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/ODefaultCache.java","L2116","15","0","164","0","16","0","0","1"
"L2121","OLevel1RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel1RecordCache.java","L2116","14","0","94","0","36","2","6","0"
"L2122","OLevel2RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel2RecordCache.java","L2116","20","0","81","0","29","2","6","0"
"L2603","OBasicCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OBasicCommandContext.java","L2602","32","0","130","0","18","0","0","0"
"L2604","OCommand.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommand.java","L2602","1","0","5","0","3","0","0","0"
"L2605","OCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandContext.java","L2602","1","0","13","0","9","0","0","0"
"L2606","OCommandDistributedConditionalReplicateRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandDistributedConditionalReplicateRequest.java","L2602","1","0","4","0","1","0","0","0"
"L2607","OCommandDistributedReplicateRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandDistributedReplicateRequest.java","L2602","1","0","3","0","1","0","0","0"
"L2608","OCommandExecutor.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutor.java","L2602","1","0","12","0","11","0","0","0"
"L2609","OCommandExecutorAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorAbstract.java","L2602","2","0","46","0","18","0","0","0"
"L2610","OCommandExecutorNotFoundException.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorNotFoundException.java","L2602","1","0","11","0","2","0","0","0"
"L2611","OCommandGenericIterator.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandGenericIterator.java","L2602","8","0","45","0","2","0","0","0"
"L2612","OCommandManager.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandManager.java","L2602","5","0","62","0","9","0","0","0"
"L2613","OCommandOutputListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandOutputListener.java","L2602","1","0","4","0","2","0","0","0"
"L2614","OCommandPredicate.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandPredicate.java","L2602","1","0","6","0","3","0","0","0"
"L2615","OCommandProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandProcess.java","L2602","1","0","17","0","1","0","0","0"
"L2616","OCommandRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequest.java","L2602","1","0","9","0","7","0","0","0"
"L2617","OCommandRequestAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAbstract.java","L2602","8","0","68","0","17","0","0","0"
"L2618","OCommandRequestAsynch.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAsynch.java","L2602","1","0","5","0","3","0","0","0"
"L2619","OCommandRequestInternal.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestInternal.java","L2602","1","0","12","0","12","0","0","0"
"L2620","OCommandRequestText.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestText.java","L2602","1","0","8","0","5","0","0","0"
"L2621","OCommandRequestTextAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestTextAbstract.java","L2602","18","0","136","0","25","0","0","0"
"L2622","OCommandResultListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandResultListener.java","L2602","1","0","4","0","3","0","0","0"
"L4533","OAbstractStorageClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OAbstractStorageClusterConfiguration.java","L4532","1","0","27","0","2","0","0","0"
"L4534","OConfigurationChangeCallback.java","core/src/main/java/com/orientechnologies/orient/core/config/OConfigurationChangeCallback.java","L4532","1","0","4","0","2","0","0","0"
"L4535","OContextConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OContextConfiguration.java","L4532","10","0","54","0","8","0","0","0"
"L4536","OGlobalConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java","L4532","32","0","360","0","142","0","0","1"
"L4537","OStorageClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterConfiguration.java","L4532","1","0","7","0","3","0","0","0"
"L4538","OStorageClusterHoleConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterHoleConfiguration.java","L4532","1","0","12","0","4","0","0","0"
"L4539","OStorageClusterLocalLHPEOverflowConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterLocalLHPEOverflowConfiguration.java","L4532","1","0","9","0","2","0","0","0"
