@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","18","0","112","0","15","0","0","false"
"L276","1","0","122","0","19","4","6","false"
"L277","5","0","51","0","8","0","0","false"
"L278","6","0","57","0","6","0","0","false"
"L279","29","0","368","0","47","0","0","false"
"L280","234","0","1526","0","203","4","6","false"
"L281","4","0","23","0","4","0","0","false"
"L282","1","0","349","0","56","4","6","false"
"L283","1","0","13","0","3","0","0","false"
"L2053","3","0","22","0","59","1","3122","false"
"L2054","1","0","7","0","3","0","0","false"
"L2055","40","0","332","0","66","0","0","false"
"L2056","2","0","16","0","3","0","0","false"
"L2059","1","0","15","0","2","0","0","false"
"L2060","1","0","11","0","2","0","0","false"
"L2061","1","0","11","0","2","0","0","false"
"L2062","1","0","11","0","2","0","0","false"
"L2063","1","0","11","0","2","0","0","false"
"L2064","1","0","11","0","2","0","0","false"
"L2065","1","0","11","0","2","0","0","false"
"L2066","1","0","11","0","2","0","0","false"
"L2117","5","0","80","0","33","0","0","false"
"L2118","1","0","20","0","3","0","0","false"
"L2119","5","0","45","0","3","0","0","false"
"L2120","15","0","164","0","16","0","0","true"
"L2121","14","0","94","0","36","2","6","false"
"L2122","20","0","81","0","29","2","6","false"
"L2603","32","0","130","0","18","0","0","false"
"L2604","1","0","5","0","3","0","0","false"
"L2605","1","0","13","0","9","0","0","false"
"L2606","1","0","4","0","1","0","0","false"
"L2607","1","0","3","0","1","0","0","false"
"L2608","1","0","12","0","11","0","0","false"
"L2609","2","0","46","0","18","0","0","false"
"L2610","1","0","11","0","2","0","0","false"
"L2611","8","0","45","0","2","0","0","false"
"L2612","5","0","62","0","9","0","0","false"
"L2613","1","0","4","0","2","0","0","false"
"L2614","1","0","6","0","3","0","0","false"
"L2615","1","0","17","0","1","0","0","false"
"L2616","1","0","9","0","7","0","0","false"
"L2617","8","0","68","0","17","0","0","false"
"L2618","1","0","5","0","3","0","0","false"
"L2619","1","0","12","0","12","0","0","false"
"L2620","1","0","8","0","5","0","0","false"
"L2621","18","0","136","0","25","0","0","false"
"L2622","1","0","4","0","3","0","0","false"
"L4533","1","0","27","0","2","0","0","false"
"L4534","1","0","4","0","2","0","0","false"
"L4535","10","0","54","0","8","0","0","false"
"L4536","32","0","360","0","142","0","0","true"
"L4537","1","0","7","0","3","0","0","false"
"L4538","1","0","12","0","4","0","0","false"
"L4539","1","0","9","0","2","0","0","false"
"L4540","1","0","12","0","1","0","0","false"
"L4541","38","0","338","0","68","2","6","false"
"L4542","1","0","23","0","9","0","0","false"
"L4543","1","0","11","0","4","0","0","false"
"L4544","1","0","13","0","4","0","0","false"
"L4545","1","0","24","0","4","0","0","false"
"L4546","1","0","6","0","4","0","0","false"
"L4547","1","0","6","0","1","0","0","false"
"L4548","1","0","5","0","10","0","0","false"
"L4549","1","0","49","0","1","0","0","false"
"L4550","1","0","55","0","2","0","0","false"
"L4551","4","0","43","0","9","0","0","false"
"L4552","2","0","30","0","5","0","0","false"
"L5344","1","0","76","0","58","4","6","false"
"L5345","1","0","71","0","36","2","6","false"
"L5346","12","0","62","0","7","0","0","false"
"L5347","1","0","5","0","6","0","0","false"
"L5348","1","0","13","0","6","0","0","false"
