@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","18","0","112","0","15","0","0","false"
"L276","1","0","126","0","25","6","1345","false"
"L277","5","0","56","0","11","3","16","false"
"L278","6","0","57","0","6","0","0","false"
"L279","33","0","410","0","54","5","16","true"
"L280","237","0","1574","0","228","9","3122","true"
"L281","4","0","23","0","7","3","16","false"
"L282","1","0","371","0","68","8","3122","false"
"L283","1","0","13","0","3","0","0","false"
"L2134","3","0","22","0","62","2","3122","false"
"L2135","1","0","7","0","3","0","0","false"
"L2136","41","0","337","0","77","5","3122","false"
"L2137","2","0","16","0","3","0","0","false"
"L2140","1","0","15","0","2","0","0","false"
"L2141","1","0","11","0","2","0","0","false"
"L2142","1","0","11","0","2","0","0","false"
"L2143","1","0","11","0","2","0","0","false"
"L2144","1","0","11","0","2","0","0","false"
"L2145","1","0","11","0","2","0","0","false"
"L2146","1","0","11","0","2","0","0","false"
"L2147","1","0","11","0","2","0","0","false"
"L2198","5","0","80","0","33","0","0","false"
"L2199","1","0","20","0","3","0","0","false"
"L2200","5","0","45","0","3","0","0","false"
"L2201","14","0","159","1","18","2","33","false"
"L2202","14","0","94","0","36","2","6","false"
"L2203","20","0","81","0","29","2","6","false"
"L2677","39","0","165","0","26","4","16","false"
"L2678","1","0","5","0","3","0","0","false"
"L2679","1","0","18","0","12","3","16","false"
"L2680","1","0","4","0","1","0","0","false"
"L2681","1","0","3","0","1","0","0","false"
"L2682","1","0","13","0","15","4","16","false"
"L2683","2","0","51","0","23","4","16","false"
"L2684","1","0","11","0","2","0","0","false"
"L2685","8","0","45","0","2","0","0","false"
"L2686","5","0","62","0","9","0","0","false"
"L2687","1","0","4","0","2","0","0","false"
"L2688","1","0","6","0","3","0","0","false"
"L2689","1","0","17","0","1","0","0","false"
"L2690","1","0","16","0","16","4","16","false"
"L2691","9","0","100","0","25","4","16","false"
"L2692","1","0","5","0","3","0","0","false"
"L2693","1","0","12","0","16","3","16","false"
"L2694","1","0","6","0","13","5","16","false"
"L2695","17","0","126","0","35","5","1345","false"
"L2696","1","0","5","0","4","1","3122","false"
"L4735","1","0","27","0","2","0","0","false"
"L4736","1","0","4","0","2","0","0","false"
"L4737","10","0","54","0","8","0","0","false"
"L4738","33","0","402","1","193","6","3122","true"
"L4739","1","0","7","0","3","0","0","false"
"L4740","1","0","12","0","4","0","0","false"
"L4741","42","0","340","0","85","7","3122","true"
"L4742","1","0","23","0","9","0","0","false"
"L4743","1","0","11","0","4","0","0","false"
"L4744","1","0","32","0","5","5","16","false"
"L4745","1","0","13","0","4","0","0","false"
"L4746","1","0","24","0","4","0","0","false"
"L4747","1","0","6","0","4","0","0","false"
"L4748","1","0","6","0","1","0","0","false"
"L4749","1","0","5","0","10","0","0","false"
"L4750","1","0","49","0","1","0","0","false"
"L4751","4","0","43","0","13","4","16","false"
"L4752","2","0","30","0","5","0","0","false"
"L5529","1","0","84","0","69","7","3122","false"
"L5530","1","0","73","0","42","6","16","false"
"L5531","12","0","62","0","7","0","0","false"
"L5532","1","0","5","0","6","0","0","false"
"L5533","1","0","13","0","6","0","0","false"
"L5534","16","0","123","0","27","5","33","false"
"L5535","10","0","92","0","20","4","16","false"
"L5536","1","0","6","0","5","0","0","false"
"L5537","12","0","41","0","2","0","0","false"
"L5538","4","0","36","0","8","1","3122","false"
"L5539","12","0","304","0","83","6","3122","false"
"L5540","1","0","5","0","5","0","0","false"
"L5541","1","0","5","0","2","0","0","false"
"L5542","3","0","273","0","68","7","3122","false"
"L5543","1","0","5","0","2","0","0","false"
"L5544","3","0","13","0","4","0","0","false"
"L5545","1","0","11","0","11","0","0","false"
"L11502","4","0","45","0","11","0","0","false"
"L11540","1","0","10","0","5","0","0","false"
"L11541","3","0","17","0","3","0","0","false"
"L11621","29","0","86","0","11","5","16","false"
"L11622","13","0","91","0","22","4","16","false"
"L11623","5","0","50","0","3","0","0","false"
"L11624","1","0","4","0","3","0","0","false"
"L11753","1","0","9","0","3","3","33","false"
"L11754","1","0","11","0","2","0","0","false"
"L11755","2","0","72","0","12","0","0","false"
"L11756","1","0","11","0","2","0","0","false"
"L11757","1","0","11","0","2","0","0","false"
"L11758","1","0","20","0","2","0","0","false"
"L11759","1","0","11","0","1","0","0","false"
"L11760","1","0","11","0","2","0","0","false"
"L11761","1","0","7","0","3","0","0","false"
"L11762","4","0","45","0","5","0","0","false"
"L11763","1","0","11","0","2","0","0","false"
"L11764","1","0","11","0","2","0","0","false"
"L11765","1","0","19","0","5","0","0","false"
"L11766","1","0","11","0","4","0","0","false"
"L11767","1","0","11","0","2","0","0","false"
"L11768","1","0","11","0","2","0","0","false"
"L11769","1","0","10","0","1","0","0","false"
"L11770","1","0","10","0","1","0","0","false"
"L11771","1","0","11","0","2","0","0","false"
"L11772","1","0","10","0","2","0","0","false"
"L11963","1","0","28","0","3","0","0","false"
"L11964","129","0","458","0","56","6","3122","true"
"L11965","1","0","18","0","5","0","0","false"
"L12650","41","0","187","0","18","5","16","false"
"L12651","2","0","21","0","3","0","0","false"
"L12652","1","0","17","0","9","1","1345","false"
"L12653","26","0","134","0","9","1","1345","false"
"L12893","1","0","13","0","12","6","16","false"
"L12894","5","0","109","0","10","4","16","false"
"L12895","7","0","90","0","8","4","6","false"
"L12896","4","0","81","0","9","4","6","false"
"L12897","1","0","37","0","5","1","1345","false"
"L12898","65","0","365","0","14","4","6","false"
"L12899","25","0","211","0","50","1","1345","false"
"L12900","1","0","24","0","15","0","0","false"
