"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L118","ODatabaseHelper.java","client/src/main/java/com/orientechnologies/orient/client/db/ODatabaseHelper.java","L117","20","0","119","0","29","3","3122","0"
"L286","OClusterRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OClusterRemote.java","L285","1","0","168","0","34","6","3122","0"
"L287","OEngineRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OEngineRemote.java","L285","5","0","56","0","11","3","16","0"
"L288","ONetworkConnectionPool.java","client/src/main/java/com/orientechnologies/orient/client/remote/ONetworkConnectionPool.java","L285","6","0","57","0","6","0","0","1"
"L289","OServerAdmin.java","client/src/main/java/com/orientechnologies/orient/client/remote/OServerAdmin.java","L285","34","0","366","1","79","7","1345","0"
"L290","OStorageRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java","L285","234","0","1569","1","304","13","3122","3"
"L291","OStorageRemoteAsynchEventListener.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteAsynchEventListener.java","L285","4","0","27","0","12","4","1345","0"
"L292","OStorageRemoteThread.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThread.java","L285","2","0","615","0","91","9","1345","1"
"L293","OStorageRemoteThreadLocal.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThreadLocal.java","L285","1","0","14","0","8","3","3122","0"
"L2196","OConstants.java","core/src/main/java/com/orientechnologies/orient/core/OConstants.java","L2195","3","0","22","0","102","4","3122","0"
"L2197","OOrientListener.java","core/src/main/java/com/orientechnologies/orient/core/OOrientListener.java","L2195","1","0","7","0","3","0","0","0"
"L2198","Orient.java","core/src/main/java/com/orientechnologies/orient/core/Orient.java","L2195","40","0","339","0","99","7","3122","0"
"L2199","OrientShutdownHook.java","core/src/main/java/com/orientechnologies/orient/core/OrientShutdownHook.java","L2195","2","0","16","0","3","0","0","0"
"L2202","OAccess.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAccess.java","L2201","1","0","15","0","2","0","0","0"
"L2203","OAfterDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterDeserialization.java","L2201","1","0","11","0","2","0","0","0"
"L2204","OAfterSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterSerialization.java","L2201","1","0","11","0","2","0","0","0"
"L2205","OBeforeDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeDeserialization.java","L2201","1","0","11","0","2","0","0","0"
"L2206","OBeforeSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeSerialization.java","L2201","1","0","11","0","2","0","0","0"
"L2207","ODocumentInstance.java","core/src/main/java/com/orientechnologies/orient/core/annotation/ODocumentInstance.java","L2201","1","0","11","0","2","0","0","0"
"L2208","OId.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OId.java","L2201","1","0","11","0","2","0","0","0"
"L2209","OVersion.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OVersion.java","L2201","1","0","11","0","2","0","0","0"
"L2260","OAbstractMapCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractMapCache.java","L2259","5","0","110","0","7","4","3122","1"
"L2261","OAbstractRecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractRecordCache.java","L2259","6","0","82","0","40","4","3122","0"
"L2262","OCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCache.java","L2259","1","0","20","0","3","0","0","0"
"L2263","OCacheLevelOneLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelOneLocator.java","L2259","1","0","4","0","4","2","3122","0"
"L2264","OCacheLevelOneLocatorImpl.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelOneLocatorImpl.java","L2259","1","0","7","0","11","4","3122","0"
"L2265","OCacheLevelTwoLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocator.java","L2259","1","0","4","0","4","2","3122","0"
"L2266","OCacheLevelTwoLocatorLocal.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocatorLocal.java","L2259","5","0","42","0","4","2","3122","0"
"L2267","OCacheLevelTwoLocatorRemote.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocatorRemote.java","L2259","1","0","8","0","4","2","3122","0"
"L2268","ODefaultCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/ODefaultCache.java","L2259","10","0","79","1","26","5","1345","1"
"L2269","OEmptyCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OEmptyCache.java","L2259","1","0","58","0","4","2","3122","0"
