@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","20","0","119","0","29","3","3122","false"
"L286","1","0","168","0","34","6","3122","false"
"L287","5","0","56","0","11","3","16","false"
"L288","6","0","57","0","6","0","0","true"
"L289","34","0","366","1","79","7","1345","false"
"L290","234","0","1569","1","304","13","3122","true"
"L291","4","0","27","0","12","4","1345","false"
"L292","2","0","615","0","91","9","1345","true"
"L293","1","0","14","0","8","3","3122","false"
"L2196","3","0","22","0","102","4","3122","false"
"L2197","1","0","7","0","3","0","0","false"
"L2198","40","0","339","0","99","7","3122","false"
"L2199","2","0","16","0","3","0","0","false"
"L2202","1","0","15","0","2","0","0","false"
"L2203","1","0","11","0","2","0","0","false"
"L2204","1","0","11","0","2","0","0","false"
"L2205","1","0","11","0","2","0","0","false"
"L2206","1","0","11","0","2","0","0","false"
"L2207","1","0","11","0","2","0","0","false"
"L2208","1","0","11","0","2","0","0","false"
"L2209","1","0","11","0","2","0","0","false"
"L2260","5","0","110","0","7","4","3122","true"
"L2261","6","0","82","0","40","4","3122","false"
"L2262","1","0","20","0","3","0","0","false"
"L2263","1","0","4","0","4","2","3122","false"
"L2264","1","0","7","0","11","4","3122","false"
"L2265","1","0","4","0","4","2","3122","false"
"L2266","5","0","42","0","4","2","3122","false"
"L2267","1","0","8","0","4","2","3122","false"
"L2268","10","0","79","1","26","5","1345","true"
"L2269","1","0","58","0","4","2","3122","false"
"L2270","14","0","94","0","48","5","3122","false"
"L2271","20","0","81","0","33","3","3122","false"
"L2272","1","0","13","0","7","4","3122","true"
"L2815","2","0","12","0","2","1","3122","true"
"L2816","1","0","6","0","2","1","3122","false"
"L2817","1","0","6","0","2","1","3122","false"
"L2818","1","0","11","0","2","1","3122","false"
"L2819","1","0","22","0","2","1","3122","false"
"L2887","42","0","170","0","32","6","3122","false"
"L2888","1","0","5","0","3","0","0","false"
"L2889","1","0","19","0","16","5","3122","false"
"L2890","1","0","4","0","5","2","3122","false"
"L2891","1","0","14","0","17","5","1345","false"
"L2892","2","0","58","0","29","6","3122","false"
"L2893","1","0","11","0","2","0","0","false"
"L2894","8","0","45","0","2","0","0","false"
"L2895","5","0","64","0","13","3","3122","false"
"L2896","1","0","4","0","2","0","0","false"
"L2897","1","0","6","0","3","0","0","false"
"L2898","1","0","17","0","4","3","1345","false"
"L2899","1","0","16","0","16","4","16","false"
"L2900","9","0","100","0","25","4","16","false"
"L2901","1","0","6","0","5","2","1345","false"
"L2902","1","0","12","0","16","3","16","false"
"L2903","1","0","6","0","13","5","16","false"
"L2904","17","0","126","0","35","5","1345","true"
"L2905","1","0","5","0","4","1","3122","false"
"L5026","1","0","27","0","2","0","0","false"
"L5027","1","0","4","0","2","0","0","false"
"L5028","11","0","58","0","11","2","1345","false"
"L5029","33","0","448","2","297","8","3122","true"
"L5030","1","0","7","0","3","0","0","false"
"L5031","1","0","12","0","4","0","0","false"
"L5032","43","0","355","0","97","7","3122","true"
"L5033","1","0","23","0","9","0","0","false"
"L5034","1","0","11","0","4","0","0","false"
"L5035","1","0","32","0","5","5","16","false"
"L5036","1","0","13","0","4","0","0","false"
"L5037","1","0","24","0","4","0","0","false"
"L5038","1","0","6","0","4","0","0","false"
"L5039","1","0","6","0","1","0","0","false"
"L5040","1","0","40","0","4","2","3122","false"
"L5041","1","0","5","0","10","0","0","false"
"L5042","1","0","49","0","1","0","0","false"
"L5043","4","0","43","0","13","4","16","false"
"L5044","2","0","30","0","5","0","0","false"
"L5899","1","0","82","0","78","8","3122","true"
"L5900","1","0","73","0","53","7","3122","true"
"L5901","12","0","62","0","7","0","0","true"
"L5902","1","0","6","0","12","3","3122","false"
"L5903","1","0","13","0","6","0","0","false"
"L5904","25","0","213","0","45","7","1345","true"
"L5905","10","0","97","0","27","4","1345","true"
"L5906","1","0","6","0","5","0","0","false"
"L5907","12","0","41","0","2","0","0","false"
"L5908","4","0","40","0","11","2","1345","false"
"L5909","14","0","323","0","98","7","3122","false"
"L5910","1","0","5","0","5","0","0","false"
"L5911","1","0","5","0","2","0","0","false"
"L5912","3","0","271","0","77","8","3122","false"
"L5913","1","0","5","0","2","0","0","false"
"L5914","3","0","13","0","4","0","0","false"
"L5915","2","0","22","0","4","2","3122","false"
"L5916","1","0","11","0","11","0","0","false"
"L12773","4","0","45","0","11","0","0","false"
"L12808","1","0","10","0","5","0","0","false"
"L12809","3","0","17","0","3","0","0","false"
"L12889","29","0","79","0","17","5","3122","false"
"L12890","18","0","127","0","38","7","1345","false"
"L12891","5","0","54","0","11","4","3122","false"
"L12892","1","0","4","0","3","0","0","false"
"L13047","1","0","9","0","4","3","3122","false"
"L13048","1","0","11","0","2","0","0","false"
"L13049","2","0","68","0","23","4","3122","false"
"L13050","1","0","11","0","2","0","0","false"
"L13051","1","0","11","0","2","0","0","false"
"L13052","1","0","20","0","2","0","0","false"
