"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L118","ODatabaseHelper.java","client/src/main/java/com/orientechnologies/orient/client/db/ODatabaseHelper.java","L117","21","0","123","0","37","6","3122","0"
"L297","OClusterRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OClusterRemote.java","L296","1","0","172","0","42","9","2","0"
"L298","OCollectionNetworkSerializer.java","client/src/main/java/com/orientechnologies/orient/client/remote/OCollectionNetworkSerializer.java","L296","1","0","25","0","6","4","2","0"
"L299","OEngineRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OEngineRemote.java","L296","5","0","66","1","16","4","3122","0"
"L300","ORemoteConnectionManager.java","client/src/main/java/com/orientechnologies/orient/client/remote/ORemoteConnectionManager.java","L296","22","0","145","1","4","2","3122","1"
"L301","OSBTreeBonsaiRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OSBTreeBonsaiRemote.java","L296","10","0","219","0","16","5","2","1"
"L302","OSBTreeCollectionManagerRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OSBTreeCollectionManagerRemote.java","L296","6","0","96","0","11","5","2","0"
"L303","OServerAdmin.java","client/src/main/java/com/orientechnologies/orient/client/remote/OServerAdmin.java","L296","34","0","359","2","97","9","3122","0"
"L304","OStorageRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java","L296","229","0","1538","5","360","17","3122","1"
"L305","OStorageRemoteAsynchEventListener.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteAsynchEventListener.java","L296","4","0","27","0","12","4","1345","0"
"L306","OStorageRemoteThread.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThread.java","L296","3","0","659","1","122","12","3122","0"
"L307","OStorageRemoteThreadLocal.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThreadLocal.java","L296","1","0","14","0","8","3","3122","0"
"L315","OSBTreeCollectionManagerRemoteTest.java","client/src/test/java/com/orientechnologies/orient/client/remote/OSBTreeCollectionManagerRemoteTest.java","L314","1","0","71","0","5","5","2","0"
"L2646","OConstants.java","core/src/main/java/com/orientechnologies/orient/core/OConstants.java","L2645","3","0","22","0","127","7","3122","0"
"L2647","OOrientListener.java","core/src/main/java/com/orientechnologies/orient/core/OOrientListener.java","L2645","1","0","7","0","3","0","0","0"
"L2648","Orient.java","core/src/main/java/com/orientechnologies/orient/core/Orient.java","L2645","43","0","367","0","118","9","3122","2"
"L2649","OrientShutdownHook.java","core/src/main/java/com/orientechnologies/orient/core/OrientShutdownHook.java","L2645","2","0","16","0","3","0","0","0"
"L2652","OAccess.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAccess.java","L2651","1","0","15","0","2","0","0","0"
"L2653","OAfterDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterDeserialization.java","L2651","1","0","11","0","2","0","0","0"
"L2654","OAfterSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterSerialization.java","L2651","1","0","11","0","2","0","0","0"
"L2655","OBeforeDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeDeserialization.java","L2651","1","0","11","0","2","0","0","0"
"L2656","OBeforeSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeSerialization.java","L2651","1","0","11","0","2","0","0","0"
"L2657","ODocumentInstance.java","core/src/main/java/com/orientechnologies/orient/core/annotation/ODocumentInstance.java","L2651","1","0","11","0","2","0","0","0"
"L2658","OId.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OId.java","L2651","1","0","11","0","2","0","0","0"
"L2659","OVersion.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OVersion.java","L2651","1","0","11","0","2","0","0","0"
"L2710","OAbstractMapCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractMapCache.java","L2709","2","0","80","1","17","5","1","0"
"L2711","OAbstractRecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractRecordCache.java","L2709","6","0","82","0","40","4","3122","0"
"L2712","OCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCache.java","L2709","1","0","20","0","3","0","0","0"
"L2713","OCacheLevelOneLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelOneLocator.java","L2709","1","0","4","0","4","2","3122","0"
"L2714","OCacheLevelOneLocatorImpl.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelOneLocatorImpl.java","L2709","1","0","7","0","11","4","3122","0"
"L2715","OCacheLevelTwoLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocator.java","L2709","1","0","4","0","4","2","3122","0"
"L2716","OCacheLevelTwoLocatorLocal.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocatorLocal.java","L2709","5","0","42","0","4","2","3122","0"
"L2717","OCacheLevelTwoLocatorRemote.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLevelTwoLocatorRemote.java","L2709","1","0","8","0","4","2","3122","0"
"L2718","ODefaultCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/ODefaultCache.java","L2709","13","0","112","2","38","7","2","0"
"L2719","OEmptyCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OEmptyCache.java","L2709","1","0","58","0","4","2","3122","0"
"L2720","OLevel1RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel1RecordCache.java","L2709","14","0","94","0","48","5","3122","0"
"L2721","OLevel2RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel2RecordCache.java","L2709","20","0","81","0","33","3","3122","0"
"L2722","OUnboundedWeakCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OUnboundedWeakCache.java","L2709","5","0","53","1","12","5","1","0"
"L3276","OCaseInsensitiveCollate.java","core/src/main/java/com/orientechnologies/orient/core/collate/OCaseInsensitiveCollate.java","L3275","3","0","29","2","16","6","3122","1"
"L3277","OCollate.java","core/src/main/java/com/orientechnologies/orient/core/collate/OCollate.java","L3275","1","0","6","1","9","4","3122","0"
"L3278","OCollateFactory.java","core/src/main/java/com/orientechnologies/orient/core/collate/OCollateFactory.java","L3275","1","0","6","0","7","4","1","0"
"L3279","ODefaultCollate.java","core/src/main/java/com/orientechnologies/orient/core/collate/ODefaultCollate.java","L3275","2","0","26","1","9","4","3122","1"
"L3280","ODefaultCollateFactory.java","core/src/main/java/com/orientechnologies/orient/core/collate/ODefaultCollateFactory.java","L3275","1","0","22","0","7","4","1","0"
"L3358","OBasicCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OBasicCommandContext.java","L3357","49","0","194","0","38","7","1","1"
"L3359","OCommand.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommand.java","L3357","1","0","5","0","3","0","0","0"
"L3360","OCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandContext.java","L3357","1","0","21","0","26","6","1","0"
"L3361","OCommandDistributedReplicateRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandDistributedReplicateRequest.java","L3357","1","0","4","0","5","2","3122","0"
"L3362","OCommandExecutor.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutor.java","L3357","1","0","16","0","20","5","3122","1"
"L3363","OCommandExecutorAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorAbstract.java","L3357","2","0","64","0","32","6","3122","1"
"L3364","OCommandExecutorNotFoundException.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorNotFoundException.java","L3357","1","0","11","0","2","0","0","0"
"L3365","OCommandGenericIterator.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandGenericIterator.java","L3357","8","0","45","0","2","0","0","0"
"L3366","OCommandManager.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandManager.java","L3357","6","0","79","0","18","4","3122","0"
"L3367","OCommandOutputListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandOutputListener.java","L3357","1","0","4","0","2","0","0","0"
"L3368","OCommandPredicate.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandPredicate.java","L3357","1","0","6","0","3","0","0","0"
"L3369","OCommandProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandProcess.java","L3357","1","0","17","0","4","3","1345","0"
"L3370","OCommandRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequest.java","L3357","1","0","16","0","20","6","3122","0"
"L3371","OCommandRequestAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAbstract.java","L3357","9","0","108","0","31","7","2","0"
"L3372","OCommandRequestAsynch.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAsynch.java","L3357","1","0","6","0","5","2","1345","0"
"L3373","OCommandRequestInternal.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestInternal.java","L3357","1","0","12","0","16","3","16","0"
"L3374","OCommandRequestText.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestText.java","L3357","1","0","6","1","18","6","3122","0"
"L3375","OCommandRequestTextAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestTextAbstract.java","L3357","17","0","126","0","40","7","3122","2"
"L3376","OCommandResultListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandResultListener.java","L3357","1","0","5","0","4","1","3122","0"
