@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","21","0","123","0","37","6","3122","false"
"L297","1","0","172","0","42","9","2","false"
"L298","1","0","25","0","6","4","2","false"
"L299","5","0","66","1","16","4","3122","false"
"L300","22","0","145","1","4","2","3122","true"
"L301","10","0","219","0","16","5","2","true"
"L302","6","0","96","0","11","5","2","false"
"L303","34","0","359","2","97","9","3122","false"
"L304","229","0","1538","5","360","17","3122","true"
"L305","4","0","27","0","12","4","1345","false"
"L306","3","0","659","1","122","12","3122","false"
"L307","1","0","14","0","8","3","3122","false"
"L315","1","0","71","0","5","5","2","false"
"L2646","3","0","22","0","127","7","3122","false"
"L2647","1","0","7","0","3","0","0","false"
"L2648","43","0","367","0","118","9","3122","true"
"L2649","2","0","16","0","3","0","0","false"
"L2652","1","0","15","0","2","0","0","false"
"L2653","1","0","11","0","2","0","0","false"
"L2654","1","0","11","0","2","0","0","false"
"L2655","1","0","11","0","2","0","0","false"
"L2656","1","0","11","0","2","0","0","false"
"L2657","1","0","11","0","2","0","0","false"
"L2658","1","0","11","0","2","0","0","false"
"L2659","1","0","11","0","2","0","0","false"
"L2710","2","0","80","1","17","5","1","false"
"L2711","6","0","82","0","40","4","3122","false"
"L2712","1","0","20","0","3","0","0","false"
"L2713","1","0","4","0","4","2","3122","false"
"L2714","1","0","7","0","11","4","3122","false"
"L2715","1","0","4","0","4","2","3122","false"
"L2716","5","0","42","0","4","2","3122","false"
"L2717","1","0","8","0","4","2","3122","false"
"L2718","13","0","112","2","38","7","2","false"
"L2719","1","0","58","0","4","2","3122","false"
"L2720","14","0","94","0","48","5","3122","false"
"L2721","20","0","81","0","33","3","3122","false"
"L2722","5","0","53","1","12","5","1","false"
"L3276","3","0","29","2","16","6","3122","true"
"L3277","1","0","6","1","9","4","3122","false"
"L3278","1","0","6","0","7","4","1","false"
"L3279","2","0","26","1","9","4","3122","true"
"L3280","1","0","22","0","7","4","1","false"
"L3358","49","0","194","0","38","7","1","true"
"L3359","1","0","5","0","3","0","0","false"
"L3360","1","0","21","0","26","6","1","false"
"L3361","1","0","4","0","5","2","3122","false"
"L3362","1","0","16","0","20","5","3122","true"
"L3363","2","0","64","0","32","6","3122","true"
"L3364","1","0","11","0","2","0","0","false"
"L3365","8","0","45","0","2","0","0","false"
"L3366","6","0","79","0","18","4","3122","false"
"L3367","1","0","4","0","2","0","0","false"
"L3368","1","0","6","0","3","0","0","false"
"L3369","1","0","17","0","4","3","1345","false"
"L3370","1","0","16","0","20","6","3122","false"
"L3371","9","0","108","0","31","7","2","false"
"L3372","1","0","6","0","5","2","1345","false"
"L3373","1","0","12","0","16","3","16","false"
"L3374","1","0","6","1","18","6","3122","false"
"L3375","17","0","126","0","40","7","3122","true"
"L3376","1","0","5","0","4","1","3122","false"
"L5529","1","0","8","0","10","5","3122","false"
"L5530","3","0","34","0","10","5","3122","false"
"L5876","1","0","27","0","2","0","0","false"
"L5877","1","0","4","0","2","0","0","false"
"L5878","11","0","58","0","11","2","1345","true"
"L5879","33","0","487","5","355","12","3122","true"
"L5880","1","0","7","0","3","0","0","false"
"L5881","1","0","12","0","4","0","0","false"
"L5882","47","0","395","0","118","9","3122","true"
"L5883","1","0","23","0","9","0","0","false"
"L5884","1","0","11","0","4","0","0","false"
"L5885","1","0","32","0","5","5","16","false"
"L5886","1","0","13","0","4","0","0","false"
"L5887","1","0","24","0","4","0","0","false"
"L5888","1","0","6","0","4","0","0","false"
"L5889","1","0","6","0","1","0","0","false"
"L5890","1","0","40","0","4","2","3122","false"
"L5891","1","0","5","0","10","0","0","false"
"L5892","1","0","49","0","1","0","0","false"
"L5893","4","0","43","0","13","4","16","false"
"L5894","2","0","30","0","5","0","0","false"
"L6784","1","0","83","1","89","9","3122","false"
"L6785","1","0","78","1","76","10","3122","false"
"L6786","14","0","78","1","15","5","3122","true"
"L6787","1","0","6","0","12","3","3122","false"
"L6788","1","0","13","0","6","0","0","false"
"L6789","29","0","249","2","58","9","3122","false"
"L6790","11","0","106","2","41","7","3122","false"
"L6791","1","0","6","0","5","0","0","false"
"L6792","12","0","41","0","2","0","0","false"
"L6793","4","0","40","0","11","2","1345","false"
"L6794","14","0","329","0","126","10","3122","false"
"L6795","1","0","5","0","5","0","0","true"
"L6796","1","0","5","0","2","0","0","false"
"L6797","3","0","271","0","90","10","3122","false"
"L6798","1","0","5","0","2","0","0","false"
"L6799","3","0","13","0","4","0","0","false"
"L6800","2","0","22","0","4","2","3122","false"
"L6801","1","0","11","0","11","0","0","false"
"L14780","4","0","42","0","15","3","3122","false"
"L14816","1","0","10","0","5","0","0","false"
"L14817","3","0","17","0","3","0","0","false"
"L14897","29","0","79","0","17","5","3122","false"
"L14898","18","0","127","0","38","7","1345","false"
"L14899","5","0","54","0","11","4","3122","false"
"L14900","1","0","4","0","3","0","0","false"
"L15055","1","0","9","0","4","3","3122","false"
"L15056","1","0","11","0","2","0","0","false"
"L15057","2","0","68","0","23","4","3122","false"
"L15058","1","0","11","0","2","0","0","false"
"L15059","1","0","11","0","2","0","0","false"
"L15060","1","0","20","0","2","0","0","false"
"L15061","1","0","11","0","1","0","0","false"
"L15062","1","0","11","0","2","0","0","false"
"L15063","1","0","7","0","3","0","0","false"
"L15064","4","0","45","0","5","0","0","false"
"L15065","1","0","11","0","2","0","0","false"
"L15066","1","0","11","0","2","0","0","false"
"L15067","1","0","19","0","5","0","0","false"
"L15068","1","0","11","0","4","0","0","false"
"L15069","1","0","11","0","2","0","0","false"
"L15070","1","0","11","0","2","0","0","false"
"L15071","1","0","10","0","1","0","0","false"
"L15072","1","0","10","0","1","0","0","false"
"L15073","1","0","11","0","2","0","0","false"
"L15074","1","0","10","0","2","0","0","false"
"L15254","1","0","28","0","7","3","1","false"
"L15255","142","0","484","5","93","9","3122","true"
"L15256","1","0","18","0","8","3","1345","false"
"L15935","41","0","188","0","21","5","3122","false"
"L15936","2","0","21","0","3","0","0","false"
"L15937","1","0","18","0","13","3","3122","false"
"L15938","26","0","134","0","9","1","1345","false"
"L16187","1","0","13","0","12","6","16","false"
"L16188","5","0","109","0","10","4","16","false"
"L16189","7","0","90","0","8","4","6","false"
"L16190","4","0","81","0","9","4","6","false"
"L16191","1","0","37","0","5","1","1345","false"
"L16192","65","0","365","0","14","4","6","false"
"L16193","27","0","223","0","60","5","3122","false"
"L16194","1","0","24","0","15","0","0","false"
"L16705","9","0","53","1","10","4","3122","false"
"L16706","9","0","50","0","5","1","1345","false"
"L16707","1","0","6","0","5","4","3122","false"
"L16708","1","0","6","0","5","4","3122","false"
"L16709","101","0","436","1","78","7","3122","false"
"L16710","60","0","413","1","30","6","3122","true"
"L16711","20","0","106","0","8","5","3122","false"
"L16712","25","0","107","0","25","4","3122","true"
"L16713","14","0","96","0","4","0","0","false"
"L16714","1","0","51","7","91","9","3122","false"
"L16715","78","0","759","6","72","7","3122","true"
"L16716","5","0","57","0","5","3","3122","true"
"L16717","7","0","165","7","78","10","3122","false"
"L16718","1","0","5","0","2","0","0","false"
"L16719","1","0","12","2","8","4","3122","false"
"L16720","5","0","50","0","3","2","3122","false"
"L16721","3","0","44","0","3","2","3122","false"
"L16722","1","0","25","0","18","4","3122","false"
"L16723","33","0","119","1","14","6","3122","false"
"L16724","1","0","8","0","5","0","0","false"
"L16725","3","0","55","1","37","7","3122","true"
"L16726","1","0","46","7","35","7","3122","false"
"L16727","7","0","63","0","21","4","3122","false"
"L16728","1","0","11","0","3","0","0","false"
"L16729","1","0","11","0","28","4","3122","false"
"L16730","39","0","243","2","86","10","3122","true"
"L16731","13","0","97","1","52","6","3122","false"
"L16732","1","0","6","0","4","3","3122","false"
"L16733","1","0","40","3","55","5","3122","true"
"L16734","48","0","369","5","89","10","3122","true"
"L16735","2","0","113","3","40","5","3122","true"
"L16736","10","0","109","1","57","7","3122","true"
"L16737","79","0","413","4","97","8","3122","true"
"L16738","28","0","301","5","124","11","3122","true"
"L16739","1","0","15","0","34","6","3122","false"
"L16740","14","0","189","5","75","10","3122","false"
"L16741","7","0","49","0","13","3","3122","false"
"L16742","21","0","312","7","90","10","3122","true"
"L16743","5","0","66","0","21","5","3122","false"
"L16744","5","0","51","0","19","5","3122","false"
"L16745","44","0","195","2","29","5","3122","false"
"L16746","1","0","11","0","2","0","0","false"
"L16747","77","0","386","1","29","5","3122","false"
"L16748","58","0","292","2","37","6","3122","false"
"L16749","14","0","109","1","64","8","3122","true"
"L16750","1","0","15","0","5","3","3122","false"
"L16751","14","0","139","1","27","4","3122","true"
"L16752","8","0","69","0","7","0","0","false"
"L16753","22","0","152","0","6","0","0","false"
"L16754","7","0","65","0","8","5","3122","false"
"L16755","7","0","104","0","27","5","3122","false"
"L16756","18","0","114","0","27","6","3122","false"
"L27337","1","0","6","0","4","0","0","false"
"L27338","11","0","57","0","26","4","3122","false"
"L27339","1","0","8","0","3","0","0","false"
"L27376","1","0","15","0","5","1","3122","false"
"L27377","1","0","14","0","2","1","3122","false"
"L27378","51","0","249","0","38","8","2","false"
"L27379","1","0","11","0","2","0","0","false"
"L27380","9","0","61","0","16","7","1","false"
"L27381","6","0","67","0","43","9","2","true"
"L27382","30","0","160","0","58","7","2","true"
"L27383","59","0","235","1","36","8","2","true"
"L27767","1","0","10","0","2","0","0","false"
"L27768","22","0","208","5","44","8","3122","true"
"L27935","1","0","19","0","79","7","3122","false"
"L27936","18","0","163","0","22","6","2","false"
"L30936","10","0","90","0","9","4","3122","false"
"L30937","1","0","16","0","1","0","0","false"
"L30938","1","0","8","0","8","4","16","false"
"L30939","2","0","17","0","7","4","16","false"
"L31491","1","0","8","0","11","0","0","false"
"L31492","3","0","30","0","31","4","16","false"
