"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L112","DatabaseAbstractTest.java","core/src/test/java/com/orientechnologies/DatabaseAbstractTest.java","L111","5","0","42","0","8","3","3122","0"
"L82194","JNADirectMemoryTest.java","core/src/test/java/com/orientechnologies/nio/JNADirectMemoryTest.java","L82193","1","0","111","0","3","3","561","0"
"L2605","TestExceptionNotOpen.java","core/src/test/java/com/orientechnologies/orient/core/TestExceptionNotOpen.java","L2604","18","0","108","0","5","4","3122","0"
"L76680","UnsafeComparatorTest.java","core/src/test/java/com/orientechnologies/common/comparator/UnsafeComparatorTest.java","L76679","1","0","27","0","3","3","561","0"
"L77971","ODFACommandStreamTest.java","core/src/test/java/com/orientechnologies/common/console/ODFACommandStreamTest.java","L77970","2","0","36","0","8","4","3122","0"
"L78782","OIOUtilsTest.java","core/src/test/java/com/orientechnologies/common/io/OIOUtilsTest.java","L78781","1","0","15","0","3","3","561","0"
"L79708","AbstractConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/AbstractConverterTest.java","L79707","1","0","62","0","3","3","561","0"
"L79709","SafeConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/SafeConverterTest.java","L79707","1","0","42","0","3","3","561","0"
"L79710","UnsafeConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/UnsafeConverterTest.java","L79707","1","0","42","0","3","3","561","0"
"L81484","MersenneTwisterTest.java","core/src/test/java/com/orientechnologies/common/util/MersenneTwisterTest.java","L81483","48","0","166","0","1","1","3122","0"
"L81485","OByteBufferUtilsTest.java","core/src/test/java/com/orientechnologies/common/util/OByteBufferUtilsTest.java","L81483","1","0","219","0","5","3","3122","0"
"L81486","OMultiKeyTest.java","core/src/test/java/com/orientechnologies/common/util/OMultiKeyTest.java","L81483","1","0","82","0","3","3","561","0"
"L81984","SpeedTest.java","core/src/test/java/com/orientechnologies/common/test/SpeedTest.java","L81983","1","0","8","0","3","3","561","0"
"L81985","SpeedTestAbstract.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestAbstract.java","L81983","4","0","49","0","6","4","3122","0"
"L81986","SpeedTestData.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestData.java","L81983","15","0","210","0","3","3","561","0"
"L81987","SpeedTestGroup.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestGroup.java","L81983","7","0","60","0","3","3","561","0"
"L81988","SpeedTestMonoThread.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestMonoThread.java","L81983","1","0","8","0","3","3","561","0"
"L81989","SpeedTestMultiThreads.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestMultiThreads.java","L81983","4","0","37","0","3","3","561","0"
"L81990","SpeedTestThread.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestThread.java","L81983","1","0","33","0","3","3","561","0"
"L16254","OCompositeIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeIndexDefinitionTest.java","L16253","9","0","618","0","16","7","561","0"
"L16255","OCompositeIndexSQLInserTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeIndexSQLInserTest.java","L16253","1","0","96","1","8","4","3122","0"
"L16256","OCompositeKeyTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeKeyTest.java","L16253","1","0","191","0","5","3","3122","0"
"L16257","OPropertyEmbeddedRidBagIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyEmbeddedRidBagIndexDefinitionTest.java","L16253","1","0","24","0","7","4","3122","0"
"L16258","OPropertyIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyIndexDefinitionTest.java","L16253","1","0","94","0","6","3","16","0"
"L16259","OPropertyListIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyListIndexDefinitionTest.java","L16253","1","0","297","0","10","4","3122","0"
"L16260","OPropertyMapIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyMapIndexDefinitionTest.java","L16253","1","0","320","0","11","4","3122","0"
"L16261","OPropertyRidBagAbstractIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyRidBagAbstractIndexDefinitionTest.java","L16253","1","0","241","0","7","4","3122","0"
"L16262","OPropertySBTreeRidBagIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertySBTreeRidBagIndexDefinitionTest.java","L16253","2","0","38","0","7","4","3122","0"
"L16263","OSimpleKeyIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OSimpleKeyIndexDefinitionTest.java","L16253","1","0","117","0","12","5","327","0"
"L27323","ClassIteratorTest.java","core/src/test/java/com/orientechnologies/orient/core/iterator/ClassIteratorTest.java","L27322","8","0","83","0","7","5","1345","0"
"L27750","ClassTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/ClassTest.java","L27749","4","0","130","1","14","7","327","0"
"L38304","CommandSerializationUTF8Test.java","core/src/test/java/com/orientechnologies/orient/core/sql/CommandSerializationUTF8Test.java","L38303","1","0","15","1","1","1","561","0"
"L38305","OChainedIndexProxyFindBestIndexTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OChainedIndexProxyFindBestIndexTest.java","L38303","1","0","119","1","1","1","420","0"
"L38306","OCommandExecutorSQLSelectTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLSelectTest.java","L38303","7","0","260","0","10","3","1345","0"
"L38307","OCommandExecutorSQLUpdateTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLUpdateTest.java","L38303","1","0","68","1","9","5","3122","0"
"L38308","OOQueryOperatorTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OOQueryOperatorTest.java","L38303","1","0","64","0","1","0","0","0"
"L38309","TestOrderByIndexPropDesc.java","core/src/test/java/com/orientechnologies/orient/core/sql/TestOrderByIndexPropDesc.java","L38303","4","0","54","0","8","4","3122","0"
"L44755","StorageModificationLockTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/StorageModificationLockTest.java","L44754","7","0","70","0","9","4","3122","0"
"L76803","ReadersWriterSpinLockBenchmark.java","core/src/test/java/com/orientechnologies/common/concur/lock/ReadersWriterSpinLockBenchmark.java","L76802","5","0","56","0","8","4","3122","0"
"L76804","ReadersWriterSpinLockTst.java","core/src/test/java/com/orientechnologies/common/concur/lock/ReadersWriterSpinLockTst.java","L76802","9","0","110","0","8","4","3122","0"
