@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","5","0","42","0","8","3","3122","false"
"L82194","1","0","111","0","3","3","561","false"
"L2605","18","0","108","0","5","4","3122","false"
"L76680","1","0","27","0","3","3","561","false"
"L77971","2","0","36","0","8","4","3122","false"
"L78782","1","0","15","0","3","3","561","false"
"L79708","1","0","62","0","3","3","561","false"
"L79709","1","0","42","0","3","3","561","false"
"L79710","1","0","42","0","3","3","561","false"
"L81484","48","0","166","0","1","1","3122","false"
"L81485","1","0","219","0","5","3","3122","false"
"L81486","1","0","82","0","3","3","561","false"
"L81984","1","0","8","0","3","3","561","false"
"L81985","4","0","49","0","6","4","3122","false"
"L81986","15","0","210","0","3","3","561","false"
"L81987","7","0","60","0","3","3","561","false"
"L81988","1","0","8","0","3","3","561","false"
"L81989","4","0","37","0","3","3","561","false"
"L81990","1","0","33","0","3","3","561","false"
"L16254","9","0","618","0","16","7","561","false"
"L16255","1","0","96","1","8","4","3122","false"
"L16256","1","0","191","0","5","3","3122","false"
"L16257","1","0","24","0","7","4","3122","false"
"L16258","1","0","94","0","6","3","16","false"
"L16259","1","0","297","0","10","4","3122","false"
"L16260","1","0","320","0","11","4","3122","false"
"L16261","1","0","241","0","7","4","3122","false"
"L16262","2","0","38","0","7","4","3122","false"
"L16263","1","0","117","0","12","5","327","false"
"L27323","8","0","83","0","7","5","1345","false"
"L27750","4","0","130","1","14","7","327","false"
"L38304","1","0","15","1","1","1","561","false"
"L38305","1","0","119","1","1","1","420","false"
"L38306","7","0","260","0","10","3","1345","false"
"L38307","1","0","68","1","9","5","3122","false"
"L38308","1","0","64","0","1","0","0","false"
"L38309","4","0","54","0","8","4","3122","false"
"L44755","7","0","70","0","9","4","3122","false"
"L76803","5","0","56","0","8","4","3122","false"
"L76804","9","0","110","0","8","4","3122","false"
"L76805","11","0","82","0","8","4","3122","false"
"L76806","6","0","85","0","8","4","3122","false"
"L79947","1","0","39","0","8","4","3122","false"
"L79948","1","0","48","0","8","4","3122","false"
"L79949","1","0","36","0","8","4","3122","false"
"L79950","1","0","37","0","8","4","3122","false"
"L79951","1","0","56","0","8","4","3122","false"
"L79952","1","0","37","0","8","4","3122","false"
"L79953","1","0","38","0","3","3","561","false"
"L79954","1","0","36","0","8","4","3122","false"
"L79955","1","0","36","0","7","4","3122","false"
"L79956","1","0","36","0","7","4","3122","false"
"L79957","1","0","36","0","7","4","3122","false"
"L79958","1","0","36","0","7","4","3122","false"
"L79959","2","0","45","0","7","4","3122","false"
"L4773","4","0","116","2","10","4","3122","false"
