"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of committers","Number of previous fixes","Number of previous modifications","Number of bugs"
"L118","ByValueAscComparator.java","als-common/src/main/java/com/cloudera/oryx/als/common/ByValueAscComparator.java","L117","5","0","28","0","0","0","1","0"
"L119","DataUtils.java","als-common/src/main/java/com/cloudera/oryx/als/common/DataUtils.java","L117","2","0","17","0","0","0","1","0"
"L120","IDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/IDValue.java","L117","7","0","34","0","0","0","1","0"
"L121","NoSuchItemException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchItemException.java","L117","1","0","9","0","0","0","1","0"
"L122","NoSuchUserException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchUserException.java","L117","1","0","10","0","0","0","1","0"
"L123","NotReadyException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NotReadyException.java","L117","1","0","3","0","0","0","1","0"
"L124","NumericIDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/NumericIDValue.java","L117","3","0","41","0","0","0","1","0"
"L125","OryxRecommender.java","als-common/src/main/java/com/cloudera/oryx/als/common/OryxRecommender.java","L117","1","0","57","0","0","0","1","0"
"L126","PairRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/PairRescorer.java","L117","1","0","5","0","0","0","1","0"
"L127","Rescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/Rescorer.java","L117","1","0","5","0","0","0","1","0"
"L128","StringLongMapping.java","als-common/src/main/java/com/cloudera/oryx/als/common/StringLongMapping.java","L117","4","0","53","0","0","0","1","1"
"L129","TopN.java","als-common/src/main/java/com/cloudera/oryx/als/common/TopN.java","L117","12","0","81","0","0","0","1","0"
"L152","LocationSensitiveHash.java","als-common/src/main/java/com/cloudera/oryx/als/common/lsh/LocationSensitiveHash.java","L151","25","0","205","0","0","0","1","0"
"L492","MatrixFactorizer.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/MatrixFactorizer.java","L491","1","0","11","0","0","0","1","0"
"L975","ALSModelDescription.java","als-common/src/main/java/com/cloudera/oryx/als/common/pmml/ALSModelDescription.java","L974","7","0","109","0","0","0","1","0"
"L495","AlternatingLeastSquares.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquares.java","L494","52","0","350","0","0","0","1","0"
"L137","ByValueAscComparatorTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/ByValueAscComparatorTest.java","L136","1","0","21","0","0","0","1","0"
"L138","DataUtilsTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/DataUtilsTest.java","L136","1","0","16","0","0","0","1","0"
"L139","StringLongMappingTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/StringLongMappingTest.java","L136","1","0","32","0","0","0","1","0"
"L140","TopNTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/TopNTest.java","L136","2","0","68","0","0","0","1","0"
"L977","ALSModelDescriptionTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/pmml/ALSModelDescriptionTest.java","L976","1","0","19","0","0","0","1","0"
"L498","AlternatingLeastSquaresPredictingRTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresPredictingRTest.java","L497","1","0","27","0","0","0","1","0"
"L499","AlternatingLeastSquaresTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresTest.java","L497","1","0","58","0","0","0","1","0"
"L500","NegativeInputTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/NegativeInputTest.java","L497","1","0","42","0","0","0","1","0"
"L150","LocationSensitiveHashIT.java","als-common/src/it/java/com/cloudera/oryx/als/common/lsh/LocationSensitiveHashIT.java","L149","11","0","100","0","0","0","1","0"
"L1281","AbstractComputationIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AbstractComputationIT.java","L1280","3","0","50","0","0","0","1","0"
"L1282","AlmostTooHighLambdaIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AlmostTooHighLambdaIT.java","L1280","1","0","15","0","0","0","1","0"
"L1283","LoadIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadIT.java","L1280","1","0","25","0","0","0","1","0"
"L1284","LoadRunner.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadRunner.java","L1280","18","0","165","0","0","0","1","0"
"L1285","RepeatedFoldInIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/RepeatedFoldInIT.java","L1280","2","0","25","0","0","0","1","0"
"L1286","SimpleIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleIT.java","L1280","8","0","275","0","0","0","1","0"
"L1287","SimpleNonnumericDataIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleNonnumericDataIT.java","L1280","8","0","275","0","0","0","1","0"
"L1288","TinyTagsIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/TinyTagsIT.java","L1280","1","0","50","0","0","0","1","0"
"L1296","ALSDistributedGenerationRunner.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSDistributedGenerationRunner.java","L1295","27","0","237","0","0","0","1","0"
"L1297","ALSJobStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStep.java","L1295","1","0","12","0","0","0","1","0"
"L1298","ALSJobStepConfig.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStepConfig.java","L1295","1","0","36","0","0","0","1","1"
"L1299","ComputationDataUtils.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ComputationDataUtils.java","L1295","8","0","82","0","0","0","1","0"
"L1300","IDMappingState.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/IDMappingState.java","L1295","3","0","30","0","0","0","1","0"
"L1861","CopyPreviousYFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/CopyPreviousYFn.java","L1860","1","0","15","0","0","0","1","0"
"L1862","FlagNewItemsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/FlagNewItemsFn.java","L1860","1","0","11","0","0","0","1","0"
"L1863","InitialYReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYReduceFn.java","L1860","8","0","58","0","0","0","1","0"
"L1864","InitialYStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYStep.java","L1860","8","0","61","0","0","0","1","1"
"L1865","PreviousOrEmptyFeaturesAggregator.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/PreviousOrEmptyFeaturesAggregator.java","L1860","5","0","21","0","0","0","1","0"
"L1973","IterationState.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/IterationState.java","L1972","2","0","24","0","0","0","1","0"
"L1974","IterationStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/IterationStep.java","L1972","3","0","33","0","0","0","1","0"
"L2155","CollectKnownItemsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/known/CollectKnownItemsFn.java","L2154","2","0","22","0","0","0","1","0"
"L2156","CollectKnownItemsStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/known/CollectKnownItemsStep.java","L2154","2","0","28","0","0","0","1","1"
"L2182","ALSLocalGenerationRunner.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/ALSLocalGenerationRunner.java","L2181","9","0","74","0","0","0","1","1"
"L2183","ByLastModifiedComparator.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/ByLastModifiedComparator.java","L2181","3","0","21","0","0","0","1","0"
"L2184","FactorMatrix.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/FactorMatrix.java","L2181","3","0","49","0","0","0","1","0"
"L2185","MakeItemSimilarity.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/MakeItemSimilarity.java","L2181","5","0","88","0","0","0","1","0"
"L2186","MakeRecommendations.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/MakeRecommendations.java","L2181","6","0","99","0","0","0","1","0"
"L2187","ReadInputs.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/ReadInputs.java","L2181","17","0","109","0","0","0","1","0"
"L2188","ReadMapping.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/ReadMapping.java","L2181","4","0","36","0","0","0","1","0"
"L2189","WriteOutputs.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/local/WriteOutputs.java","L2181","10","0","149","0","0","0","1","0"
"L2447","AbstractToVectorsStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/AbstractToVectorsStep.java","L2446","2","0","30","0","0","0","1","1"
"L2448","CombineMappingsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/CombineMappingsFn.java","L2446","1","0","11","0","0","0","1","0"
