@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","5","0","28","0","0","0","1","false"
"L119","2","0","17","0","0","0","1","false"
"L120","7","0","34","0","0","0","1","false"
"L121","1","0","9","0","0","0","1","false"
"L122","1","0","10","0","0","0","1","false"
"L123","1","0","3","0","0","0","1","false"
"L124","3","0","41","0","0","0","1","false"
"L125","1","0","57","0","0","0","1","false"
"L126","1","0","5","0","0","0","1","false"
"L127","1","0","5","0","0","0","1","false"
"L128","4","0","53","0","0","0","1","true"
"L129","12","0","81","0","0","0","1","false"
"L152","25","0","205","0","0","0","1","false"
"L492","1","0","11","0","0","0","1","false"
"L975","7","0","109","0","0","0","1","false"
"L495","52","0","350","0","0","0","1","false"
"L137","1","0","21","0","0","0","1","false"
"L138","1","0","16","0","0","0","1","false"
"L139","1","0","32","0","0","0","1","false"
"L140","2","0","68","0","0","0","1","false"
"L977","1","0","19","0","0","0","1","false"
"L498","1","0","27","0","0","0","1","false"
"L499","1","0","58","0","0","0","1","false"
"L500","1","0","42","0","0","0","1","false"
"L150","11","0","100","0","0","0","1","false"
"L1281","3","0","50","0","0","0","1","false"
"L1282","1","0","15","0","0","0","1","false"
"L1283","1","0","25","0","0","0","1","false"
"L1284","18","0","165","0","0","0","1","false"
"L1285","2","0","25","0","0","0","1","false"
"L1286","8","0","275","0","0","0","1","false"
"L1287","8","0","275","0","0","0","1","false"
"L1288","1","0","50","0","0","0","1","false"
"L1296","27","0","237","0","0","0","1","false"
"L1297","1","0","12","0","0","0","1","false"
"L1298","1","0","36","0","0","0","1","true"
"L1299","8","0","82","0","0","0","1","false"
"L1300","3","0","30","0","0","0","1","false"
"L1861","1","0","15","0","0","0","1","false"
"L1862","1","0","11","0","0","0","1","false"
"L1863","8","0","58","0","0","0","1","false"
"L1864","8","0","61","0","0","0","1","true"
"L1865","5","0","21","0","0","0","1","false"
"L1973","2","0","24","0","0","0","1","false"
