@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L5835","0","0","0","0","0","0","0","0","3","1","1","16","0","10","11","0","9","1","0.418033","51","51","7","0","0.418033","51","0","0","0","0","0","71","128","2","0","2","0","9","0","6","0","9","25","0","6","0","71","128","2","0","2","0","9","0","6","0","9","25","0","6","0","0","0","7","3","3","0","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","false"
"L6912","0","0","0","0","0","0","0","0","3","0","0","4","0","12","17","0","4","1","0.590909","26","26","4","0","0.590909","26","0","0","0","0","0","18","44","0","0","0","0","4","0","3","0","4","8","0","3","0","18","44","0","0","0","0","4","0","3","0","4","8","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3850","0","0","0","0","0","0","0","0","1","3","3","18","0","3","7","0","7","1","0.387597","50","43","7","0","0.387597","50","0","0","0","0","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","false"
"L7482","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","3","5","0.333333","0.25","5","5","1","2","0.25","5","1","1","0","0","1","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","0","0","6","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7490","0","0","0","0","0","0","0","0","6","0","0","6","2","0","0","4","10","0.142857","0.16129","5","5","1","6","0.16129","5","1","1","0","0","1","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","0","0","16","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L156","0","0","0","0","0","0","0","0","8","2","2","22","4","77","182","6","22","0.428571","0.336283","38","36","3","4","0.336283","38","0","0","64","77","0","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","0","0","22","0","6","0","0","0","0","0","0","1","0","0","0","0","0","6","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7544","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","5","7","0.333333","0.172414","5","5","1","2","0.128205","5","1","1","0","0","1","24","27","3","2","0","0","2","0","2","0","18","14","0","8","2","34","37","5","2","2","0","4","0","4","0","20","16","0","10","2","0","0","18","2","10","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","false"
"L9565","0","0","0","0","0","0","0","0","1","3","3","34","17","3","4","15","25","0.142857","0.0691489","13","7","1","6","0.0677083","13","0","0","0","0","0","175","218","12","1","12","1","10","0","6","0","10","91","0","6","0","179","222","12","1","12","1","11","0","7","0","11","92","0","7","0","0","0","32","1","16","0","0","0","0","0","0","0","0","1","0","1","0","12","28","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","true"
"L9612","0","0","0","0","0","0","0","0","1","0","0","8","1","2","1","0","7","0.333333","0.190476","8","8","2","4","0.190476","8","0","0","0","0","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L9692","0.303688","6","16","6","0.303502","0.37931","78","77","1","3","3","33","10","1","1","15","29","0.4","0.0954545","21","17","2","3","0.09375","21","0","0","0","0","0","199","253","6","0","6","0","14","0","4","0","14","128","0","4","0","203","257","6","0","6","0","15","0","5","0","15","129","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","0","0","3","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","false"
"L14058","0.256176","6","16","6","0.264407","0.331897","78","77","1","3","3","38","11","1","1","19","33","0.4","0.164835","45","35","2","3","0.162455","45","0","0","0","0","0","228","291","7","0","7","0","14","0","4","0","14","146","0","4","0","232","295","7","0","7","0","15","0","5","0","15","147","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","2","0","3","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","false"
