@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","5","0","28","0","0","0","1","false"
"L119","2","0","17","0","0","0","1","false"
"L120","7","0","34","0","0","0","1","false"
"L121","1","0","9","0","0","0","1","false"
"L122","1","0","10","0","0","0","1","false"
"L123","1","0","6","327","1","0","2","false"
"L124","3","0","41","0","0","0","1","false"
"L125","1","0","65","327","1","0","10","false"
"L126","4","0","56","327","1","1","3","false"
"L127","12","0","81","0","0","0","1","false"
"L150","1","0","8","327","1","0","1","false"
"L151","5","0","40","327","1","0","1","true"
"L152","1","0","18","327","1","0","1","false"
"L153","1","0","19","327","1","0","1","true"
"L464","1","0","11","0","0","0","1","false"
"L762","25","0","205","327","1","0","3","false"
"L1068","7","0","112","327","1","0","3","false"
"L1182","5","0","37","327","1","0","1","false"
"L1183","5","0","31","327","1","0","1","false"
"L1184","5","0","30","327","1","0","1","false"
"L1185","13","0","79","327","1","0","1","false"
"L1186","1","0","5","327","1","0","1","false"
"L1187","1","0","5","327","1","0","1","false"
"L1188","1","0","8","327","1","0","1","false"
"L467","52","0","346","327","1","2","4","false"
"L135","1","0","21","0","0","0","1","false"
"L136","1","0","16","0","0","0","1","false"
"L137","1","0","49","327","1","1","2","false"
"L138","2","0","68","0","0","0","1","false"
"L1070","1","0","19","0","0","0","1","false"
"L1190","1","0","63","327","1","0","1","false"
"L1191","4","0","23","327","1","0","1","false"
"L1192","3","0","24","327","1","0","1","false"
"L470","1","0","27","0","0","0","1","false"
"L471","1","0","58","0","0","0","1","false"
"L472","1","0","42","0","0","0","1","false"
"L148","11","0","101","327","1","0","4","false"
"L1591","3","0","50","0","0","0","1","false"
"L1592","1","0","15","0","0","0","1","false"
"L1593","1","0","25","0","0","0","1","false"
"L1594","18","0","165","327","1","1","4","false"
"L1595","3","0","29","327","1","0","3","false"
"L1596","1","0","26","327","1","0","2","false"
"L1597","2","0","25","0","0","0","1","false"
