"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","StorageSetup.java","src/test/java/com/thinkaurelius/titan/StorageSetup.java","L112","5","0","96","0","2","16","1077","0"
"L114","TestBed.java","src/test/java/com/thinkaurelius/titan/TestBed.java","L112","6","0","60","0","1","4","1077","0"
"L115","TitanBenchmark.java","src/test/java/com/thinkaurelius/titan/TitanBenchmark.java","L112","8","0","85","0","1","3","1077","0"
"L116","TitanTestBed.java","src/test/java/com/thinkaurelius/titan/TitanTestBed.java","L112","1","0","19","0","1","5","1077","0"
"L800","KeyColumn.java","src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumn.java","L799","4","0","20","0","1","1","1077","0"
"L801","KeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreTest.java","L799","28","0","355","0","2","9","1077","0"
"L802","KeyColumnValueStoreUtil.java","src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreUtil.java","L799","4","0","52","0","1","2","1077","0"
"L803","KeyValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreTest.java","L799","15","0","192","0","1","5","1077","0"
"L804","KeyValueStoreUtil.java","src/test/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreUtil.java","L799","7","0","63","0","1","2","1077","0"
"L805","LockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/LockKeyColumnValueStoreTest.java","L799","11","0","191","0","2","11","1077","0"
"L806","MultiWriteKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/MultiWriteKeyColumnValueStoreTest.java","L799","41","0","241","0","2","9","1077","0"
"L4621","TitanGraphConcurrentTest.java","src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphConcurrentTest.java","L4620","19","0","201","0","1","3","1077","0"
"L4622","TitanGraphPerformanceTest.java","src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphPerformanceTest.java","L4620","25","0","272","0","2","7","1077","0"
"L4623","TitanGraphTest.java","src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphTest.java","L4620","44","0","606","5","3","28","1077","0"
"L4624","TitanGraphTestCommon.java","src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphTestCommon.java","L4620","8","0","99","0","2","6","1077","0"
"L11904","ExternalCassandraBlueprintsTest.java","src/test/java/com/thinkaurelius/titan/blueprints/ExternalCassandraBlueprintsTest.java","L11903","1","0","30","0","1","5","1077","0"
"L11905","ExternalHBaseBlueprintsTest.java","src/test/java/com/thinkaurelius/titan/blueprints/ExternalHBaseBlueprintsTest.java","L11903","1","0","26","0","1","4","1077","0"
"L11906","InMemoryBlueprintsTest.java","src/test/java/com/thinkaurelius/titan/blueprints/InMemoryBlueprintsTest.java","L11903","6","0","88","0","1","4","1077","0"
"L11907","InternalCassandraBlueprintsTest.java","src/test/java/com/thinkaurelius/titan/blueprints/InternalCassandraBlueprintsTest.java","L11903","2","0","34","0","1","1","1077","0"
"L11908","LocalBlueprintsTest.java","src/test/java/com/thinkaurelius/titan/blueprints/LocalBlueprintsTest.java","L11903","7","0","105","0","1","11","1077","0"
"L11909","TitanBenchmarkSuite.java","src/test/java/com/thinkaurelius/titan/blueprints/TitanBenchmarkSuite.java","L11903","6","0","47","0","1","3","1077","0"
"L11910","TitanSpecificBlueprintsTestSuite.java","src/test/java/com/thinkaurelius/titan/blueprints/TitanSpecificBlueprintsTestSuite.java","L11903","1","0","19","0","1","1","1077","0"
"L11911","TransactionalTitanGraphTestSuite.java","src/test/java/com/thinkaurelius/titan/blueprints/TransactionalTitanGraphTestSuite.java","L11903","1","0","22","0","1","6","1077","0"
"L12066","CassandraUtil.java","src/test/java/com/thinkaurelius/titan/testutil/CassandraUtil.java","L12065","2","0","38","0","2","5","1615","0"
"L12067","MemoryAssess.java","src/test/java/com/thinkaurelius/titan/testutil/MemoryAssess.java","L12065","2","0","35","0","1","2","1077","0"
"L12068","ObjectSizer.java","src/test/java/com/thinkaurelius/titan/testutil/ObjectSizer.java","L12065","9","0","122","0","1","1","1077","0"
"L12069","PerformanceTest.java","src/test/java/com/thinkaurelius/titan/testutil/PerformanceTest.java","L12065","3","0","29","0","1","1","1077","0"
"L12070","RandomGenerator.java","src/test/java/com/thinkaurelius/titan/testutil/RandomGenerator.java","L12065","9","0","75","0","1","1","1077","0"
"L813","ExternalAstyanaxKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/ExternalAstyanaxKeyColumnValueTest.java","L812","1","0","24","0","2","15","1077","0"
"L814","ExternalAstyanaxLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/ExternalAstyanaxLockKeyColumnValueStoreTest.java","L812","1","0","30","0","2","18","1077","0"
"L815","ExternalAstyanaxMultiWriteKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/ExternalAstyanaxMultiWriteKeyColumnValueTest.java","L812","1","0","24","0","2","12","1077","0"
"L816","InternalAstyanaxKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/InternalAstyanaxKeyColumnValueTest.java","L812","1","0","18","0","2","7","1077","0"
"L817","InternalAstyanaxLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/InternalAstyanaxLockKeyColumnValueStoreTest.java","L812","1","0","24","0","2","9","1077","0"
"L818","InternalAstyanaxMultiWriteKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/astyanax/InternalAstyanaxMultiWriteKeyColumnValueTest.java","L812","1","0","18","0","2","7","1077","0"
"L1735","CassandraProcessStarter.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/CassandraProcessStarter.java","L1734","23","0","237","0","1","2","1077","0"
"L1736","ExternalCassandraLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/ExternalCassandraLockKeyColumnValueStoreTest.java","L1734","1","0","28","0","2","7","1077","0"
"L1737","ExternalCassandraThriftKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/ExternalCassandraThriftKeyColumnValueTest.java","L1734","1","0","22","0","2","5","1077","0"
"L1738","ExternalCassandraThriftMultiWriteKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/ExternalCassandraThriftMultiWriteKeyColumnValueTest.java","L1734","1","0","23","0","1","1","1077","0"
"L1739","InternalCassandraEmbeddedKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraEmbeddedKeyColumnValueTest.java","L1734","1","0","16","0","2","5","1077","0"
"L1740","InternalCassandraEmbeddedLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraEmbeddedLockKeyColumnValueStoreTest.java","L1734","1","0","17","0","2","7","1077","0"
"L1741","InternalCassandraEmbeddedMultiWriteKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraEmbeddedMultiWriteKeyColumnValueStoreTest.java","L1734","1","0","11","0","2","5","1077","0"
"L1742","InternalCassandraLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraLockKeyColumnValueStoreTest.java","L1734","1","0","22","0","2","18","1077","0"
"L1743","InternalCassandraThriftKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraThriftKeyColumnValueTest.java","L1734","1","0","21","0","2","9","1077","0"
"L1744","InternalCassandraThriftMultiWriteKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/InternalCassandraThriftMultiWriteKeyColumnValueStoreTest.java","L1734","1","0","16","0","2","5","1077","0"
"L1745","UUIDTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/UUIDTest.java","L1734","1","0","22","0","1","1","1077","0"
"L2701","ExternalHBaseKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/hbase/ExternalHBaseKeyColumnValueTest.java","L2700","1","0","15","0","2","6","1077","0"
"L2702","ExternalHBaseLockKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/hbase/ExternalHBaseLockKeyColumnValueStoreTest.java","L2700","1","0","17","0","2","5","1077","0"
"L2703","ExternalHBaseMultiWriteKeyColumnValueStoreTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/hbase/ExternalHBaseMultiWriteKeyColumnValueStoreTest.java","L2700","1","0","15","0","2","4","1077","0"
"L2933","LocalLockMediatorTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/locking/LocalLockMediatorTest.java","L2932","1","0","23","0","2","2","1077","0"
"L3349","StorageFeaturesTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/util/StorageFeaturesTest.java","L3348","2","0","17","0","1","1","1077","0"
"L4155","BerkeleyDBjeKeyColumnValueTest.java","src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueTest.java","L4154","1","0","18","0","1","4","1077","0"
