@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","21","0","1","2","1077","false"
"L4699","5","0","62","0","1","2","1077","false"
"L179","1","0","14","0","1","1","1077","false"
"L180","1","0","14","0","1","1","1077","false"
"L181","1","0","14","0","1","1","1077","false"
"L182","1","0","11","0","1","1","1077","false"
"L4928","1","0","8","0","1","1","1077","false"
"L4929","1","0","8","0","1","1","1077","false"
"L4930","1","0","8","0","1","1","1077","false"
"L4931","1","0","15","0","1","1","1077","false"
"L11994","1","0","7","0","1","1","1077","false"
"L174","31","0","264","0","1","2","1077","false"
"L175","24","0","182","0","2","4","142","false"
"L176","9","0","62","0","1","2","1077","false"
"L122","2","0","69","0","2","4","142","true"
"L4701","1","0","34","0","1","1","1077","false"
"L4702","1","0","38","0","1","1","1077","false"
"L4703","2","0","40","0","2","3","142","false"
"L651","24","0","261","0","2","6","142","false"
"L4966","1","0","20","0","1","1","1077","false"
"L4967","1","0","20","0","1","1","1077","false"
"L4968","1","0","20","0","1","1","1077","false"
"L4969","1","0","14","0","2","3","142","false"
"L4970","1","0","14","0","2","3","142","false"
"L4997","1","0","8","0","1","1","1077","false"
"L4998","1","0","8","0","1","1","1077","false"
"L4999","1","0","11","0","2","5","142","false"
"L5011","1","0","20","0","1","1","1077","false"
"L5012","1","0","20","0","1","1","1077","false"
"L5013","1","0","20","0","1","1","1077","false"
"L5014","1","0","14","0","2","3","142","false"
"L5015","1","0","14","0","2","3","142","false"
"L11997","1","0","7","0","1","1","1077","false"
"L772","1","0","23","0","1","1","1077","false"
"L773","1","0","25","0","1","1","1077","false"
"L774","1","0","23","0","1","1","1077","false"
"L775","1","0","26","0","2","3","142","false"
"L776","1","0","19","0","2","3","142","false"
"L777","1","0","17","0","2","3","142","false"
"L1244","1","0","28","0","2","10","1077","false"
"L1245","1","0","13","0","1","1","1077","false"
"L1246","1","0","11","0","1","1","1077","false"
"L1562","1","0","25","0","1","1","1077","false"
"L1563","1","0","23","0","1","1","1077","false"
