@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L9539","0","0","0","0","0","0","0","0","0","0","0","4","2","8","8","1","5","0","0","0","0","0","5","0","0","1","1","0","0","1","23","29","0","9","0","4","4","0","4","0","11","13","0","11","0","23","29","0","9","0","4","4","0","4","0","11","13","0","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L18027","0","0","0","0","0","0","0","0","2","1","1","14","3","34","33","0","10","0","0.060241","5","4","0","8","0.060241","5","0","0","0","0","0","78","101","5","8","5","8","10","4","7","0","10","36","4","7","0","78","101","5","8","5","8","10","4","7","0","10","36","4","7","0","0","0","27","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","false"
"L20249","0","0","0","0","0","0","0","0","0","0","0","4","2","9","9","1","5","0","0","0","0","0","5","0","0","1","1","0","0","1","27","34","0","9","0","4","4","0","4","0","11","17","0","11","0","27","34","0","9","0","4","4","0","4","0","11","17","0","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L20256","0","0","0","0","0","0","0","0","1","3","3","11","1","7","16","0","4","0","0.148148","12","3","0","4","0.134831","12","0","0","0","0","0","69","99","4","2","4","2","4","0","3","0","4","33","0","3","0","77","108","4","2","4","2","4","0","3","0","4","33","0","3","0","0","0","11","4","22","0","0","9","0","0","0","0","0","0","0","0","0","6","11","0","0","0","0","0","0","0","6","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","false"
"L20293","0","0","0","0","0","0","0","0","0","0","0","2","2","8","8","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","13","16","0","7","0","2","2","0","2","0","9","7","0","9","0","13","16","0","7","0","2","2","0","2","0","9","7","0","9","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L9540","0","0","0","0","0","0","0","0","1","1","1","13","4","10","14","2","9","0.125","0.0526316","2","1","1","7","0.0526316","2","0","0","3","3","0","36","47","0","5","0","5","7","0","7","0","7","22","0","7","0","36","47","0","5","0","5","7","0","7","0","7","22","0","7","0","0","0","17","1","8","0","0","8","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","false"
"L20306","0","0","0","0","0","0","0","0","3","1","1","9","2","0","0","2","5","0.333333","0.0864198","7","4","1","2","0.0714286","7","0","0","0","0","0","74","104","0","0","0","0","3","0","2","0","3","71","0","2","0","91","125","2","0","2","0","6","0","4","0","6","76","0","4","0","0","3","22","5","21","0","0","2","0","0","0","1","0","0","0","0","0","1","21","0","0","0","0","3","0","0","16","0","0","0","0","0","0","1","1","0","0","0","0","2","3","0","false"
"L20347","0","0","0","0","0","0","0","0","1","3","3","20","5","2","0","9","12","0.5","0.038961","3","3","1","1","0.0215054","4","0","0","0","0","0","74","86","6","0","6","0","3","0","1","0","3","69","0","1","0","182","218","16","11","16","9","26","0","17","1","32","100","0","21","1","0","0","88","2","20","0","0","7","0","0","0","0","0","0","4","0","0","5","85","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","3","0","0","0","2","0","false"
"L2772","0","0","0","0","0","0","0","0","1","4","3","61","38","9","10","43","62","0.583333","0.213158","81","58","7","5","0.185941","82","0","0","0","0","0","299","439","32","12","32","12","19","9","11","0","19","160","9","11","0","359","504","32","12","32","12","23","9","15","0","23","182","9","15","0","0","7","69","6","23","0","1","8","0","0","0","1","0","0","0","3","0","15","55","1","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","1","1","0","0","false"
"L3111","0.295133","2","5","5","0.23221","0.325581","62","56","1","1","1","24","16","13","18","13","33","0.3","0.361446","60","60","6","14","0.258621","60","1","1","0","0","1","106","193","12","2","11","2","20","2","19","0","20","40","3","19","0","172","267","12","2","11","2","36","2","35","0","36","56","3","35","0","0","0","217","9","14","0","0","5","0","110","0","8","0","0","0","1","0","8","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","0","8","1","0","false"
"L3832","0","0","0","0","0","0","0","0","1","2","2","21","0","15","22","0","9","0.8","0.443182","39","39","8","2","0.443182","39","0","0","3","3","0","49","96","2","2","2","2","9","0","9","0","9","33","0","9","0","49","96","2","2","2","2","9","0","9","0","9","33","0","9","0","0","0","5","0","14","0","0","12","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
