"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L114","BerkeleyJeStorageSetup.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyJeStorageSetup.java","L113","1","0","25","0","2","6","1077","0"
"L12555","BerkeleyJEBlueprintsTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyJEBlueprintsTest.java","L12554","5","0","59","0","1","5","1077","0"
"L192","BerkeleyDBjeKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueTest.java","L191","1","0","18","0","3","8","1077","0"
"L193","BerkeleyDBjeKeyColumnValueVariableTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueVariableTest.java","L191","1","0","18","0","2","6","1077","0"
"L194","BerkeleyJeHashKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJeHashKeyColumnValueTest.java","L191","1","0","12","0","3","14","1077","0"
"L195","BerkeleyJEKeyValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueTest.java","L191","1","0","11","0","1","4","1077","0"
"L196","BerkeleyJeLogTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJeLogTest.java","L191","1","0","14","0","1","2","1077","0"
"L12774","BerkeleyJEGraphConcurrentTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphConcurrentTest.java","L12773","1","0","10","0","1","2","1077","0"
"L12775","BerkeleyJEGraphPerformanceMemoryTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphPerformanceMemoryTest.java","L12773","1","0","10","0","2","3","1077","0"
"L12776","BerkeleyJEGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphTest.java","L12773","1","0","10","0","2","5","1077","0"
"L12777","BerkeleyJEOLAPTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEOLAPTest.java","L12773","1","0","10","0","3","4","53","0"
"L12778","BerkeleyJESpeedComparisonPerformanceTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJESpeedComparisonPerformanceTest.java","L12773","1","0","15","0","1","4","1077","0"
"L12779","ElasticSearchBerkeleyDBTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/ElasticSearchBerkeleyDBTest.java","L12773","1","0","29","0","2","10","1077","0"
"L187","BerkeleyJEKeyValueStore.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueStore.java","L186","19","0","183","0","4","18","53","0"
"L188","BerkeleyJEStoreManager.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEStoreManager.java","L186","20","0","184","0","5","36","53","0"
"L189","BerkeleyJETx.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJETx.java","L186","6","0","67","0","2","9","1077","0"
"L122","CassandraStorageSetup.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java","L121","7","0","102","1","4","42","53","0"
"L12557","BasicBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/BasicBlueprintsTest.java","L12556","1","0","37","0","1","1","1077","0"
"L12558","EmbeddedCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/EmbeddedCassandraBlueprintsTest.java","L12556","1","0","9","0","3","16","1077","0"
"L12559","InternalCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/InternalCassandraBlueprintsTest.java","L12556","1","0","21","0","3","16","1615","0"
