@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","25","0","2","6","1077","false"
"L12555","5","0","59","0","1","5","1077","false"
"L192","1","0","18","0","3","8","1077","false"
"L193","1","0","18","0","2","6","1077","false"
"L194","1","0","12","0","3","14","1077","false"
"L195","1","0","11","0","1","4","1077","false"
"L196","1","0","14","0","1","2","1077","false"
"L12774","1","0","10","0","1","2","1077","false"
"L12775","1","0","10","0","2","3","1077","false"
"L12776","1","0","10","0","2","5","1077","false"
"L12777","1","0","10","0","3","4","53","false"
"L12778","1","0","15","0","1","4","1077","false"
"L12779","1","0","29","0","2","10","1077","false"
"L187","19","0","183","0","4","18","53","false"
"L188","20","0","184","0","5","36","53","false"
"L189","6","0","67","0","2","9","1077","false"
"L122","7","0","102","1","4","42","53","false"
"L12557","1","0","37","0","1","1","1077","false"
"L12558","1","0","9","0","3","16","1077","false"
"L12559","1","0","21","0","3","16","1615","false"
"L12758","1","0","112","0","1","3","53","false"
"L24927","1","0","2","0","1","2","1615","false"
"L749","3","0","99","0","3","15","1077","false"
"L750","1","0","25","0","1","2","1615","false"
"L12834","1","0","14","0","1","1","53","false"
"L12835","1","0","18","0","3","15","1615","false"
"L12836","1","0","15","0","2","4","1615","false"
"L12837","1","0","16","0","3","13","1615","false"
"L12864","1","0","29","0","1","1","53","false"
"L12865","1","0","15","0","2","6","1615","false"
"L12866","1","0","18","0","3","18","1615","false"
"L12867","1","0","15","0","2","5","1615","false"
"L12868","1","0","15","0","3","22","1615","false"
"L12898","1","0","14","0","1","1","53","false"
"L12899","1","0","17","1","2","6","1615","false"
"L12900","1","0","16","0","2","5","1615","false"
"L12901","1","0","18","0","3","15","1615","false"
"L12902","1","0","27","0","1","1","1077","false"
"L12903","1","0","16","0","3","10","53","false"
"L12904","1","0","16","0","2","4","1615","false"
"L12905","3","0","37","0","2","6","1615","false"
"L12906","1","0","15","0","4","16","53","false"
"L12907","1","0","15","0","3","3","53","false"
"L912","1","0","20","0","3","8","53","false"
"L913","1","0","22","0","3","20","1615","false"
"L914","1","0","18","0","3","13","1615","false"
"L915","1","0","16","0","3","3","53","false"
"L916","1","0","18","0","3","13","1615","false"
"L1686","1","0","15","0","3","7","53","false"
"L1687","1","0","34","0","3","31","1615","false"
"L1688","1","0","11","0","4","18","53","false"
"L1689","1","0","16","0","3","3","53","false"
"L1690","1","0","12","0","3","15","1077","false"
"L2041","2","0","24","0","2","4","1615","false"
"L2042","1","0","20","0","3","8","53","false"
"L2043","1","0","18","0","3","13","1615","false"
"L2044","1","0","16","0","3","3","53","false"
"L2045","1","0","22","0","3","16","1615","false"
"L2046","1","0","18","0","3","13","1615","false"
"L743","12","0","131","0","3","67","1615","false"
"L744","1","0","30","0","3","17","1077","false"
"L745","8","0","46","0","2","3","1077","false"
"L746","1","0","6","0","2","3","1077","false"
"L909","14","0","270","0","3","49","1077","false"
"L910","47","0","396","0","4","92","53","false"
"L1683","46","0","365","0","3","49","1615","false"
"L1684","38","0","279","0","4","76","53","false"
"L2038","42","0","418","0","4","60","53","false"
"L2039","49","0","362","0","4","88","53","false"
"L2613","16","0","110","0","2","5","1615","false"
"L2614","9","0","99","0","3","8","1077","false"
"L1411","1","0","23","0","3","7","1615","false"
"L1412","5","0","91","0","3","13","1615","false"
"L2407","3","0","36","0","4","13","53","false"
"L2408","26","0","232","0","4","20","53","false"
"L2409","4","0","24","0","4","14","53","false"
"L130","16","0","172","0","3","5","53","false"
"L12561","2","0","38","0","3","5","53","false"
"L11164","2","0","24","0","3","5","53","false"
"L11165","1","0","21","0","3","5","53","false"
"L11166","1","0","30","0","3","5","53","false"
"L11167","1","0","16","0","3","5","53","false"
"L11168","1","0","17","0","3","5","53","false"
"L11169","1","0","17","0","3","5","53","false"
"L23709","1","0","16","0","3","5","53","false"
"L23710","1","0","17","0","3","5","53","false"
"L23711","1","0","16","0","3","5","53","false"
"L23712","1","0","16","0","3","5","53","false"
"L11179","1","0","8","0","3","5","53","false"
"L11189","1","0","8","0","2","4","1615","false"
"L11199","1","0","5","0","2","4","1615","false"
"L11200","8","0","41","0","2","5","1615","false"
"L11201","20","0","269","0","2","4","1615","false"
"L11202","80","0","513","0","2","5","1615","true"
"L11203","1","0","8","0","2","4","1615","false"
"L138","7","0","60","0","2","11","1077","false"
"L139","8","0","109","1","2","18","1615","false"
"L140","22","0","193","0","1","2","1077","false"
"L168","1","0","29","0","1","3","1615","false"
"L169","1","0","11","0","4","17","1615","false"
"L170","41","0","371","0","2","30","1615","false"
"L172","4","0","67","0","2","11","1077","false"
"L173","72","0","713","0","4","70","1615","false"
"L174","4","0","56","0","2","11","1615","false"
"L175","15","0","195","0","4","19","1077","false"
"L176","7","0","67","0","2","8","1077","false"
"L177","31","0","302","0","3","48","1077","false"
"L178","44","0","287","0","2","22","1077","false"
"L12563","6","0","87","0","4","12","1077","false"
"L12564","3","0","30","0","3","10","1077","false"
"L12565","1","0","20","0","3","7","142","false"
"L12566","1","0","22","0","2","8","1615","false"
"L12760","1","0","12","0","2","3","1077","false"
"L12761","23","0","114","0","2","14","1077","false"
"L12762","40","0","393","1","2","31","1615","false"
"L12763","33","0","227","0","2","15","1077","false"
"L12764","34","0","288","0","2","29","1077","false"
"L12765","7","0","88","0","1","2","1077","false"
"L12766","31","0","254","0","2","15","1077","false"
"L12767","101","0","1392","12","4","106","1615","false"
"L12768","1","0","7","0","4","32","53","false"
"L12769","26","0","323","1","2","33","1615","false"
"L12770","11","0","238","0","2","12","1615","false"
"L24929","1","0","2","0","2","2","1077","false"
