"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L114","BerkeleyStorageSetup.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyStorageSetup.java","L113","1","0","22","0","3","8","53","0"
"L12041","BerkeleyBlueprintsTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyBlueprintsTest.java","L12040","6","0","66","0","4","11","142","0"
"L200","BerkeleyFixedLengthKCVSTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyFixedLengthKCVSTest.java","L199","1","0","25","0","3","9","1615","0"
"L201","BerkeleyKeyValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyKeyValueTest.java","L199","1","0","11","0","3","8","53","0"
"L202","BerkeleyLogTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyLogTest.java","L199","1","0","12","0","3","8","53","0"
"L203","BerkeleyVariableLengthKCVSTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyVariableLengthKCVSTest.java","L199","1","0","24","0","3","9","1615","0"
"L12256","BerkeleyGraphConcurrentTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphConcurrentTest.java","L12255","1","0","10","0","3","3","53","0"
"L12257","BerkeleyGraphPerformanceMemoryTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphPerformanceMemoryTest.java","L12255","1","0","10","0","3","3","53","0"
"L12258","BerkeleyGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphTest.java","L12255","3","0","55","1","4","14","1615","0"
"L12259","BerkeleyOLAPTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyOLAPTest.java","L12255","1","0","10","0","3","3","53","0"
