@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","22","0","3","8","53","false"
"L12041","6","0","66","0","4","11","142","false"
"L200","1","0","25","0","3","9","1615","false"
"L201","1","0","11","0","3","8","53","false"
"L202","1","0","12","0","3","8","53","false"
"L203","1","0","24","0","3","9","1615","false"
"L12256","1","0","10","0","3","3","53","false"
"L12257","1","0","10","0","3","3","53","false"
"L12258","3","0","55","1","4","14","1615","false"
"L12259","1","0","10","0","3","3","53","false"
"L12260","1","0","11","0","3","3","53","false"
"L12261","1","0","13","0","3","4","53","false"
"L195","21","0","192","0","4","35","142","false"
"L196","23","0","223","0","5","60","142","false"
"L197","9","0","81","0","4","27","142","false"
"L122","8","0","134","1","4","65","1615","false"
"L12043","1","0","18","0","4","11","142","false"
"L12044","1","0","23","0","4","6","142","false"
"L12045","1","0","27","0","4","13","142","false"
"L12236","1","0","76","0","4","7","1615","false"
"L26079","1","0","2","0","2","3","1077","false"
"L26080","1","0","2","0","1","2","1615","false"
"L807","3","0","102","0","4","16","142","false"
"L808","3","0","59","0","2","2","1077","false"
"L809","1","0","25","0","1","2","1615","false"
"L12311","1","0","18","0","4","6","142","false"
"L12312","1","0","15","0","4","6","142","false"
"L12313","1","0","10","0","3","10","1077","false"
"L12314","1","0","16","0","4","6","142","false"
"L12343","1","0","15","0","4","6","142","false"
"L12344","1","0","18","0","4","6","142","false"
"L12345","1","0","15","0","4","6","142","false"
"L12346","1","0","10","0","3","10","1077","false"
"L12347","1","0","16","0","4","6","142","false"
"L12372","1","0","17","0","4","6","142","false"
"L12373","1","0","20","0","4","18","142","false"
"L12374","1","0","18","0","4","6","142","false"
"L12375","1","0","24","0","4","14","142","false"
"L12376","1","0","16","0","4","6","142","false"
"L12377","3","0","45","0","4","14","142","false"
"L12378","1","0","10","0","3","10","1077","false"
"L12379","1","0","15","0","4","6","142","false"
"L12380","1","0","15","0","4","6","142","false"
"L12381","1","0","16","0","4","6","142","false"
"L12382","1","0","15","0","4","7","142","false"
"L898","1","0","20","0","4","13","142","false"
"L899","1","0","16","0","4","11","142","false"
"L900","1","0","19","0","4","15","142","false"
"L901","1","0","16","0","4","11","142","false"
"L902","1","0","17","0","2","3","1077","false"
"L903","1","0","22","0","4","11","142","false"
"L1254","1","0","15","0","4","10","53","false"
"L1255","1","0","11","0","3","8","53","false"
"L1256","1","0","19","0","4","15","142","false"
"L1257","1","0","11","0","3","8","53","false"
"L1258","1","0","34","0","4","11","142","false"
"L1467","2","0","24","0","4","11","142","false"
"L1468","1","0","20","0","4","13","142","false"
"L1469","1","0","16","0","4","11","142","false"
"L1470","1","0","19","0","4","15","142","false"
"L1471","1","0","16","0","4","11","142","false"
"L1472","1","0","17","0","2","3","1077","false"
"L1473","1","0","22","0","4","11","142","false"
"L801","17","0","199","0","4","108","1615","false"
"L802","1","0","42","0","4","29","1077","false"
"L803","8","0","46","0","3","4","53","false"
"L804","1","0","6","0","3","4","53","false"
"L895","15","0","268","0","4","25","142","false"
"L896","47","0","420","0","5","141","1615","false"
"L1251","41","0","363","0","4","87","142","false"
"L1252","38","0","274","0","4","113","142","false"
"L1464","39","0","389","0","4","90","142","false"
"L1465","55","0","458","0","4","129","1077","false"
"L1878","4","0","38","0","3","8","1077","false"
"L1879","9","0","99","0","4","9","53","false"
