@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L12154","0","0","0","0","0","0","0","0","0","0","0","4","4","7","9","4","8","0","0","0","0","0","5","0","0","1","1","0","0","1","18","22","0","11","0","4","4","0","4","0","14","4","0","14","0","18","22","0","11","0","4","4","0","4","0","14","4","0","14","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L26365","0.102713","1","2","1","0.0628931","0.0769231","10","9","5","2","2","26","3","0","0","0","19","0.133333","0.0991736","12","12","2","13","0.0930233","12","0","0","0","0","0","109","150","4","14","4","14","19","2","14","0","19","55","2","14","0","117","159","6","14","6","14","20","2","15","0","20","57","2","15","0","0","0","56","18","2","0","0","0","0","7","0","1","0","0","0","0","0","2","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","0","1","0","16","0","false"
"L35265","0.197674","1","2","1","0.164835","0.180556","15","13","3","1","1","14","1","1","0","0","8","0","0","0","0","0","7","0","0","0","0","0","0","0","66","85","3","4","3","4","8","0","6","0","8","35","0","6","0","72","91","4","4","4","4","9","0","7","0","9","36","0","7","0","0","0","36","12","2","0","0","0","0","11","0","1","0","0","0","0","0","2","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","false"
"L35292","0.296825","2","9","2","0.2","0.298013","50","45","6","2","2","21","3","0","0","0","11","0.25","0.281609","49","42","2","6","0.259804","53","0","0","0","0","0","125","220","7","5","7","5","11","1","7","0","11","69","1","7","0","151","250","9","5","9","5","14","1","9","0","14","79","1","9","0","0","0","54","31","9","0","0","0","0","24","0","1","0","0","0","0","0","7","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","6","0","0","0","28","0","false"
"L10529","0.462871","2","9","2","0.284091","0.39823","50","45","5","2","2","20","0","1","0","0","9","0.666667","0.268908","32","28","2","1","0.241611","36","0","0","1","1","0","87","146","2","1","2","1","9","0","2","0","9","49","0","2","0","113","176","4","1","4","1","12","0","4","0","12","59","0","4","0","0","0","51","18","4","0","0","0","0","24","0","1","0","0","0","0","0","6","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","14","0","false"
"L12155","0","0","0","0","0","0","0","0","2","1","1","16","9","2","4","7","17","0.0909091","0.0425532","2","1","1","10","0.0425532","2","0","0","1","1","0","45","59","0","7","0","7","10","0","10","0","10","25","0","10","0","45","59","0","7","0","7","10","0","10","0","10","25","0","10","0","0","0","25","1","10","0","0","8","0","0","0","1","0","0","0","0","0","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","false"
"L35529","0","0","0","0","0","0","0","0","4","1","1","8","0","0","0","0","4","0.333333","0.132075","7","4","1","2","0.0879121","8","0","0","0","0","0","46","70","0","0","0","0","4","0","2","0","4","42","0","2","0","83","115","4","0","4","0","9","0","6","0","9","56","0","6","0","0","1","34","26","6","0","0","3","0","0","0","1","0","0","0","0","0","1","33","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","2","23","0","false"
"L35555","0","0","0","0","0","0","0","0","3","3","3","20","0","0","0","0","3","0.5","0.038961","3","3","1","1","0.0215054","4","0","0","0","0","0","74","86","6","0","6","0","3","0","1","0","3","69","0","1","0","182","218","16","11","16","9","26","0","17","1","32","100","0","21","1","0","0","89","37","18","0","0","7","0","0","0","1","0","0","4","0","0","5","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","37","0","false"
"L1970","0.0676123","2","8","3","0.0492846","0.0668203","31","29","2","3","3","67","45","8","16","43","70","0.391304","0.173448","81","55","9","14","0.1569","83","1","1","0","0","1","386","560","43","20","43","20","27","15","22","0","27","194","15","22","0","446","629","43","20","43","20","35","15","30","0","35","215","15","30","0","0","7","117","2","21","0","0","10","0","18","0","3","0","0","0","2","0","18","79","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","0","0","false"
"L270","0","0","0","0","0","0","0","0","0","0","0","3","0","160","4","0","3","1","0.612903","19","19","4","0","0.612903","19","0","0","2","5","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L2367","0.0747996","1","4","2","0.0741688","0.0942029","29","26","2","3","3","44","27","13","14","23","50","0.259259","0.26087","66","64","7","20","0.192982","66","2","2","0","0","1","187","292","15","4","15","4","27","3","26","0","27","89","3","26","0","276","391","20","4","20","4","43","3","41","0","43","115","3","41","0","0","0","165","11","19","0","0","4","0","44","0","8","0","0","6","1","0","7","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","11","3","0","7","0","0","false"
