@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","22","0","3","8","53","false"
"L12173","6","0","66","0","4","11","142","false"
"L202","1","0","25","0","3","9","1615","false"
"L203","1","0","11","0","3","8","53","false"
"L204","1","0","12","0","3","8","53","false"
"L205","1","0","24","0","3","9","1615","false"
"L12390","1","0","10","0","3","3","53","false"
"L12391","1","0","10","0","3","3","53","false"
"L12392","3","0","55","1","4","14","1615","false"
"L12393","1","0","10","0","3","3","53","false"
"L12394","1","0","15","0","3","4","1615","false"
"L12395","1","0","13","0","3","4","53","false"
"L197","21","0","192","0","4","35","142","false"
"L198","23","0","223","0","5","60","142","false"
"L199","9","0","81","0","4","27","142","false"
"L122","8","0","134","1","4","65","1615","false"
"L12175","1","0","18","0","4","11","142","false"
"L12176","1","0","23","0","4","6","142","false"
"L12177","1","0","27","0","4","13","142","false"
"L12368","1","0","76","0","4","7","1615","false"
"L26422","1","0","2","0","2","3","1077","false"
"L26423","1","0","2","0","1","2","1615","false"
"L809","3","0","102","0","4","16","142","false"
"L810","3","0","59","0","2","2","1077","false"
"L811","1","0","25","0","1","2","1615","false"
"L12446","1","0","18","0","4","6","142","false"
"L12447","1","0","15","0","4","6","142","false"
"L12448","1","0","10","0","3","10","1077","false"
"L12449","1","0","16","0","4","6","142","false"
"L12478","1","0","15","0","4","6","142","false"
"L12479","1","0","18","0","4","6","142","false"
"L12480","1","0","15","0","4","6","142","false"
"L12481","1","0","10","0","3","10","1077","false"
"L12482","1","0","16","0","4","6","142","false"
"L12507","1","0","17","0","4","6","142","false"
"L12508","1","0","20","0","4","18","142","false"
"L12509","1","0","18","0","4","6","142","false"
"L12510","1","0","24","0","4","14","142","false"
"L12511","1","0","16","0","4","6","142","false"
"L12512","3","0","45","0","4","14","142","false"
"L12513","1","0","10","0","3","10","1077","false"
"L12514","1","0","15","0","4","6","142","false"
"L12515","1","0","19","0","4","7","1615","false"
"L12516","1","0","16","0","4","6","142","false"
"L12517","1","0","15","0","4","7","142","false"
"L900","1","0","20","0","4","13","142","false"
"L901","1","0","16","0","4","11","142","false"
"L902","1","0","19","0","4","15","142","false"
"L903","1","0","16","0","4","11","142","false"
"L904","1","0","17","0","2","3","1077","false"
"L905","1","0","22","0","4","11","142","false"
"L1258","1","0","15","0","4","10","53","false"
"L1259","1","0","11","0","3","8","53","false"
"L1260","1","0","19","0","4","15","142","false"
"L1261","1","0","11","0","3","8","53","false"
"L1262","1","0","34","0","4","11","142","false"
"L1471","2","0","24","0","4","11","142","false"
"L1472","1","0","20","0","4","13","142","false"
"L1473","1","0","16","0","4","11","142","false"
"L1474","1","0","19","0","4","15","142","false"
"L1475","1","0","16","0","4","11","142","false"
"L1476","1","0","17","0","2","3","1077","false"
"L1477","1","0","22","0","4","11","142","false"
"L803","17","0","199","0","4","108","1615","false"
"L804","1","0","42","0","4","29","1077","false"
"L805","8","0","46","0","3","4","53","false"
"L806","1","0","6","0","3","4","53","false"
"L897","15","0","268","0","4","25","142","false"
"L898","49","0","433","0","5","143","1077","false"
"L1255","41","0","363","0","4","87","142","false"
"L1256","38","0","274","0","4","113","142","false"
"L1468","39","0","389","0","4","90","142","false"
"L1469","55","0","458","0","4","129","1077","false"
"L1873","4","0","38","0","3","8","1077","false"
"L1874","9","0","99","0","4","9","53","false"
"L1727","3","0","36","0","4","16","53","false"
"L1728","12","0","152","1","4","39","1615","false"
"L1729","4","0","24","0","4","15","53","false"
"L36345","1","0","8","0","4","6","53","false"
"L131","7","0","82","0","2","6","1077","false"
"L132","14","0","169","0","2","8","1077","false"
"L12179","3","0","40","0","3","8","1077","false"
"L10620","2","0","32","0","3","8","1077","false"
"L10621","2","0","28","0","4","10","1077","false"
"L10622","2","0","23","0","3","8","1077","false"
"L10623","2","0","24","0","3","8","1077","false"
"L10624","2","0","23","0","3","8","1077","false"
"L10625","2","0","32","0","3","9","1077","false"
"L24850","2","0","23","0","2","4","1077","false"
"L24851","2","0","23","0","2","4","1077","false"
"L24852","2","0","27","0","2","7","1077","false"
"L24853","2","0","23","0","2","4","1077","false"
"L24854","2","0","27","0","2","5","1615","false"
"L24855","2","0","24","0","2","4","1077","false"
"L10613","1","0","7","0","3","6","53","false"
"L10614","9","0","47","0","2","9","1077","false"
"L10615","20","0","265","0","4","18","53","false"
"L10616","82","0","642","1","4","54","1615","false"
"L10617","1","0","8","0","3","8","142","false"
"L10585","1","0","14","0","3","8","53","false"
"L10595","1","0","16","0","3","7","53","false"
"L10605","1","0","16","0","3","4","53","false"
"L140","15","0","121","0","2","5","1615","false"
"L141","7","0","56","0","2","14","1077","false"
"L142","8","0","100","1","3","26","1615","false"
"L143","22","0","193","0","1","3","1077","false"
"L178","1","0","14","0","3","9","142","false"
"L179","1","0","29","0","3","8","53","false"
"L180","1","0","160","0","2","2","1077","false"
"L181","45","0","390","0","4","14","1077","false"
"L183","86","0","886","0","5","97","1615","false"
"L184","4","0","56","0","3","15","53","false"
"L185","20","0","218","0","5","31","1077","false"
"L186","7","0","67","0","3","12","53","false"
"L187","34","0","352","0","4","70","1615","false"
"L188","44","0","295","0","3","39","1077","false"
"L12181","10","0","160","0","5","25","1077","false"
"L12182","1","0","9","0","2","2","1077","false"
"L12183","3","0","34","0","3","12","1077","false"
"L12184","1","0","20","0","3","7","142","false"
"L12185","1","0","22","0","2","16","1077","false"
"L12370","1","0","12","0","2","3","1077","false"
"L12371","3","0","77","1","2","8","1077","false"
"L12372","6","0","126","0","2","3","1615","false"
"L12373","12","0","300","2","4","62","1077","false"
"L12374","40","0","257","0","3","51","1615","false"
"L12375","44","0","362","0","2","37","1077","false"
"L12376","7","0","89","0","3","7","1077","false"
"L12377","16","0","122","0","3","23","1077","false"
"L12378","266","0","3857","14","5","222","1615","false"
"L12379","60","0","1058","5","4","110","1615","false"
"L12380","37","0","553","1","3","21","1615","false"
"L12381","38","0","293","1","2","12","1615","false"
"L12382","7","0","95","0","3","3","1077","false"
"L26425","1","0","3","0","1","2","1615","false"
"L26426","1","0","2","0","2","2","1077","false"
"L26427","1","0","2","0","2","5","1077","false"
"L26428","1","0","2","0","2","2","1077","false"
"L26429","1","0","2","0","2","4","1077","false"
"L26430","1","0","2","0","2","2","1077","false"
"L26431","1","0","2","0","2","2","1077","false"
"L35367","1","0","9","0","3","6","142","false"
"L35368","39","0","384","0","3","23","1615","false"
"L35667","4","0","137","0","3","3","1077","false"
"L35668","25","0","294","0","3","15","1077","false"
"L35669","2","0","35","0","2","2","1615","false"
"L35670","9","0","78","0","1","2","1077","false"
"L35671","5","0","57","0","2","5","1077","false"
"L35672","4","0","27","0","2","4","1077","false"
"L3153","1","0","49","0","1","3","1615","false"
"L4376","31","0","652","1","6","73","1615","false"
"L7317","1","0","34","0","3","15","1077","false"
"L7318","16","0","265","1","3","36","53","false"
"L8537","2","0","32","0","2","6","1615","false"
"L8538","3","0","18","0","2","13","1077","false"
"L11374","12","0","180","0","3","7","53","false"
"L24895","1","0","11","0","1","1","1077","false"
"L24896","1","0","21","0","3","9","1077","false"
"L35762","8","0","121","0","2","12","1077","false"
"L35763","6","0","175","0","3","19","1615","false"
"L36101","5","0","42","0","2","3","1077","false"
"L36102","23","0","96","0","2","3","1077","false"
"L36103","1","0","16","0","2","3","1077","false"
"L36104","1","0","7","0","2","3","1077","false"
"L36105","14","0","80","0","2","3","1077","false"
"L36106","1","0","10","0","2","3","1077","false"
"L36107","4","0","29","0","2","3","1077","false"
"L36108","4","0","33","0","2","3","1077","false"
"L36109","6","0","35","0","2","3","1077","false"
"L36110","2","0","20","0","2","3","1077","false"
"L12187","1","0","37","0","4","11","53","false"
"L12384","1","0","30","0","2","2","1615","false"
"L12385","1","0","11","1","2","2","1077","false"
"L12386","6","0","50","1","2","3","1615","false"
"L28416","4","0","28","0","1","4","1077","false"
"L28417","5","0","31","0","1","1","1077","false"
"L35674","10","0","153","0","2","12","1077","false"
"L3161","3","0","33","0","2","5","1077","false"
"L3162","8","0","127","0","2","14","1077","false"
"L3163","2","0","29","0","4","17","53","false"
"L5091","26","0","294","0","3","14","1077","false"
"L6404","17","0","701","0","4","50","1615","false"
"L6405","1","0","31","0","2","17","1077","false"
"L6406","3","0","124","0","3","7","53","false"
"L6407","4","0","68","0","1","1","1615","false"
"L8540","7","0","71","0","1","2","1077","false"
"L8541","1","0","27","0","2","12","1077","false"
"L11376","2","0","113","0","2","3","1615","false"
"L12134","1","0","17","0","4","8","53","false"
"L12135","1","0","14","0","3","6","53","false"
"L12136","1","0","14","0","3","8","53","false"
"L13006","1","0","12","0","2","3","1615","false"
"L18332","32","0","274","0","3","23","1615","false"
"L18333","15","0","128","0","2","22","1077","false"
"L18334","9","0","100","0","3","33","53","false"
